x,y,t
0.093,-0.158,-0.706
0.075,-0.023,-0.181
-0.095,0.084,0.364
0.075,-0.050,-0.353
-0.131,0.129,0.853
-0.041,0.022,0.542
-0.095,0.084,0.347
0.066,-0.158,-0.791
-0.068,0.066,0.394
-0.032,0.022,0.340
0.048,0.210,0.499
0.048,-0.059,-0.309
-0.041,0.039,0.290
-0.131,0.102,0.906
0.048,-0.086,-0.588
-0.104,0.102,0.893
-0.005,0.022,0.243
-0.041,0.030,0.433
0.030,-0.032,-0.024
0.030,-0.032,-0.289
0.030,-0.041,-0.410
-0.140,0.093,0.808
0.075,-0.068,0.240
-0.104,0.066,0.910
0.066,-0.095,-0.694
-0.023,0.013,0.084
0.004,0.004,-0.081
-0.059,0.066,0.519
-0.113,0.111,0.911
-0.068,0.066,0.356
0.030,0.030,-0.002
0.084,-0.104,-0.586
-0.041,0.093,0.566
-0.113,0.102,0.797
0.048,-0.113,-0.793
-0.023,0.030,-0.112
0.030,-0.059,-0.593
0.048,-0.104,-0.784
-0.104,0.057,0.919
-0.005,0.022,0.150
0.093,-0.077,-0.413
0.022,0.057,0.137
0.013,0.013,-0.109
0.039,-0.068,-0.389
0.075,-0.113,-0.624
0.004,0.004,0.041
0.066,-0.122,-0.624
-0.122,0.102,0.740
0.022,-0.050,-0.336
0.111,-0.131,-0.688
-0.104,0.075,0.572
-0.059,0.048,0.631
-0.104,0.093,0.350
0.084,-0.095,-0.551
0.022,-0.014,-0.085
-0.050,0.048,0.445
-0.041,0.030,0.536
0.057,-0.122,-0.626
-0.077,0.066,0.630
-0.005,0.066,0.244
-0.104,0.057,0.912
-0.014,0.057,0.129
-0.050,0.102,0.618
-0.122,0.075,0.642
-0.131,0.102,0.742
0.022,0.022,-0.115
0.093,-0.185,-0.803
-0.023,0.030,0.380
0.093,-0.113,-0.606
-0.077,0.084,0.559
0.093,-0.086,-0.565
-0.041,0.030,0.530
0.039,-0.095,-0.702
-0.050,0.048,0.540
0.030,-0.104,-0.802
-0.014,0.057,0.394
-0.086,0.075,0.716
0.084,-0.095,-0.529
0.093,-0.158,-0.706
0.111,-0.131,-0.795
0.048,-0.059,-0.500
-0.095,0.084,0.717
0.004,0.013,-0.110
0.093,-0.140,-0.609
-0.023,0.030,0.281
0.039,-0.059,-0.495
0.013,-0.014,0.068
0.057,-0.005,-0.110
-0.104,0.129,0.929
0.013,0.030,-0.057
0.102,-0.113,-0.692
0.030,-0.032,-0.411
0.066,-0.032,-0.337
0.030,-0.041,-0.505
-0.005,-0.005,-0.129
0.013,-0.014,-0.312
-0.113,0.111,0.944
-0.050,0.048,0.540
0.057,-0.050,-0.336
-0.023,0.022,-0.121
-0.023,0.084,0.473
-0.023,0.039,-0.111
0.030,0.030,-0.106
0.004,0.022,-0.053
-0.077,0.057,0.342
0.004,-0.005,-0.303
0.075,-0.023,-0.293
-0.104,0.093,0.444
0.004,0.039,0.009
0.030,-0.104,-0.798
0.093,-0.104,-0.696
-0.023,0.030,-0.029
0.048,0.004,0.236
-0.014,0.013,-0.123
-0.095,0.066,0.815
0.039,-0.095,-0.702
0.057,-0.032,-0.225
-0.095,0.093,0.349
-0.032,0.075,0.342
-0.014,0.013,-0.309
-0.050,0.039,0.547
-0.113,0.093,0.672
0.093,-0.158,-0.805
-0.050,0.048,0.540
0.039,-0.059,-0.112
0.048,0.022,0.035
-0.014,0.004,0.057
0.093,-0.122,-0.755
0.066,-0.140,-0.766
-0.023,0.013,0.338
-0.014,0.022,0.193
0.013,0.004,-0.163
0.102,-0.113,-0.626
-0.014,0.022,0.150
0.039,-0.041,-0.424
0.022,-0.095,-0.797
0.030,-0.095,-0.797
0.022,-0.014,-0.197
0.030,-0.104,-0.785
0.084,-0.167,-0.805
0.066,-0.131,-0.716
0.004,0.057,0.262
-0.086,0.048,0.814
-0.077,0.102,0.553
0.004,0.057,0.277
0.039,0.022,0.035
-0.032,0.075,0.451
0.004,0.030,-0.022
0.030,-0.023,-0.035
-0.050,0.039,0.528
0.075,-0.041,-0.307
0.039,-0.032,-0.127
0.057,-0.095,-0.530
-0.023,0.013,0.084
-0.032,0.030,0.339
-0.104,0.120,0.786
-0.014,0.048,0.098
-0.131,0.111,0.796
0.057,-0.086,-0.509
-0.041,0.039,0.338
-0.014,0.030,0.182
0.057,0.013,-0.109
-0.005,0.022,0.141
0.075,-0.059,-0.361
-0.068,0.111,0.701
0.022,-0.068,-0.394
-0.050,0.039,0.435
0.039,-0.059,-0.122
0.022,0.057,0.137
0.039,-0.032,-0.026
-0.059,0.111,0.707
-0.113,0.066,0.908
-0.032,0.048,0.064
-0.023,0.039,0.198
-0.086,0.084,0.507
0.022,-0.059,-0.331
0.075,-0.104,-0.566
0.093,-0.113,-0.620
-0.086,0.111,0.607
0.084,-0.050,-0.345
0.075,-0.122,-0.809
-0.140,0.093,0.759
0.075,-0.086,-0.649
0.022,-0.014,0.032
0.084,-0.131,-0.616
0.075,-0.113,-0.763
0.039,-0.104,-0.796
-0.014,0.039,-0.029
0.057,-0.068,-0.439
0.013,-0.014,-0.189
-0.050,0.048,0.429
-0.041,0.066,0.244
0.030,0.039,0.049
-0.149,0.129,0.949
0.030,-0.023,-0.378
-0.059,0.093,0.706
-0.086,0.084,0.507
-0.014,0.013,0.347
-0.032,0.039,-0.110
0.022,-0.014,-0.148
0.093,-0.131,-0.707
0.004,0.004,-0.206
0.004,0.039,0.227
0.039,-0.059,-0.356
-0.050,0.039,0.224
0.039,-0.077,-0.700
0.066,-0.086,-0.652
0.075,-0.122,-0.809
0.093,-0.140,-0.729
0.048,-0.086,-0.588
0.039,0.022,0.063
0.102,-0.068,-0.506
-0.014,0.013,-0.290
0.084,-0.113,-0.515
0.075,-0.059,-0.469
0.030,-0.050,-0.494
0.084,-0.095,-0.641
0.004,0.004,0.123
0.022,-0.050,-0.259
-0.050,0.048,-0.017
0.057,-0.086,-0.509
0.075,-0.104,-0.511
0.022,-0.050,-0.396
-0.068,0.039,0.304
-0.023,0.022,0.282
-0.149,0.102,0.907
-0.068,0.066,0.480
0.075,-0.041,-0.268
0.057,-0.077,-0.316
-0.077,0.111,0.798
-0.095,0.066,0.908
0.066,-0.131,-0.716
0.066,-0.095,-0.413
-0.032,0.057,0.186
-0.005,0.057,0.298
-0.023,0.013,0.345
-0.086,0.120,0.807
0.057,-0.032,-0.209
0.084,-0.059,-0.387
0.102,-0.140,-0.809
-0.122,0.111,0.709
-0.014,0.004,-0.311
-0.068,0.102,0.495
-0.014,0.022,0.338
-0.059,0.066,0.416
0.039,-0.050,-0.105
-0.113,0.129,0.862
0.057,-0.104,-0.679
0.093,-0.185,-0.806
0.066,-0.113,-0.618
0.030,0.039,0.146
-0.014,0.066,0.164
-0.068,0.075,0.608
-0.050,0.066,0.515
0.022,0.022,-0.115
0.057,0.004,-0.086
-0.113,0.138,0.925
-0.032,0.057,0.186
-0.014,0.030,0.182
0.022,-0.023,-0.129
-0.023,0.013,0.013
-0.023,0.030,0.243
0.084,-0.113,-0.636
-0.194,0.138,0.917
0.030,0.039,0.049
0.030,-0.077,-0.591
-0.041,0.066,0.454
-0.014,0.004,-0.311
0.057,-0.068,-0.567
0.093,-0.140,-0.729
0.048,-0.014,-0.297
0.057,-0.041,-0.432
0.075,-0.122,-0.792
0.084,-0.131,-0.608
-0.005,0.004,0.161
