x,y,t
-0.001,-0.098,0.968
0.018,0.005,0.111
-0.001,0.005,0.400
-0.010,-0.004,-0.177
0.027,-0.051,0.415
0.027,-0.014,-0.150
0.009,-0.004,0.283
-0.057,-0.032,0.251
-0.001,-0.042,0.124
-0.067,-0.070,0.372
-0.020,-0.080,0.795
-0.057,-0.070,0.278
0.018,0.099,-0.460
-0.010,-0.061,0.463
0.037,0.052,-0.354
-0.086,-0.051,0.264
-0.020,0.080,-0.287
-0.048,-0.014,0.184
-0.020,0.090,-0.857
0.009,0.118,-0.732
0.027,0.005,-0.216
-0.048,0.090,-0.864
0.037,-0.051,0.271
-0.029,0.080,-0.595
-0.038,0.043,-0.518
0.046,0.024,-0.475
0.009,0.043,-0.578
-0.001,-0.051,0.595
0.056,0.005,-0.278
0.056,-0.070,0.744
0.009,0.024,0.166
0.027,-0.004,-0.164
-0.001,0.024,-0.469
-0.038,-0.089,0.690
0.046,0.071,-0.666
-0.010,0.118,-0.600
-0.086,-0.089,0.675
0.056,-0.032,-0.094
0.037,-0.032,0.282
-0.010,0.062,-0.711
-0.048,0.024,-0.362
0.027,0.071,-0.419
0.046,0.043,-0.711
0.037,0.090,-0.573
0.037,-0.023,0.162
-0.048,-0.080,0.902
0.056,0.043,-0.793
-0.029,-0.089,0.893
-0.057,-0.098,0.896
-0.086,0.090,-0.678
-0.067,-0.032,0.222
0.046,-0.023,-0.165
0.074,-0.042,-0.092
0.027,0.052,-0.678
-0.057,-0.080,0.746
0.027,0.015,-0.384
0.037,-0.042,0.268
0.009,-0.051,0.344
0.046,0.005,-0.376
0.027,0.015,-0.384
0.027,-0.042,0.523
-0.048,-0.089,0.969
0.056,-0.080,0.748
-0.001,0.033,-0.566
0.009,-0.051,0.723
-0.048,0.043,-0.312
-0.057,-0.080,0.685
0.037,-0.042,0.481
0.037,-0.051,0.687
-0.010,0.090,-0.691
-0.029,-0.042,0.272
-0.076,-0.032,0.161
0.018,0.052,-0.276
0.046,0.043,-0.633
-0.029,-0.023,0.246
0.084,-0.042,0.000
-0.048,-0.080,0.638
0.009,-0.004,-0.258
0.009,0.043,-0.458
-0.001,0.109,-0.722
-0.001,-0.051,0.257
-0.057,-0.070,0.377
0.027,-0.061,0.694
0.009,-0.023,0.082
-0.086,-0.098,0.799
-0.048,0.043,-0.406
0.018,0.005,-0.370
-0.029,-0.051,0.425
-0.010,0.043,-0.567
0.027,0.052,-0.715
0.009,0.071,-0.780
0.037,-0.061,0.585
0.074,-0.004,-0.325
-0.048,-0.080,0.741
-0.038,-0.004,-0.098
-0.057,-0.089,0.481
0.046,0.109,-0.714
0.037,-0.080,0.683
0.037,-0.023,-0.046
-0.048,0.033,-0.370
0.046,-0.051,0.561
