x,y,t
0.016,-0.011,0.141
-0.003,0.047,0.145
-0.042,0.018,0.738
0.035,0.018,-0.257
-0.052,-0.040,0.648
-0.023,0.028,-0.390
-0.052,-0.030,0.333
0.113,-0.001,-0.789
0.026,0.009,-0.271
0.016,0.009,-0.325
-0.129,-0.030,0.802
-0.052,0.018,-0.051
-0.061,-0.011,0.180
-0.042,0.018,0.601
0.103,-0.049,-0.468
0.074,-0.040,-0.230
0.084,-0.030,-0.693
-0.119,-0.020,0.509
-0.003,-0.030,0.438
-0.110,-0.001,0.946
-0.139,-0.020,0.800
0.132,-0.040,-0.805
-0.023,0.028,0.375
-0.061,-0.011,0.276
-0.003,-0.011,-0.137
-0.061,-0.030,0.884
-0.042,0.009,0.833
-0.139,-0.020,0.565
0.122,-0.020,-0.700
0.045,0.018,-0.798
0.142,-0.030,-0.808
-0.081,-0.049,0.740
0.219,0.125,-0.508
0.016,0.028,-0.896
0.064,-0.040,-0.240
0.064,-0.011,-0.127
-0.129,-0.040,0.707
0.093,-0.030,-0.475
0.055,0.115,-0.112
-0.042,-0.020,0.100
-0.071,-0.020,0.901
0.006,-0.030,0.110
-0.023,-0.011,-0.154
0.064,0.115,-0.010
-0.013,-0.040,0.426
0.093,0.018,-0.396
-0.023,0.028,-0.171
-0.061,-0.020,0.456
0.006,0.028,-0.290
-0.013,-0.020,0.126
-0.023,0.028,0.534
-0.013,-0.011,-0.047
0.103,-0.030,-0.475
-0.003,0.018,-0.782
0.016,-0.020,-0.283
-0.071,-0.030,0.558
-0.042,-0.030,0.513
-0.071,-0.001,0.014
-0.003,0.009,-0.645
-0.110,-0.040,0.871
0.026,0.047,-0.235
-0.032,0.009,0.563
-0.013,0.009,0.130
0.026,0.028,0.243
0.016,0.009,0.288
-0.052,0.009,0.129
0.045,-0.030,0.096
-0.052,-0.011,0.357
-0.061,-0.049,0.761
0.238,0.125,-0.960
0.035,-0.011,-0.117
-0.148,-0.030,0.877
0.132,-0.040,-0.911
-0.003,0.028,-0.401
-0.032,-0.020,0.457
0.026,0.038,-0.350
0.026,-0.020,0.215
-0.061,-0.040,0.675
0.113,-0.020,-0.806
0.199,0.125,-0.814
0.093,-0.030,-0.461
-0.081,-0.049,0.899
-0.090,-0.040,0.502
0.016,0.028,-0.792
0.016,0.028,-0.462
-0.090,-0.030,0.456
-0.013,0.018,0.669
-0.003,0.057,0.285
0.045,0.018,-0.303
0.093,-0.040,-0.570
0.026,-0.040,0.217
-0.042,-0.001,0.244
0.055,0.018,-0.022
0.084,0.018,-0.484
-0.023,0.018,0.531
-0.119,0.009,0.790
-0.071,-0.049,0.872
-0.129,-0.040,0.857
0.026,-0.011,0.258
0.016,0.028,-0.405
-0.090,-0.001,0.386
-0.003,-0.001,-0.339
0.084,-0.020,-0.557
-0.003,-0.040,0.312
-0.158,-0.020,0.717
0.084,0.009,-0.499
0.006,-0.030,0.212
0.132,-0.040,-0.793
-0.013,0.018,0.478
0.084,-0.040,-0.356
-0.100,-0.001,0.497
0.045,-0.020,0.110
0.093,-0.020,-0.684
0.084,-0.040,-0.340
-0.013,0.009,0.620
-0.013,0.018,0.155
0.016,0.009,0.201
0.103,-0.040,-0.681
-0.148,-0.020,0.675
-0.013,0.028,-0.182
0.035,-0.030,0.007
0.016,-0.001,-0.416
-0.168,-0.020,0.791
0.064,-0.030,-0.430
0.055,0.125,0.935
0.064,0.115,-0.905
-0.071,-0.059,0.889
0.084,-0.049,-0.463
0.055,-0.011,-0.807
-0.100,-0.001,0.339
-0.071,-0.011,0.880
-0.032,-0.001,0.558
0.064,0.125,0.941
0.016,-0.001,-0.459
0.084,-0.020,-0.243
-0.081,0.009,0.363
-0.061,0.009,0.240
0.026,0.028,0.005
0.006,0.009,0.344
-0.013,-0.030,0.123
0.006,0.028,-0.667
-0.081,-0.030,0.367
0.055,0.115,-0.002
0.074,-0.030,-0.121
-0.061,-0.020,0.225
-0.023,-0.030,0.427
0.093,0.018,-0.808
0.132,-0.049,-0.684
-0.052,-0.020,0.801
0.122,-0.059,-0.890
-0.148,-0.040,0.794
0.064,0.115,-0.099
0.035,0.018,-0.673
-0.003,-0.030,0.329
-0.003,0.009,-0.300
-0.013,0.018,-0.097
0.035,0.028,0.168
-0.071,-0.020,0.229
0.064,-0.040,-0.225
0.122,-0.030,-0.804
-0.119,-0.030,0.909
-0.042,-0.030,0.460
0.084,-0.001,-0.446
-0.119,-0.020,0.906
-0.100,-0.001,0.455
-0.119,-0.020,0.458
-0.023,0.009,-0.320
-0.032,0.038,0.172
-0.139,-0.020,0.674
-0.013,-0.011,0.419
0.064,0.115,0.905
0.064,0.028,-0.465
-0.003,0.009,0.528
0.074,-0.011,-0.235
-0.023,0.028,-0.182
0.064,0.115,0.932
0.045,-0.020,-0.356
-0.119,-0.020,0.658
0.016,0.009,-0.120
0.074,-0.040,-0.357
0.074,0.009,-0.710
0.113,-0.030,-0.476
-0.023,0.009,-0.332
