x,y,t
-0.008,-0.077,-0.323
-0.008,-0.086,0.067
0.001,0.025,0.296
0.084,0.080,0.465
0.121,0.062,0.597
0.001,0.006,0.394
0.149,0.043,0.720
0.066,0.015,0.233
0.158,0.108,0.836
0.001,0.043,0.439
0.019,0.034,0.121
0.001,0.127,0.792
-0.008,-0.012,-0.017
0.103,0.080,0.821
0.121,0.052,0.509
-0.027,-0.068,-0.234
-0.045,-0.068,-0.565
0.010,0.090,0.657
-0.036,0.052,-0.923
0.038,0.034,0.526
-0.138,0.043,-0.970
0.140,0.052,0.521
-0.027,-0.049,0.007
0.029,0.025,0.551
-0.083,-0.031,-0.781
-0.036,-0.003,-0.102
0.038,0.062,0.762
-0.064,0.025,-0.764
0.038,0.034,0.559
0.010,-0.049,0.085
0.019,-0.022,-0.124
-0.092,-0.022,-0.800
-0.083,-0.059,-0.940
0.130,0.052,0.435
-0.008,-0.059,-0.160
0.001,-0.096,-0.218
-0.018,-0.049,-0.214
-0.055,-0.049,-0.036
-0.036,-0.068,-0.162
-0.036,-0.059,-0.780
-0.055,0.006,-0.952
-0.027,-0.068,-0.152
-0.027,-0.077,-0.389
-0.027,-0.012,-0.164
-0.055,-0.059,-0.540
-0.036,-0.077,-0.780
0.001,0.043,0.086
-0.110,-0.031,-0.871
-0.073,-0.049,-0.855
0.019,0.117,0.742
0.130,0.071,0.726
-0.027,-0.003,-0.826
-0.036,-0.049,-0.254
0.010,0.034,0.386
-0.083,0.006,-0.972
0.149,0.043,0.519
-0.045,-0.059,-0.398
0.019,0.062,0.517
-0.055,-0.077,-0.414
0.010,0.034,0.376
-0.018,-0.068,0.009
0.075,0.043,0.490
0.010,0.015,0.219
0.010,-0.012,0.221
-0.110,-0.031,-0.859
0.019,-0.059,0.078
0.140,0.052,0.719
-0.083,-0.031,-0.722
0.001,-0.012,0.169
0.019,0.015,0.395
-0.036,-0.068,-0.395
-0.064,-0.049,-0.716
-0.008,-0.059,0.070
0.001,0.025,0.464
-0.064,-0.068,-0.633
0.177,0.043,0.799
0.010,0.062,0.446
-0.018,-0.068,-0.242
-0.036,-0.049,-0.404
-0.018,-0.040,-0.169
-0.027,-0.059,-0.404
-0.018,-0.031,-0.148
0.056,0.071,0.763
-0.027,-0.022,0.002
0.010,0.034,0.362
0.038,0.043,0.524
-0.027,-0.068,-0.327
-0.073,-0.003,-0.557
0.001,0.034,0.367
0.001,-0.022,0.316
0.001,-0.049,-0.082
0.056,0.090,0.847
-0.120,0.034,-0.931
-0.101,0.015,-0.640
-0.018,-0.003,0.134
0.038,0.034,0.483
0.001,0.080,0.586
-0.008,0.062,0.524
-0.036,-0.059,-0.252
-0.027,-0.049,0.084
0.010,-0.012,0.155
0.029,0.117,0.725
-0.027,-0.059,-0.313
-0.008,0.015,0.317
-0.055,-0.068,-0.415
0.029,0.043,-0.093
0.001,0.025,0.387
-0.055,-0.068,-0.861
-0.045,-0.003,-0.762
0.140,0.034,0.520
-0.036,-0.012,0.150
0.010,0.043,0.531
0.158,0.034,0.602
0.121,0.062,0.582
-0.018,-0.012,0.142
0.121,0.080,0.520
-0.008,-0.077,-0.391
-0.055,-0.059,-0.714
-0.027,-0.040,-0.013
-0.045,-0.077,-0.713
-0.055,-0.003,0.204
-0.101,-0.040,-0.945
-0.045,-0.049,-0.383
0.038,0.108,0.729
0.149,0.071,0.730
0.056,0.006,0.227
-0.092,-0.012,-0.945
-0.018,-0.086,-0.167
-0.027,-0.077,-0.467
0.130,0.062,0.524
-0.073,-0.031,-0.623
-0.045,-0.077,-0.306
0.019,0.136,0.796
-0.027,-0.068,-0.393
-0.018,-0.012,-0.334
-0.027,-0.022,0.063
-0.027,-0.086,-0.312
0.010,0.043,0.451
-0.036,-0.077,-0.712
-0.045,-0.068,-0.389
-0.008,0.006,0.170
0.019,0.034,0.366
0.149,0.080,0.801
-0.036,-0.049,-0.331
0.167,0.052,0.797
0.130,0.043,0.449
-0.018,-0.068,-0.136
-0.008,-0.003,0.233
-0.055,-0.068,-0.333
-0.083,-0.040,-0.845
-0.008,0.015,0.305
0.038,0.080,0.669
-0.008,-0.003,0.149
0.029,0.034,0.629
0.010,-0.022,-0.193
0.038,0.052,0.632
-0.083,0.015,-0.625
-0.083,-0.031,-0.854
0.038,0.062,0.095
-0.073,-0.059,-0.866
-0.110,-0.022,-0.872
-0.083,-0.012,-0.961
0.075,0.052,0.350
0.029,0.052,0.238
-0.027,-0.003,-0.020
0.084,0.052,0.271
0.010,-0.040,0.087
-0.018,-0.077,-0.319
-0.008,0.043,0.381
-0.027,-0.059,-0.539
0.029,0.099,0.675
0.001,-0.040,0.225
-0.027,-0.086,-0.405
0.056,0.034,0.372
0.047,0.015,0.281
-0.008,-0.040,0.008
0.001,-0.077,-0.241
-0.101,0.006,-0.624
-0.018,0.034,0.297
-0.092,-0.059,-0.785
0.001,-0.077,-0.081
-0.027,-0.077,-0.091
0.130,0.117,0.850
-0.027,-0.031,0.158
0.047,0.080,0.488
0.140,0.062,0.797
0.140,0.117,0.842
-0.036,-0.003,-0.623
0.056,0.090,0.738
0.038,0.099,0.742
0.121,0.080,0.799
0.075,0.099,0.658
0.001,-0.003,0.256
-0.073,-0.031,-0.699
-0.036,-0.059,-0.709
0.140,0.043,0.434
-0.018,0.015,0.248
0.029,0.034,0.489
0.038,0.043,0.253
0.158,0.071,0.799
-0.018,-0.049,-0.133
0.130,0.062,0.724
0.010,0.025,-0.125
0.001,0.034,-0.007
-0.018,-0.086,-0.391
-0.036,-0.068,-0.551
0.001,0.015,0.374
0.001,0.006,0.134
0.112,0.090,0.851
0.019,0.034,0.464
0.001,0.015,0.389
0.019,0.108,0.660
-0.008,-0.031,0.238
-0.120,0.006,-0.775
0.121,0.043,0.435
0.001,-0.022,0.300
0.140,0.043,0.577
-0.083,-0.068,-0.628
0.047,-0.003,0.029
-0.045,0.015,-0.316
-0.045,-0.086,-0.332
-0.083,-0.012,-0.603
0.149,0.071,0.772
-0.008,-0.040,-0.068
0.047,0.127,0.807
0.038,-0.022,-0.128
-0.045,-0.040,-0.487
0.019,0.062,0.462
0.029,0.034,0.525
0.093,0.090,0.853
0.010,0.043,0.440
-0.110,0.034,-0.755
0.140,0.071,0.652
