x,y,t
-0.036,0.090,-0.554
0.000,0.072,-0.409
-0.036,0.036,0.183
-0.107,-0.017,0.669
-0.036,0.018,0.322
-0.018,-0.071,0.719
0.098,-0.062,0.140
-0.071,-0.009,0.077
0.125,0.009,-0.262
0.170,0.099,-0.772
-0.036,0.009,-0.374
0.107,-0.044,-0.025
0.125,0.072,-0.612
-0.116,0.045,0.618
-0.107,0.018,0.512
-0.179,-0.035,0.267
-0.089,-0.026,0.888
-0.089,-0.071,0.446
-0.062,-0.044,0.172
0.116,0.108,-0.740
-0.009,0.054,0.076
0.170,-0.009,-0.731
0.018,0.027,-0.167
0.027,0.027,-0.370
0.054,-0.026,-0.545
-0.089,0.036,0.504
-0.036,0.054,-0.359
0.161,-0.098,-0.259
-0.116,0.000,0.098
-0.098,0.018,0.376
0.045,0.081,-0.661
0.107,0.000,-0.428
-0.161,-0.062,0.606
0.054,0.045,-0.301
0.134,0.126,-0.508
0.063,0.072,-0.613
0.125,0.018,-0.625
0.098,0.000,-0.207
-0.143,-0.071,0.714
0.152,-0.009,-0.705
-0.089,-0.062,0.717
-0.027,-0.026,0.352
0.143,0.000,-0.499
-0.089,-0.035,0.375
0.125,-0.017,-0.566
0.116,-0.098,-0.041
-0.062,0.036,0.003
-0.054,-0.026,0.664
0.063,-0.017,-0.463
0.152,0.117,-0.629
-0.054,-0.062,0.548
0.054,0.108,-0.736
-0.089,-0.017,0.509
-0.143,-0.026,0.728
0.179,-0.009,0.116
0.152,-0.080,-0.547
0.072,-0.026,-0.219
-0.098,-0.044,0.409
0.116,0.099,-0.709
0.027,0.027,-0.266
0.045,0.000,0.035
0.152,-0.116,-0.250
0.045,0.009,-0.143
-0.009,-0.009,0.472
-0.018,0.045,0.099
-0.170,-0.053,0.699
0.009,0.009,-0.330
-0.152,-0.009,0.838
0.027,0.009,-0.325
0.027,-0.026,0.088
-0.098,-0.071,0.796
0.107,-0.009,-0.653
0.143,-0.044,-0.237
-0.027,0.000,0.162
0.063,-0.044,-0.107
-0.045,0.000,0.173
-0.250,-0.089,0.751
-0.098,0.027,0.549
0.027,0.081,-0.479
0.000,0.090,-0.417
-0.250,-0.071,0.897
0.072,0.009,-0.383
0.116,0.009,-0.807
-0.098,-0.009,0.313
-0.152,-0.089,0.905
-0.027,-0.062,0.098
-0.009,0.054,-0.311
-0.062,0.027,0.508
-0.107,-0.053,0.753
-0.098,0.036,0.710
0.098,0.018,-0.807
-0.125,0.000,-0.088
0.116,0.018,-0.357
-0.027,0.072,-0.408
0.206,0.063,-0.751
-0.259,-0.062,0.742
0.197,-0.035,-0.710
0.045,-0.026,-0.030
0.125,-0.009,-0.487
0.045,0.018,-0.268
-0.009,-0.107,0.589
-0.107,0.009,0.699
0.098,0.018,-0.569
-0.071,0.036,-0.188
0.081,0.054,-0.271
-0.161,-0.044,0.442
0.000,0.027,0.364
0.143,0.072,-0.661
0.063,-0.044,0.019
-0.036,-0.026,0.509
0.188,0.126,-0.790
0.206,-0.017,0.070
0.206,-0.089,-0.565
0.206,-0.035,-0.299
-0.018,-0.044,0.823
-0.045,0.036,-0.243
-0.214,-0.125,0.928
-0.062,-0.053,0.527
0.009,-0.044,-0.253
-0.134,-0.026,0.664
0.107,0.045,-0.580
0.134,0.036,-0.709
0.036,-0.026,0.036
0.116,0.063,-0.831
-0.197,-0.071,0.930
0.027,-0.053,0.226
-0.161,-0.044,0.659
-0.080,-0.053,0.297
0.018,0.054,0.228
0.036,0.045,-0.094
-0.161,0.018,0.881
0.027,0.027,0.220
-0.143,-0.062,0.689
-0.152,0.009,0.752
0.081,0.036,-0.166
0.206,0.081,-0.098
0.036,-0.017,-0.134
-0.027,0.063,-0.427
0.188,0.117,-0.680
-0.179,-0.062,0.901
0.018,0.018,-0.411
-0.018,-0.071,0.416
0.054,0.027,-0.556
-0.071,-0.026,0.614
0.018,-0.017,-0.054
-0.143,-0.071,0.802
-0.045,-0.026,0.478
-0.116,0.027,0.200
0.215,0.018,-0.740
0.134,0.054,-0.488
-0.295,-0.098,0.918
-0.116,-0.009,0.933
-0.205,-0.080,0.765
0.179,-0.098,-0.535
-0.054,0.000,0.358
0.125,-0.089,-0.255
0.107,0.081,-0.731
-0.197,-0.044,0.939
0.045,0.018,-0.238
-0.062,-0.080,0.770
-0.214,-0.071,0.939
-0.018,0.000,0.381
0.215,-0.026,-0.053
0.215,-0.026,-0.725
0.063,0.036,-0.727
-0.223,-0.026,0.769
0.018,0.036,-0.575
-0.045,0.027,-0.184
0.116,0.045,-0.760
0.045,0.072,-0.025
0.009,-0.107,0.449
0.090,0.000,-0.188
0.000,0.027,-0.331
0.027,0.036,-0.401
0.054,0.018,-0.172
0.009,0.090,-0.598
0.000,0.063,-0.426
-0.062,-0.062,0.488
-0.062,-0.026,0.143
0.054,0.036,-0.056
-0.018,0.072,-0.346
0.116,-0.098,0.060
0.152,0.072,-0.794
-0.152,-0.017,0.946
0.072,0.027,-0.144
-0.179,-0.035,0.243
0.063,0.081,-0.359
-0.098,0.027,0.065
-0.080,-0.053,0.901
-0.045,0.045,0.404
-0.071,0.045,-0.153
0.063,-0.044,-0.156
0.000,-0.071,0.258
-0.071,0.018,0.633
0.125,-0.044,-0.563
0.134,-0.017,-0.693
-0.045,0.045,-0.098
0.107,-0.035,-0.255
-0.018,-0.098,0.634
-0.089,0.000,-0.093
0.045,0.009,-0.307
0.170,0.099,-0.577
0.009,-0.017,0.107
0.081,-0.009,-0.671
0.036,-0.026,-0.372
0.170,0.063,-0.677
0.098,-0.062,0.061
0.036,0.054,-0.309
0.179,0.143,-0.832
0.134,0.009,-0.753
-0.054,-0.009,0.563
0.036,-0.009,-0.057
0.125,0.063,-0.728
-0.250,-0.053,0.803
