x,y,t
0.079,0.055,0.509
0.069,-0.023,-0.003
0.049,-0.033,-0.135
0.020,-0.101,-0.387
-0.009,-0.043,-0.265
-0.068,0.095,0.217
0.030,0.134,0.698
0.069,-0.003,0.088
-0.029,-0.052,-0.122
-0.019,-0.062,-0.602
-0.039,-0.160,-0.730
0.001,-0.013,-0.117
-0.068,-0.092,-0.836
0.010,0.114,0.561
-0.009,0.046,-0.056
0.010,0.046,0.218
0.010,-0.043,-0.045
0.020,-0.033,-0.324
-0.009,-0.052,-0.338
-0.107,-0.003,-0.491
-0.078,-0.003,-0.668
0.216,-0.229,-0.705
0.079,0.114,0.786
0.020,0.065,0.310
0.069,0.006,0.165
-0.009,0.075,0.476
0.089,-0.023,-0.050
-0.019,0.153,0.807
0.020,0.144,0.897
0.059,-0.092,-0.299
0.020,-0.052,0.025
-0.029,0.046,0.437
-0.009,0.006,0.075
0.049,0.085,0.419
-0.019,-0.052,-0.368
-0.039,-0.082,-0.303
0.001,-0.052,-0.414
-0.009,-0.121,-0.693
0.059,0.055,0.321
-0.009,-0.052,-0.151
-0.048,-0.160,-0.957
0.010,-0.052,-0.105
-0.039,-0.003,-0.345
0.010,0.075,0.346
0.049,-0.043,-0.187
0.001,-0.003,-0.179
0.059,-0.101,-0.732
0.020,0.104,0.507
0.059,-0.082,-0.232
-0.019,0.104,0.752
0.001,-0.023,-0.163
0.059,-0.013,-0.061
-0.088,-0.052,-0.850
-0.019,-0.033,0.012
-0.019,0.134,0.820
-0.009,-0.072,-0.185
0.010,0.075,0.410
-0.039,0.055,0.161
-0.029,-0.013,0.155
0.010,-0.052,-0.490
-0.048,-0.023,-0.741
0.079,0.016,0.238
0.079,-0.062,-0.251
0.049,0.016,0.254
-0.039,-0.131,-0.933
0.049,0.065,0.542
0.030,-0.082,-0.654
0.020,0.114,0.731
-0.048,-0.131,-0.952
0.010,-0.121,-0.449
-0.029,0.114,0.563
-0.058,0.085,0.510
-0.039,-0.062,-0.715
-0.009,0.153,0.932
0.059,0.026,0.293
-0.009,-0.062,-0.654
-0.039,0.104,0.544
0.020,-0.170,-0.910
-0.009,0.055,-0.092
-0.029,-0.043,-0.041
-0.009,-0.043,-0.055
-0.097,0.006,-0.527
0.059,-0.101,-0.342
0.020,0.134,0.676
0.001,0.124,0.655
0.020,-0.111,-0.469
0.010,0.036,0.410
-0.019,0.036,0.043
0.020,-0.033,-0.066
-0.009,-0.072,-0.570
0.020,-0.141,-0.741
-0.019,-0.062,-0.167
-0.009,0.163,0.851
0.030,-0.013,0.059
-0.019,0.016,0.184
-0.039,0.124,0.921
-0.029,0.153,0.643
-0.009,0.124,0.638
0.049,-0.072,-0.215
0.001,-0.033,-0.041
-0.068,0.016,-0.180
0.001,0.026,0.309
0.059,-0.072,-0.315
-0.039,0.124,0.417
-0.048,0.095,0.248
0.059,-0.082,-0.100
-0.039,0.095,0.480
0.030,-0.033,0.134
0.001,-0.141,-0.905
0.030,-0.082,-0.447
0.049,-0.023,0.573
-0.009,-0.141,-0.746
0.010,-0.082,-0.479
0.049,0.065,0.410
0.020,-0.062,-0.051
-0.068,-0.121,-0.934
-0.048,0.104,0.441
-0.019,0.144,0.586
0.049,0.075,0.524
0.040,0.046,0.197
0.069,-0.043,-0.143
-0.048,-0.111,-0.860
-0.048,-0.033,-0.654
-0.019,-0.092,-0.719
0.030,-0.072,-0.176
-0.019,0.055,0.514
0.010,-0.072,-0.127
0.030,0.006,0.275
-0.009,-0.023,-0.171
-0.029,-0.043,-0.373
-0.009,-0.101,-0.767
-0.019,0.144,0.883
-0.029,-0.033,-0.295
-0.009,-0.062,-0.449
0.040,0.085,0.604
-0.019,-0.023,-0.674
0.010,-0.180,-0.875
0.040,0.114,0.746
-0.019,-0.023,0.038
-0.019,-0.141,-0.928
-0.019,-0.062,-0.370
-0.009,0.026,0.157
-0.048,-0.121,-0.915
-0.019,-0.121,-0.593
-0.009,0.085,0.483
-0.009,0.055,0.008
-0.078,-0.043,-0.803
0.059,0.114,0.581
-0.019,0.016,-0.116
0.040,0.046,0.428
0.069,-0.092,-0.301
-0.019,-0.043,-0.290
0.020,-0.101,-0.760
-0.029,-0.062,-0.775
-0.048,0.124,0.421
-0.039,-0.131,-0.845
0.079,0.036,0.369
-0.009,0.036,0.176
0.010,0.104,0.628
0.020,0.026,0.031
0.020,0.104,0.540
-0.029,-0.023,0.032
0.030,-0.101,-0.346
-0.058,0.055,0.211
-0.039,0.124,0.700
0.030,0.095,0.445
-0.029,0.104,0.513
0.001,-0.082,-0.630
-0.019,0.046,0.273
-0.039,-0.121,-0.920
-0.009,0.095,0.641
0.001,0.046,0.419
0.020,0.173,0.951
0.049,0.065,0.484
-0.039,-0.052,-0.114
-0.058,-0.082,-0.805
-0.009,-0.131,-0.832
0.049,-0.013,0.153
-0.029,0.065,0.500
0.069,0.065,0.521
0.001,-0.003,0.176
-0.058,-0.131,-0.924
0.069,-0.062,-0.249
0.030,0.134,0.768
0.001,-0.033,0.063
-0.039,-0.160,-0.917
-0.097,-0.003,-0.523
0.001,-0.023,-0.267
0.079,-0.072,-0.306
0.030,-0.101,-0.745
0.030,0.075,0.468
0.089,-0.111,-0.008
0.030,0.114,0.572
0.049,-0.033,0.144
-0.029,-0.092,-0.383
0.049,0.055,0.501
0.001,-0.052,-0.064
-0.078,-0.013,-0.652
-0.009,-0.043,-0.375
-0.039,-0.043,-0.065
0.079,-0.062,-0.103
0.030,-0.092,-0.322
0.010,-0.033,-0.119
-0.019,0.095,0.664
0.001,0.163,0.835
-0.048,0.114,0.353
0.030,0.085,0.601
-0.029,-0.052,-0.765
0.020,-0.082,-0.254
-0.019,-0.082,-0.708
0.001,0.114,0.721
-0.029,-0.072,-0.294
-0.009,0.016,0.323
0.020,-0.180,-0.891
0.020,0.026,0.396
0.069,0.065,0.324
-0.009,-0.160,-0.950
-0.058,0.114,0.613
-0.009,0.144,0.644
-0.019,-0.082,-0.343
0.001,0.055,0.453
-0.019,0.153,0.696
-0.068,-0.062,-0.493
-0.039,-0.033,0.047
0.020,0.163,0.890
-0.029,0.026,0.328
0.020,0.124,0.809
-0.009,0.055,0.442
-0.009,0.006,-0.261
-0.078,-0.160,-0.915
-0.009,0.026,0.336
0.001,-0.013,0.114
-0.048,-0.062,-0.190
-0.039,0.046,-0.193
-0.048,-0.013,-0.362
0.030,0.065,0.501
0.030,0.065,0.267
-0.048,0.104,0.629
-0.019,0.153,0.904
0.001,-0.111,-0.476
-0.039,-0.111,-0.377
-0.048,-0.121,-0.871
-0.019,-0.013,-0.252
-0.009,-0.082,-0.284
0.010,-0.052,-0.048
-0.009,0.055,0.457
0.010,0.016,0.291
0.001,0.095,0.472
0.030,0.085,0.623
0.001,-0.043,-0.066
-0.019,-0.111,-0.893
-0.009,0.144,0.735
-0.058,0.104,0.303
-0.078,0.114,0.550
-0.048,0.095,0.562
-0.019,-0.043,0.010
0.040,0.075,0.322
0.030,0.026,0.330
0.001,-0.131,-0.852
0.020,-0.072,-0.619
-0.009,0.095,0.547
-0.029,-0.101,-0.443
0.020,-0.092,-0.397
-0.019,-0.043,-0.078
-0.009,0.104,0.705
0.049,0.075,0.331
0.010,-0.033,0.004
-0.009,0.114,0.683
-0.048,-0.111,-0.773
-0.048,0.055,0.153
0.001,0.085,0.473
-0.068,-0.013,-0.309
-0.009,-0.013,0.111
0.049,0.055,0.250
-0.009,-0.111,-0.524
-0.009,0.153,0.731
0.059,0.075,0.534
0.030,-0.062,-0.148
0.030,-0.023,0.116
0.010,0.114,0.607
-0.019,0.173,0.886
0.049,-0.072,-0.191
0.001,0.134,0.718
-0.029,0.036,-0.036
0.020,0.036,0.371
-0.078,-0.023,-0.631
0.020,0.016,-0.098
-0.009,-0.003,0.038
0.001,-0.072,-0.213
0.069,-0.013,0.057
-0.019,-0.072,-0.520
-0.048,-0.082,-0.780
0.001,0.006,0.217
-0.029,0.144,0.529
-0.078,-0.023,-0.463
-0.039,0.114,0.715
-0.068,-0.013,0.066
0.010,0.036,0.391
-0.009,-0.013,0.136
0.010,-0.072,-0.239
0.030,-0.043,-0.081
-0.029,-0.062,-0.170
0.079,0.006,0.243
0.049,0.124,0.729
-0.009,-0.033,0.033
0.001,-0.092,-0.291
0.001,-0.170,-0.964
-0.019,-0.150,-0.945
0.001,-0.111,-0.635
-0.039,-0.131,-0.757
0.010,0.075,0.533
0.059,-0.043,-0.129
0.049,0.065,0.333
0.040,-0.003,0.221
-0.019,-0.013,0.108
-0.097,-0.013,-0.545
-0.009,0.046,0.390
0.059,-0.101,-0.270
-0.019,-0.190,-0.939
0.020,0.134,0.912
0.010,0.114,0.751
-0.009,-0.052,-0.392
0.059,0.085,0.636
-0.029,0.144,0.896
-0.009,-0.209,-0.958
0.010,-0.101,-0.413
0.010,-0.062,-0.455
-0.009,0.046,0.349
-0.039,-0.101,-0.448
0.020,0.046,0.184
0.020,-0.062,-0.525
0.001,0.016,-0.069
0.001,-0.023,0.053
0.040,0.075,0.545
0.010,0.085,0.364
0.059,-0.023,0.157
-0.009,-0.160,-0.854
-0.019,-0.121,-0.867
-0.088,-0.082,-0.876
-0.019,0.065,-0.052
-0.039,0.114,0.347
0.001,-0.013,0.084
0.049,0.055,0.443
0.001,0.104,0.697
-0.019,-0.052,-0.676
0.020,0.144,0.810
-0.058,0.124,0.648
-0.019,-0.092,-0.401
0.001,0.085,0.592
0.001,0.075,0.535
0.059,-0.092,-0.753
-0.058,-0.092,-0.762
-0.019,0.114,0.584
-0.009,0.036,0.344
0.001,-0.003,0.139
0.030,0.104,0.590
-0.029,0.114,0.698
0.001,-0.101,-0.702
0.001,0.036,0.070
0.001,0.144,0.694
0.030,0.104,0.514
-0.058,0.114,0.760
-0.068,-0.072,-0.299
0.020,0.104,0.631
-0.039,0.104,0.353
0.020,0.046,0.034
-0.029,0.036,-0.194
-0.029,-0.141,-0.939
0.020,-0.033,0.132
0.049,-0.111,-0.429
-0.029,-0.023,-0.342
0.010,0.095,0.443
-0.039,0.124,0.450
0.010,0.134,0.669
0.010,0.075,0.658
-0.048,0.036,0.036
0.069,0.085,0.450
-0.039,0.026,0.302
0.040,0.036,0.372
0.040,0.085,0.516
0.010,0.065,0.301
-0.009,-0.150,-0.814
0.030,-0.033,-0.192
0.069,-0.072,-0.207
0.040,-0.033,-0.310
0.010,-0.023,-0.212
0.049,-0.003,0.207
-0.029,-0.072,-0.796
-0.009,0.163,0.789
-0.009,0.163,0.963
0.049,0.124,0.767
0.001,0.114,0.512
0.059,0.055,0.453
0.010,-0.111,-0.607
0.010,-0.033,0.027
0.020,-0.033,0.050
0.059,-0.072,-0.201
-0.029,-0.082,-0.761
-0.019,0.006,0.226
-0.019,0.095,0.449
0.040,0.065,0.491
0.020,0.065,0.400
-0.058,0.134,0.772
-0.009,-0.023,-0.532
0.049,-0.092,-0.329
-0.009,-0.150,-0.876
0.001,-0.082,-0.493
-0.048,-0.013,-0.699
0.010,-0.052,-0.082
0.059,0.036,0.247
0.030,-0.003,0.135
-0.029,-0.072,-0.209
0.010,-0.141,-0.757
-0.029,0.065,0.524
0.059,-0.062,-0.110
-0.009,-0.121,-0.774
-0.029,0.144,0.621
0.010,0.055,0.491
-0.097,-0.013,-0.753
0.030,0.085,0.493
0.001,-0.023,-0.075
-0.029,0.065,0.259
0.040,-0.023,-0.002
-0.088,0.026,-0.351
-0.029,-0.092,-0.677
0.010,0.095,0.589
0.069,-0.003,0.193
0.089,-0.033,-0.118
-0.019,-0.033,-0.364
-0.078,-0.150,-0.888
-0.029,-0.092,-0.354
-0.078,0.124,0.745
0.040,-0.013,-0.140
-0.048,0.134,0.470
0.040,0.075,0.436
-0.068,0.006,0.064
-0.078,-0.141,-0.911
0.010,-0.043,-0.021
0.020,0.095,0.481
-0.058,-0.121,-0.688
-0.078,-0.043,-0.119
0.010,-0.043,-0.423
-0.058,-0.043,-0.305
-0.048,0.114,0.392
0.059,-0.111,-0.336
0.040,0.046,0.325
-0.039,-0.052,-0.650
0.001,0.016,-0.196
0.001,-0.072,-0.165
0.069,0.095,0.483
-0.019,0.134,0.599
-0.029,-0.150,-0.873
0.010,-0.101,-0.373
-0.009,0.134,0.594
0.010,-0.033,-0.282
-0.019,-0.062,-0.108
0.010,0.036,0.155
0.030,-0.052,-0.184
-0.019,-0.111,-0.528
0.069,0.055,0.385
0.001,0.006,-0.008
0.010,0.055,0.339
0.010,0.075,0.550
0.059,-0.043,-0.030
0.001,0.006,0.235
0.010,-0.062,-0.388
0.030,0.163,0.882
0.059,0.075,0.366
-0.019,-0.033,-0.132
-0.107,-0.101,-0.516
0.001,-0.003,0.036
0.010,0.085,0.595
-0.048,-0.043,-0.801
0.079,0.065,0.532
0.030,0.114,0.722
-0.039,0.026,0.225
0.010,0.026,0.121
0.001,0.075,0.613
0.049,0.065,0.505
0.001,-0.052,-0.326
-0.097,-0.150,-0.961
0.001,-0.023,-0.210
0.020,-0.062,-0.465
-0.009,-0.043,-0.010
-0.009,-0.141,-0.778
0.059,-0.023,0.004
0.010,0.114,0.729
-0.039,0.006,0.133
-0.009,0.065,0.403
0.030,-0.062,-0.034
-0.048,-0.121,-0.778
0.089,-0.111,-0.272
-0.019,-0.052,-0.746
0.049,-0.092,-0.381
0.020,-0.131,-0.862
0.079,-0.082,-0.249
-0.068,0.124,0.812
0.010,0.055,0.260
-0.029,0.085,0.761
0.010,0.104,0.538
-0.019,-0.072,-0.282
-0.009,0.075,0.560
-0.019,0.202,0.970
0.059,0.075,0.476
0.059,0.085,0.481
-0.088,-0.003,-0.501
-0.048,-0.219,-0.917
0.010,0.085,0.608
-0.009,0.124,0.565
-0.068,-0.072,-0.848
-0.009,0.046,0.426
-0.009,-0.023,-0.270
-0.029,-0.062,-0.067
0.030,0.124,0.626
-0.009,0.085,0.627
0.030,-0.052,-0.097
0.020,0.114,0.754
0.069,0.006,0.242
-0.048,-0.121,-0.694
-0.097,-0.131,-0.766
0.001,0.026,0.386
-0.019,-0.111,-0.833
-0.048,-0.121,-0.651
0.030,-0.023,-0.265
-0.019,0.075,0.292
-0.039,-0.101,-0.771
-0.048,-0.141,-0.498
-0.097,-0.101,-0.503
0.049,0.026,0.263
-0.068,-0.082,-0.854
0.040,0.036,0.151
0.010,-0.013,-0.039
-0.019,-0.082,-0.545
-0.058,-0.033,-0.351
0.040,-0.062,-0.158
-0.039,-0.121,-0.888
-0.019,0.065,0.519
0.020,-0.023,-0.156
0.010,-0.023,-0.259
-0.009,-0.043,-0.311
-0.019,-0.052,-0.087
-0.019,-0.062,-0.193
0.010,0.036,0.239
0.001,-0.062,-0.184
0.020,-0.131,-0.649
-0.009,0.055,0.480
0.059,-0.082,-0.259
-0.029,0.124,0.424
-0.048,-0.141,-0.965
0.040,-0.003,0.098
-0.039,-0.023,-0.260
0.079,0.104,0.571
-0.009,-0.170,-0.833
0.059,-0.101,-0.218
-0.019,0.163,0.861
0.059,-0.062,-0.259
-0.019,0.153,0.756
0.079,0.016,0.294
-0.039,0.144,0.604
0.069,-0.023,0.202
-0.029,0.134,0.846
0.049,0.055,0.293
0.040,0.016,0.360
-0.029,-0.111,-0.544
-0.048,0.036,0.320
0.030,-0.160,-0.873
-0.009,0.065,0.199
-0.009,-0.062,-0.155
0.030,0.036,0.393
-0.009,0.006,0.232
-0.029,0.026,0.251
0.010,0.163,0.908
-0.009,0.153,0.911
0.069,-0.043,-0.049
-0.029,0.192,0.951
-0.009,-0.170,-0.883
0.010,-0.043,-0.274
-0.039,0.153,0.667
-0.019,-0.101,-0.499
-0.039,-0.062,-0.520
0.069,0.075,0.381
0.030,-0.131,-0.830
0.010,0.006,-0.047
-0.029,-0.062,-0.383
-0.048,0.036,0.248
0.030,0.016,0.067
-0.019,-0.033,-0.012
-0.019,-0.003,-0.306
-0.048,-0.062,-0.732
-0.039,0.114,0.389
0.049,0.036,0.587
0.049,0.036,0.409
0.020,0.134,0.818
-0.019,0.065,0.597
0.010,-0.062,-0.225
0.049,0.006,0.180
-0.009,0.036,0.231
0.020,-0.043,-0.018
-0.019,-0.131,-0.619
-0.039,-0.092,-0.427
-0.088,-0.023,-0.675
-0.009,-0.131,-0.891
-0.048,-0.043,-0.695
-0.019,0.036,0.437
0.030,0.085,0.399
0.059,-0.101,-0.481
0.001,0.124,0.774
-0.019,-0.082,-0.275
0.020,0.055,0.222
0.069,0.095,0.670
-0.029,-0.033,0.021
-0.019,-0.062,-0.750
0.010,0.026,0.373
0.020,0.095,0.449
-0.097,0.016,-0.440
-0.029,0.095,0.779
0.049,-0.013,0.075
0.020,0.046,0.464
0.049,-0.023,0.098
-0.029,0.036,0.295
0.001,0.016,0.305
-0.009,0.104,0.538
-0.058,-0.033,-0.603
0.020,0.065,0.521
-0.019,0.036,-0.111
0.049,-0.052,-0.165
0.001,-0.043,-0.416
-0.029,0.104,0.691
-0.029,-0.033,-0.027
0.069,0.006,0.231
-0.029,0.006,-0.179
0.030,-0.013,-0.092
0.001,0.046,0.458
-0.009,0.095,0.666
-0.019,0.055,0.251
-0.019,-0.160,-0.830
0.069,-0.101,-0.500
0.020,-0.121,-0.352
0.049,0.006,0.015
-0.039,0.095,0.588
-0.019,-0.033,-0.240
0.010,-0.013,0.157
-0.029,0.055,-0.071
0.020,-0.013,-0.037
0.030,0.144,0.798
-0.009,0.036,-0.169
-0.019,0.026,0.344
0.040,-0.043,-0.021
0.001,-0.160,-0.841
0.040,-0.062,-0.429
0.010,0.036,0.366
-0.088,-0.170,-0.884
0.020,0.075,0.336
0.049,-0.062,-0.262
-0.048,0.026,-0.062
-0.029,-0.082,-0.823
-0.029,-0.101,-0.608
-0.009,-0.072,-0.640
0.001,0.065,0.367
-0.088,-0.023,-0.744
0.069,-0.023,-0.214
0.049,-0.033,-0.264
0.010,-0.023,0.087
0.059,-0.062,-0.351
0.010,0.016,0.269
-0.039,-0.111,-0.769
-0.019,0.046,0.417
-0.019,0.075,0.406
0.020,-0.062,-0.146
0.010,0.046,0.591
0.030,-0.072,-0.264
0.010,0.065,0.146
-0.009,0.114,0.733
0.001,-0.101,-0.423
-0.009,-0.150,-0.968
0.069,-0.092,-0.419
-0.009,0.016,0.281
0.049,-0.111,-0.603
-0.019,-0.023,0.093
0.069,-0.052,-0.040
-0.058,-0.101,-0.504
-0.029,0.144,0.574
-0.078,-0.062,-0.551
-0.088,-0.003,-0.745
0.001,-0.033,-0.239
0.010,0.016,0.362
-0.029,-0.101,-0.518
-0.009,0.144,0.862
0.030,0.075,0.563
0.079,-0.052,-0.064
0.010,-0.062,-0.130
0.030,-0.092,-0.478
-0.019,-0.043,-0.101
0.049,-0.003,-0.059
0.069,0.006,0.257
0.030,0.026,0.346
0.030,0.036,0.190
0.049,-0.082,-0.247
-0.068,0.153,0.757
-0.048,-0.072,-0.609
-0.009,0.036,0.048
-0.048,-0.072,-0.335
0.001,0.006,0.199
-0.029,0.202,0.975
0.001,-0.013,-0.244
-0.019,0.104,0.717
0.001,0.144,0.852
0.010,0.095,0.762
0.030,-0.121,-0.721
0.059,0.026,0.318
-0.039,0.114,0.668
0.049,0.016,0.336
0.010,-0.043,-0.364
-0.029,0.114,0.731
0.010,0.183,0.981
0.001,0.192,0.948
-0.019,0.183,0.904
-0.058,0.183,0.820
-0.029,0.065,-0.086
0.010,-0.013,0.102
0.030,-0.033,0.030
-0.019,-0.082,-0.619
0.001,-0.160,-0.966
-0.009,-0.101,-0.556
0.069,0.046,0.278
0.040,-0.043,-0.244
-0.068,-0.160,-0.970
0.020,-0.160,-0.832
-0.009,-0.023,-0.091
0.010,-0.092,-0.723
0.040,0.065,0.537
-0.009,-0.023,0.108
-0.078,0.104,0.544
0.020,-0.101,-0.545
0.010,-0.003,-0.027
0.001,-0.072,-0.413
0.010,-0.160,-0.893
0.020,0.016,0.333
0.040,0.114,0.585
-0.058,0.124,0.410
-0.039,-0.101,-0.484
-0.009,-0.013,-0.223
0.020,0.026,0.074
-0.039,0.104,0.723
0.030,0.026,0.166
0.069,-0.072,-0.320
-0.019,-0.092,-0.361
-0.058,-0.062,-0.336
-0.029,0.055,0.433
0.049,-0.043,-0.296
-0.039,-0.072,-0.633
-0.039,-0.082,-0.785
-0.009,0.006,0.215
0.030,0.075,0.432
0.059,0.065,0.486
0.010,-0.082,-0.212
0.020,-0.160,-0.891
0.001,0.036,-0.133
0.059,0.095,0.632
-0.019,0.114,0.725
-0.019,0.124,0.787
0.049,-0.023,-0.198
-0.009,-0.052,-0.101
-0.009,0.016,0.083
-0.009,0.104,0.689
-0.097,0.006,-0.761
0.020,0.016,-0.008
0.069,-0.003,0.148
0.030,0.114,0.740
-0.009,0.124,0.769
-0.009,0.006,0.200
0.049,0.046,0.406
0.040,0.153,0.962
0.040,0.016,-0.032
0.049,0.085,0.493
-0.078,-0.072,-0.845
-0.019,0.026,0.207
0.010,-0.092,-0.219
-0.048,0.134,0.822
0.040,0.095,0.635
-0.019,0.085,0.597
0.059,0.114,0.724
-0.019,0.114,0.482
-0.019,-0.052,-0.499
-0.009,0.016,0.146
0.010,-0.062,-0.519
0.049,0.026,0.395
-0.009,-0.033,-0.017
0.001,-0.023,0.077
0.040,-0.023,-0.131
0.079,-0.033,0.016
0.001,-0.023,0.208
-0.088,-0.062,-0.488
0.040,-0.062,-0.130
-0.078,-0.033,-0.495
-0.019,-0.141,-0.808
0.059,-0.043,-0.177
0.001,0.134,0.808
-0.009,-0.023,0.022
0.079,0.036,0.305
0.059,0.134,0.852
-0.117,-0.131,-0.752
0.049,0.046,0.277
0.040,0.104,0.675
0.030,0.055,0.251
0.010,-0.033,-0.329
0.049,0.046,0.221
-0.009,0.153,0.776
-0.019,0.104,0.702
0.059,-0.111,-0.420
-0.029,0.085,0.419
0.040,-0.023,0.131
0.001,0.095,0.628
0.010,0.134,0.780
-0.068,-0.043,-0.785
0.040,0.006,-0.095
-0.009,0.055,0.216
0.069,0.036,0.317
-0.019,0.144,0.774
0.020,0.055,0.462
0.069,0.134,0.986
0.059,0.055,0.435
0.001,0.183,0.973
0.079,-0.023,0.208
0.001,0.055,0.467
-0.068,-0.043,-0.302
-0.009,-0.033,-0.169
0.010,0.036,0.378
0.010,0.055,0.031
-0.019,0.192,0.940
-0.029,0.144,0.671
-0.019,-0.023,-0.229
0.098,0.134,0.927
-0.039,0.026,-0.270
0.020,0.104,0.737
0.040,0.114,0.680
-0.078,0.006,0.175
-0.009,0.046,0.438
0.001,0.153,0.732
0.059,-0.033,-0.045
0.059,-0.072,-0.447
0.059,-0.092,-0.145
-0.078,0.006,-0.709
-0.019,-0.121,-0.555
0.040,0.085,0.428
0.020,-0.072,-0.046
0.020,0.104,0.677
-0.019,-0.013,0.087
0.020,0.075,0.439
0.040,-0.043,-0.137
0.030,-0.023,0.088
0.010,-0.170,-0.905
0.059,0.036,0.365
0.020,-0.092,-0.237
0.010,-0.160,-0.854
0.049,-0.092,-0.761
-0.009,0.085,0.606
0.001,0.055,0.388
0.040,0.055,0.456
0.001,-0.101,-0.368
0.030,-0.101,-0.531
-0.019,-0.043,-0.191
-0.009,0.134,0.849
0.040,0.036,0.282
0.069,-0.043,0.117
-0.019,0.016,0.260
-0.068,-0.141,-0.891
0.059,-0.082,-0.387
0.049,0.124,0.670
-0.019,0.134,0.841
-0.009,0.026,-0.143
-0.009,0.114,0.757
-0.068,-0.131,-0.755
0.040,-0.052,-0.226
-0.088,-0.003,-0.432
0.079,-0.033,-0.219
-0.029,-0.082,-0.470
0.040,0.065,0.386
-0.078,-0.092,-0.880
0.010,0.065,0.502
-0.137,-0.170,-0.813
0.049,-0.033,0.069
-0.019,0.153,0.925
-0.048,0.144,0.913
0.049,-0.033,0.032
0.030,0.046,0.141
-0.029,0.065,-0.016
0.049,-0.013,0.253
-0.009,0.065,0.533
-0.039,0.036,-0.247
0.020,-0.013,0.136
0.030,0.124,0.790
0.040,0.124,0.630
0.079,-0.121,-0.297
0.001,0.055,-0.012
0.049,0.006,0.258
0.040,0.016,0.286
0.079,0.026,0.332
-0.058,-0.052,-0.737
-0.019,0.163,0.935
0.010,0.036,0.104
-0.078,-0.013,-0.335
0.010,0.134,0.858
0.079,0.075,0.385
0.030,0.114,0.608
-0.019,0.202,0.950
0.001,0.075,0.485
0.010,-0.013,-0.140
-0.019,-0.180,-0.918
0.069,0.046,0.405
0.059,0.095,0.499
0.001,-0.121,-0.764
-0.048,-0.043,-0.435
-0.029,-0.101,-0.416
-0.078,-0.013,0.064
-0.009,0.046,0.455
0.049,-0.072,-0.637
-0.019,-0.092,-0.548
0.001,0.026,0.093
-0.019,0.055,0.484
0.010,0.144,0.943
-0.029,0.016,-0.136
0.059,-0.052,-0.173
0.001,0.134,0.640
-0.009,-0.043,-0.085
-0.058,-0.160,-0.924
0.001,-0.072,-0.245
-0.029,-0.023,-0.239
-0.009,0.055,0.503
-0.039,0.104,0.639
0.010,-0.062,-0.152
-0.009,-0.062,-0.516
0.001,0.134,0.824
0.020,0.085,0.677
-0.009,0.036,-0.104
0.001,0.036,0.427
0.069,-0.013,0.158
0.079,-0.082,-0.325
-0.019,0.075,0.051
0.030,0.144,0.875
-0.019,-0.101,-0.419
0.049,0.026,0.174
0.010,0.046,-0.049
0.010,-0.111,-0.466
0.040,-0.082,-0.260
0.001,0.065,0.505
0.040,-0.023,0.093
-0.029,-0.121,-0.571
0.059,0.055,0.522
0.001,0.055,0.434
-0.009,-0.052,-0.127
-0.019,0.006,0.263
