x,y,t
-0.001,0.061,0.047
-0.001,-0.288,-0.903
-0.001,-0.279,-0.861
-0.009,-0.096,-0.336
-0.009,0.017,0.088
0.026,-0.061,-0.101
-0.009,0.043,0.216
-0.009,0.087,0.069
-0.001,0.227,0.638
0.008,-0.210,-0.532
-0.001,-0.367,-0.645
-0.018,0.323,0.738
-0.009,0.139,0.442
0.008,-0.227,-0.334
0.017,0.070,0.021
0.017,-0.070,-0.243
-0.018,0.253,0.774
0.008,0.087,0.049
0.017,-0.288,-0.807
-0.018,0.314,0.791
-0.001,-0.149,-0.447
0.008,0.017,0.050
0.026,-0.201,-0.626
0.008,-0.079,-0.409
0.008,0.166,0.294
0.026,-0.114,-0.530
0.008,-0.393,-0.716
-0.018,0.218,0.671
0.034,-0.314,-0.820
-0.001,0.035,-0.086
0.026,-0.236,-0.707
-0.001,-0.253,-0.652
-0.009,-0.079,-0.148
-0.027,0.227,0.751
-0.009,0.061,-0.003
-0.001,0.139,0.197
-0.009,-0.105,0.121
0.008,-0.279,-0.821
0.008,-0.026,-0.238
0.017,-0.061,-0.209
0.017,0.008,-0.160
0.008,-0.009,-0.006
0.017,-0.227,-0.631
0.008,-0.105,-0.440
-0.009,0.218,0.441
-0.001,0.166,0.440
0.008,-0.061,-0.385
-0.018,0.078,0.330
0.026,-0.218,-0.866
0.113,0.209,0.550
0.008,-0.061,-0.116
0.008,-0.053,-0.125
-0.001,-0.183,-0.103
-0.018,0.279,0.679
-0.001,0.035,-0.103
0.008,-0.253,-0.647
0.008,-0.262,-0.347
-0.018,0.218,0.671
-0.018,-0.000,0.329
0.017,-0.227,-0.897
-0.009,0.139,0.295
0.008,0.043,-0.039
0.017,-0.175,-0.696
0.008,-0.279,-0.734
0.008,-0.236,-0.327
-0.009,0.078,0.706
0.008,-0.009,-0.006
-0.001,0.026,0.208
-0.009,0.043,0.120
-0.001,-0.070,0.124
-0.001,-0.149,-0.473
0.008,-0.053,-0.297
-0.009,0.183,0.339
-0.001,-0.157,-0.656
-0.009,0.043,0.237
-0.009,0.043,0.120
-0.018,0.200,0.633
-0.001,0.261,0.571
0.008,-0.323,-0.514
-0.001,-0.009,0.081
-0.009,-0.053,-0.268
-0.018,0.096,0.167
0.017,-0.192,-0.744
-0.001,-0.149,-0.010
0.008,-0.340,-0.580
-0.009,-0.026,0.328
0.017,-0.096,-0.264
0.008,-0.114,-0.550
0.008,-0.218,-0.618
-0.018,0.157,0.548
-0.001,0.235,0.519
-0.009,0.253,0.532
0.008,-0.131,-0.356
0.008,0.122,0.200
-0.001,0.235,0.483
0.008,-0.192,-0.517
0.017,-0.096,-0.318
0.026,-0.070,-0.231
0.017,-0.122,-0.367
0.008,0.078,0.278
-0.009,0.200,0.405
0.008,-0.253,-0.355
-0.001,-0.044,-0.025
-0.001,0.166,0.440
-0.009,0.192,0.408
-0.009,-0.053,-0.169
-0.027,0.288,0.683
0.017,-0.140,-0.413
0.008,-0.175,-0.729
0.008,-0.131,-0.595
-0.001,0.104,0.157
0.008,-0.201,-0.497
0.026,-0.131,-0.574
-0.001,-0.192,-0.472
0.008,-0.262,-0.897
0.008,-0.105,-0.300
-0.001,0.078,0.264
-0.027,0.200,0.798
-0.001,-0.140,-0.318
0.008,-0.018,-0.222
0.008,-0.166,-0.480
-0.009,-0.279,-0.738
0.008,-0.149,-0.654
-0.001,0.078,0.290
-0.009,0.061,-0.003
0.017,-0.288,-0.854
0.026,-0.253,-0.690
-0.018,0.043,0.539
0.017,0.061,-0.003
-0.001,0.244,0.685
-0.001,-0.218,-0.839
-0.001,0.261,0.761
-0.009,0.122,0.464
0.017,-0.070,-0.374
-0.009,0.270,0.756
-0.001,-0.175,-0.090
-0.009,0.035,-0.050
-0.009,0.270,0.584
0.008,-0.149,-0.052
-0.009,0.288,0.720
-0.001,-0.140,-0.250
0.017,-0.035,-0.133
-0.009,0.270,0.775
-0.001,-0.131,-0.296
-0.018,0.043,0.563
-0.009,0.113,0.456
0.008,-0.114,-0.289
-0.018,0.235,0.709
-0.009,0.183,0.394
-0.001,0.096,0.317
-0.001,-0.096,-0.241
-0.009,0.078,0.257
0.008,-0.149,-0.631
0.008,-0.201,-0.576
0.017,-0.114,-0.476
0.008,-0.053,-0.363
-0.001,-0.018,-0.006
0.026,-0.297,-0.892
-0.027,0.131,0.677
-0.001,-0.018,-0.006
0.017,-0.192,-0.528
-0.001,-0.157,-0.656
0.008,-0.114,-0.326
-0.018,0.218,0.687
-0.009,-0.079,-0.148
-0.001,-0.210,-0.815
0.008,0.174,0.475
0.026,-0.070,-0.231
-0.018,0.323,0.769
-0.009,0.096,0.097
-0.009,0.104,0.408
0.026,-0.271,-0.854
-0.009,0.096,0.312
-0.001,0.139,0.197
-0.001,-0.210,-0.660
0.017,-0.253,-0.724
-0.001,-0.087,-0.443
0.008,-0.000,-0.172
0.017,-0.166,-0.473
0.008,0.061,0.011
-0.009,0.026,0.170
0.008,0.052,0.011
-0.009,-0.114,-0.396
-0.001,-0.262,-0.735
-0.009,0.026,0.109
-0.018,0.227,0.464
0.008,0.008,0.040
-0.001,-0.122,-0.550
0.017,-0.131,-0.557
-0.009,0.235,0.710
0.008,-0.149,-0.333
-0.009,0.122,0.406
0.008,-0.009,-0.149
0.017,-0.044,-0.149
-0.001,0.070,0.226
0.017,-0.061,-0.371
-0.001,0.157,0.287
0.008,0.035,0.110
-0.001,-0.114,-0.245
-0.001,-0.157,-0.033
-0.009,0.096,0.587
0.017,0.078,0.196
0.008,-0.262,-0.683
0.008,0.026,-0.058
-0.001,-0.157,-0.374
0.008,-0.114,-0.289
0.008,-0.096,-0.242
0.017,-0.201,-0.584
-0.018,0.305,0.689
-0.009,0.305,0.688
-0.001,-0.105,0.105
0.008,-0.035,-0.043
-0.001,-0.026,-0.269
-0.009,0.131,0.189
-0.018,0.192,0.373
-0.001,0.070,0.077
-0.001,-0.105,-0.425
0.008,-0.000,0.022
-0.027,0.174,0.606
0.017,-0.105,-0.520
-0.001,0.218,0.599
0.026,-0.175,-0.716
-0.009,0.104,0.388
-0.009,0.305,0.723
-0.009,0.244,0.542
0.008,-0.070,-0.150
0.017,-0.210,-0.781
-0.009,0.253,0.564
-0.009,0.192,0.363
0.017,-0.271,-0.794
-0.009,0.218,0.486
-0.018,0.096,0.384
-0.027,0.218,0.727
-0.001,-0.061,-0.328
-0.001,0.209,0.426
-0.009,0.043,-0.026
-0.018,0.323,0.811
-0.018,0.017,0.168
-0.009,0.331,0.778
0.008,-0.114,-0.534
-0.018,0.043,0.057
0.008,-0.044,-0.291
0.017,0.008,-0.160
-0.001,0.166,0.315
0.008,0.148,0.412
-0.018,0.323,0.811
-0.009,-0.053,0.012
-0.018,0.113,0.485
0.017,-0.262,-0.741
-0.009,0.157,0.271
-0.018,0.296,0.720
0.008,-0.018,0.007
0.026,-0.245,-0.702
-0.009,-0.018,-0.076
0.026,-0.026,-0.247
0.008,0.113,0.308
-0.009,0.017,0.415
0.008,-0.053,-0.125
-0.009,0.157,0.271
-0.009,0.244,0.613
-0.001,0.235,0.519
0.017,-0.061,-0.184
0.008,-0.175,-0.504
-0.001,0.192,0.370
0.008,0.008,0.040
0.008,0.104,0.316
0.017,-0.149,-0.467
-0.009,0.070,0.027
0.008,-0.044,-0.329
0.008,-0.236,-0.546
-0.009,0.008,-0.088
-0.001,0.209,0.591
0.008,0.008,-0.143
0.008,-0.122,-0.567
-0.027,0.157,0.408
0.017,-0.166,-0.592
-0.009,0.104,0.341
-0.001,-0.183,-0.575
-0.009,0.035,-0.078
0.008,-0.253,-0.647
0.008,-0.009,-0.196
-0.001,-0.070,-0.399
0.017,0.052,-0.033
-0.035,-0.279,-0.854
0.008,-0.157,-0.358
-0.001,0.052,-0.020
-0.001,-0.070,-0.044
-0.009,0.035,0.204
-0.009,0.270,0.668
-0.001,0.139,0.251
-0.001,-0.183,-0.674
-0.009,0.070,0.494
-0.009,-0.087,0.194
0.008,0.017,-0.090
-0.018,0.017,0.390
0.008,-0.087,-0.447
-0.001,-0.166,-0.688
0.017,-0.114,-0.548
-0.018,0.218,0.748
0.017,-0.096,-0.284
-0.001,-0.009,-0.220
0.026,-0.166,-0.681
0.017,-0.166,-0.661
-0.009,0.261,0.725
0.008,-0.079,-0.225
-0.001,-0.131,-0.577
-0.009,0.244,0.711
0.008,-0.061,-0.164
-0.001,0.183,0.567
-0.001,-0.149,-0.473
0.008,-0.131,-0.338
-0.009,0.174,0.541
-0.009,0.227,0.489
-0.001,-0.114,-0.450
0.017,-0.175,-0.500
-0.001,-0.122,-0.336
-0.018,0.043,0.057
0.008,0.157,0.447
-0.001,0.253,0.554
-0.009,-0.009,-0.062
-0.009,0.122,0.171
0.026,-0.122,-0.396
-0.018,0.139,0.504
-0.009,0.096,0.366
0.008,-0.218,-0.602
-0.018,0.096,0.674
-0.018,0.305,0.797
-0.001,-0.053,-0.101
-0.018,0.174,0.385
-0.001,0.174,0.527
-0.001,-0.131,-0.296
-0.001,0.087,0.277
0.017,-0.149,-0.406
-0.009,0.200,0.637
0.008,0.131,0.207
0.008,-0.157,-0.611
0.008,0.174,0.332
0.008,-0.105,-0.269
-0.009,-0.000,-0.036
-0.009,0.104,0.689
-0.001,0.131,0.432
-0.001,0.078,0.063
-0.001,0.026,-0.105
0.026,-0.201,-0.564
-0.001,0.122,0.393
0.026,-0.079,-0.253
-0.027,0.157,0.796
0.017,-0.131,-0.595
0.017,-0.306,-0.874
0.026,-0.096,-0.298
-0.009,0.043,0.019
-0.001,-0.157,-0.631
0.008,-0.061,-0.164
-0.035,0.270,0.728
-0.018,0.157,0.548
0.017,-0.279,-0.830
-0.001,-0.035,0.264
-0.001,0.017,0.158
0.008,0.192,0.529
-0.009,0.279,0.618
-0.027,0.253,0.826
0.017,-0.245,-0.712
-0.018,0.017,0.007
0.008,-0.227,-0.646
0.026,-0.279,-0.750
-0.001,-0.227,-0.807
0.017,-0.201,-0.540
-0.018,0.270,0.588
-0.018,0.166,0.572
-0.001,0.078,0.028
-0.001,0.174,0.527
-0.001,-0.044,-0.319
0.017,-0.227,-0.804
-0.009,-0.035,0.174
-0.018,0.200,0.683
-0.009,0.227,0.489
-0.009,-0.166,-0.561
0.017,-0.245,-0.679
-0.001,-0.227,-0.866
