x,y,t
-0.007,-0.070,-0.216
0.163,-0.270,-0.830
-0.051,0.137,0.435
-0.103,0.167,0.465
-0.014,-0.011,-0.218
-0.081,-0.025,-0.058
-0.037,0.137,0.507
-0.111,0.182,0.411
0.030,0.175,0.503
-0.029,-0.025,-0.066
0.075,-0.248,-0.859
0.001,0.004,-0.164
0.156,-0.225,-0.650
0.126,-0.070,-0.121
-0.081,0.145,0.279
0.045,-0.040,-0.063
0.075,0.078,0.240
0.008,-0.070,-0.247
-0.007,-0.033,-0.054
-0.044,0.056,0.162
-0.140,0.130,0.431
-0.014,-0.018,-0.112
-0.111,0.145,0.430
0.075,-0.085,-0.150
0.015,0.145,0.422
0.067,0.108,0.309
-0.029,0.093,0.306
-0.088,0.175,0.475
0.141,-0.218,-0.664
-0.037,0.063,0.168
-0.022,0.026,0.032
0.001,-0.070,-0.284
-0.014,-0.011,-0.197
-0.022,-0.011,0.017
0.075,-0.181,-0.623
0.001,0.049,0.186
0.015,0.182,0.511
-0.029,0.086,0.396
-0.088,0.175,0.532
0.045,0.130,0.460
-0.022,-0.018,-0.077
-0.140,-0.033,-0.091
-0.007,-0.025,-0.086
-0.074,0.108,0.304
0.001,0.071,0.224
-0.022,-0.003,-0.131
-0.051,0.145,0.526
0.030,0.019,0.183
-0.014,-0.033,-0.020
-0.066,0.071,0.192
0.008,-0.092,-0.328
0.038,0.100,0.428
0.045,-0.196,-0.671
-0.059,0.160,0.502
0.008,-0.011,-0.061
0.089,0.012,0.051
-0.096,0.123,0.404
0.060,0.123,0.367
-0.044,0.026,0.145
-0.007,-0.033,-0.111
0.001,-0.092,-0.222
-0.074,-0.003,-0.038
0.075,-0.203,-0.688
-0.022,0.004,-0.061
0.030,0.063,0.185
0.008,0.108,0.429
0.045,-0.196,-0.702
-0.037,0.026,-0.072
0.126,-0.055,-0.135
-0.103,0.123,0.417
0.149,-0.248,-0.620
-0.103,0.041,0.117
0.001,0.004,-0.069
-0.059,0.049,0.175
0.001,0.019,0.105
0.015,0.167,0.496
-0.081,0.071,0.257
0.097,-0.077,-0.199
-0.014,-0.174,-0.596
0.030,0.145,0.410
-0.029,-0.018,-0.035
0.023,0.093,0.405
-0.014,-0.025,0.006
0.089,0.078,0.247
0.097,0.026,0.091
-0.111,0.182,0.504
0.015,0.063,0.181
0.023,0.056,0.158
-0.014,0.100,0.319
-0.059,-0.033,-0.074
0.089,0.056,0.226
0.038,0.093,0.400
0.038,-0.100,-0.413
0.045,0.108,0.314
0.023,0.071,0.251
-0.029,-0.166,-0.550
-0.088,0.175,0.380
-0.059,0.071,0.226
-0.059,0.123,0.305
-0.029,0.100,0.404
0.178,-0.240,-0.714
0.001,0.086,0.332
0.141,-0.211,-0.657
0.089,0.049,0.163
-0.022,-0.174,-0.583
-0.088,0.130,0.478
-0.014,-0.003,-0.090
0.038,-0.085,-0.457
0.082,0.019,0.079
0.001,0.063,0.200
-0.037,-0.018,-0.082
0.030,-0.055,-0.129
-0.088,0.012,0.011
0.015,-0.070,-0.282
0.089,-0.055,-0.143
0.052,-0.196,-0.733
-0.014,-0.040,-0.183
0.060,-0.218,-0.887
-0.029,0.012,-0.125
-0.140,0.093,0.319
-0.066,0.160,0.485
0.075,-0.085,-0.232
0.001,-0.070,-0.160
0.075,-0.218,-0.803
-0.103,0.145,0.427
-0.022,-0.048,0.014
-0.111,0.130,0.513
-0.022,-0.025,-0.006
-0.096,0.189,0.513
0.067,-0.233,-0.718
0.052,-0.211,-0.753
0.075,0.012,0.043
-0.074,0.086,0.234
-0.037,0.019,0.158
0.008,-0.062,-0.281
0.075,0.123,0.358
-0.037,0.115,0.360
0.015,-0.085,-0.275
-0.014,0.041,-0.040
-0.014,0.093,0.284
0.141,-0.211,-0.536
-0.066,0.093,0.136
0.082,0.063,0.261
-0.103,0.167,0.476
-0.059,0.115,0.292
-0.007,-0.077,-0.253
0.052,-0.040,-0.018
-0.111,0.130,0.436
-0.074,0.004,0.048
0.075,-0.025,-0.051
0.052,-0.181,-0.671
0.149,-0.225,-0.692
-0.014,-0.070,-0.225
0.097,-0.055,-0.041
0.060,0.078,0.370
0.045,-0.181,-0.754
0.008,-0.062,-0.158
-0.074,0.130,0.357
-0.051,0.078,0.178
-0.059,0.123,0.363
0.075,0.041,0.201
-0.125,0.093,0.316
0.015,0.137,0.536
0.067,0.100,0.367
0.134,-0.070,0.024
-0.051,0.100,0.236
-0.037,-0.003,0.092
-0.014,0.019,-0.030
0.060,-0.211,-0.635
-0.118,0.167,0.531
0.104,0.004,0.092
0.082,-0.262,-0.889
-0.029,0.108,0.448
0.067,-0.233,-0.827
0.082,-0.040,-0.090
-0.014,0.137,0.413
0.075,-0.233,-0.843
0.015,-0.062,-0.330
0.008,0.012,0.137
0.060,-0.248,-0.821
-0.044,0.071,0.284
0.038,0.152,0.502
