scene,instance_id,fragment_id,class,traj_event_count,traj_start_ts,orig_event_count,nr_event_count,sampled_event_count
hn-bee-1,0,13,bee,22690,16708,1093,1093,2048
hn-bee-1,0,14,bee,22690,16708,1701,1701,2048
hn-bee-1,0,15,bee,22690,16708,1965,1965,2048
hn-bee-1,0,16,bee,22690,16708,1751,1751,2048
hn-bee-1,0,17,bee,22690,16708,2094,2094,2048
hn-bee-1,0,18,bee,22690,16708,1201,1201,2048
hn-bee-1,11,0,bee,25411,9434205,3850,3850,2048
hn-bee-1,11,1,bee,25411,9434205,2947,2947,2048
hn-bee-1,15,1,bee,9798,40563668,1412,1412,2048
hn-bee-1,15,2,bee,9798,40563668,1531,1531,2048
hn-bee-1,15,3,bee,9798,40563668,1509,1509,2048
hn-bee-1,15,4,bee,9798,40563668,1115,1115,2048
hn-bee-1,16,0,bee,10347,15316648,1073,1073,2048
hn-bee-1,3,0,bee,38695,7674867,1541,1541,2048
hn-bee-1,3,1,bee,38695,7674867,2246,2246,2048
hn-bee-1,3,2,bee,38695,7674867,2567,2567,2048
hn-bee-1,3,3,bee,38695,7674867,3172,3172,2048
hn-bee-1,3,4,bee,38695,7674867,6666,6666,2048
hn-bee-1,3,5,bee,38695,7674867,9034,9034,2048
hn-bee-1,3,6,bee,38695,7674867,5144,5144,2048
hn-bee-1,3,7,bee,38695,7674867,2292,2292,2048
hn-bee-1,3,8,bee,38695,7674867,1354,1354,2048
hn-bee-1,3,9,bee,38695,7674867,1188,1188,2048
hn-bee-1,4,7,bee,24285,9350746,1035,1035,2048
hn-bee-1,4,18,bee,24285,9350746,1069,1069,2048
hn-bee-1,4,19,bee,24285,9350746,1035,1035,2048
hn-bee-1,4,22,bee,24285,9350746,1289,1289,2048
hn-bee-1,4,23,bee,24285,9350746,1642,1642,2048
hn-bee-1,4,24,bee,24285,9350746,1364,1364,2048
hn-bee-1,4,25,bee,24285,9350746,2090,2090,2048
hn-bee-1,4,26,bee,24285,9350746,1448,1448,2048
hn-bee-1,8,0,bee,11361,4173946,2144,2144,2048
hn-bee-1,8,1,bee,11361,4173946,2435,2435,2048
hn-bee-1,8,2,bee,11361,4173946,2576,2576,2048
hn-bee-1,8,3,bee,11361,4173946,1098,1098,2048
hn-bee-1,9,4,bee,18648,5289327,1269,1269,2048
hn-bee-1,9,5,bee,18648,5289327,1069,1069,2048
hn-bee-1,9,6,bee,18648,5289327,1027,1027,2048
hn-bee-1,9,7,bee,18648,5289327,1220,1220,2048
hn-bee-1,9,8,bee,18648,5289327,1118,1118,2048
hn-bee-1,9,9,bee,18648,5289327,2198,2198,2048
hn-bee-1,9,10,bee,18648,5289327,1589,1589,2048
hn-bee-1,9,11,bee,18648,5289327,1279,1279,2048
hn-but-2,10,0,insect,5404,13513447,2254,2254,2048
hn-but-2,11,0,insect,12345,13537090,5835,5835,2048
hn-but-2,11,1,insect,12345,13537090,1449,1449,2048
hn-but-2,11,5,insect,12345,13537090,3469,3469,2048
hn-but-2,13,23,butterfly,8378,14518317,1475,1475,2048
hn-but-2,14,3,insect,40544,71356679,1692,1692,2048
hn-but-2,14,5,insect,40544,71356679,2443,2443,2048
hn-but-2,14,6,insect,40544,71356679,5132,5132,2048
hn-but-2,14,7,insect,40544,71356679,11792,11792,2048
hn-but-2,14,8,insect,40544,71356679,6016,6016,2048
hn-but-2,14,9,insect,40544,71356679,3505,3505,2048
hn-but-2,14,10,insect,40544,71356679,3537,3537,2048
hn-but-2,14,11,insect,40544,71356679,2726,2726,2048
hn-but-2,15,0,insect,29084,78625950,5716,5716,2048
hn-but-2,15,1,insect,29084,78625950,3144,3144,2048
hn-but-2,15,2,insect,29084,78625950,4194,4194,2048
hn-but-2,15,3,insect,29084,78625950,3936,3936,2048
hn-but-2,15,4,insect,29084,78625950,8172,8172,2048
hn-but-2,17,3,insect,76330,285447727,1722,1722,2048
hn-but-2,17,4,insect,76330,285447727,1573,1573,2048
hn-but-2,17,5,insect,76330,285447727,1757,1757,2048
hn-but-2,17,6,insect,76330,285447727,69466,69466,2048
hn-but-2,18,3,insect,16062,423052161,1375,1375,2048
hn-but-2,18,4,insect,16062,423052161,2629,2629,2048
hn-but-2,18,5,insect,16062,423052161,2776,2776,2048
hn-but-2,18,6,insect,16062,423052161,2880,2880,2048
hn-but-2,18,7,insect,16062,423052161,4445,4445,2048
hn-but-2,19,2,insect,11967,421984202,1208,1208,2048
hn-but-2,19,3,insect,11967,421984202,1248,1248,2048
hn-but-2,19,4,insect,11967,421984202,1801,1801,2048
hn-but-2,19,5,insect,11967,421984202,2370,2370,2048
hn-but-2,19,6,insect,11967,421984202,2652,2652,2048
hn-but-2,19,7,insect,11967,421984202,1713,1713,2048
hn-but-2,1,0,insect,9896,6420062,6072,6072,2048
hn-but-2,1,1,insect,9896,6420062,1161,1161,2048
hn-but-2,20,0,insect,32982,424087964,20152,20152,2048
hn-but-2,20,1,insect,32982,424087964,12791,12791,2048
hn-but-2,21,0,insect,23011,428827442,3001,3001,2048
hn-but-2,21,1,insect,23011,428827442,3909,3909,2048
hn-but-2,21,2,insect,23011,428827442,5615,5615,2048
hn-but-2,21,3,insect,23011,428827442,4447,4447,2048
hn-but-2,21,4,insect,23011,428827442,4464,4464,2048
hn-but-2,21,5,insect,23011,428827442,1382,1382,2048
hn-but-2,22,0,insect,15458,428894126,8712,8712,2048
hn-but-2,22,1,insect,15458,428894126,5447,5447,2048
hn-but-2,23,0,insect,949494,525103150,63047,63047,2048
hn-but-2,23,1,insect,949494,525103150,129924,129924,2048
hn-but-2,23,2,insect,949494,525103150,8609,8609,2048
hn-but-2,23,4,insect,949494,525103150,137529,137529,2048
hn-but-2,23,5,insect,949494,525103150,6991,6991,2048
hn-but-2,23,9,insect,949494,525103150,2369,2369,2048
hn-but-2,23,10,insect,949494,525103150,317727,317727,2048
hn-but-2,24,49,butterfly,80117,579197603,1417,1417,2048
hn-but-2,24,50,butterfly,80117,579197603,1390,1390,2048
hn-but-2,24,51,butterfly,80117,579197603,1115,1115,2048
hn-but-2,24,52,butterfly,80117,579197603,1341,1341,2048
hn-but-2,24,54,butterfly,80117,579197603,1326,1326,2048
hn-but-2,24,56,butterfly,80117,579197603,1590,1590,2048
hn-but-2,24,57,butterfly,80117,579197603,1108,1108,2048
hn-but-2,24,58,butterfly,80117,579197603,1370,1370,2048
hn-but-2,24,59,butterfly,80117,579197603,1425,1425,2048
hn-but-2,24,60,butterfly,80117,579197603,2002,2002,2048
hn-but-2,24,61,butterfly,80117,579197603,1686,1686,2048
hn-but-2,24,62,butterfly,80117,579197603,1673,1673,2048
hn-but-2,24,63,butterfly,80117,579197603,1583,1583,2048
hn-but-2,24,64,butterfly,80117,579197603,1197,1197,2048
hn-but-2,24,65,butterfly,80117,579197603,1096,1096,2048
hn-but-2,24,66,butterfly,80117,579197603,1049,1049,2048
hn-but-2,24,67,butterfly,80117,579197603,1109,1109,2048
hn-but-2,24,71,butterfly,80117,579197603,1204,1204,2048
hn-but-2,24,72,butterfly,80117,579197603,1078,1078,2048
hn-but-2,24,78,butterfly,80117,579197603,1071,1071,2048
hn-but-2,24,97,butterfly,80117,579197603,1138,1138,2048
hn-but-2,24,101,butterfly,80117,579197603,1552,1552,2048
hn-but-2,24,102,butterfly,80117,579197603,1909,1909,2048
hn-but-2,24,103,butterfly,80117,579197603,1534,1534,2048
hn-but-2,24,104,butterfly,80117,579197603,1974,1974,2048
hn-but-2,24,105,butterfly,80117,579197603,1446,1446,2048
hn-but-2,24,106,butterfly,80117,579197603,1679,1679,2048
hn-but-2,24,107,butterfly,80117,579197603,2330,2330,2048
