x,y,t
-0.426,-0.504,-0.372
0.235,0.321,0.206
0.244,0.365,0.199
-0.358,-0.475,-0.329
0.356,0.525,0.341
-0.479,-0.494,-0.398
0.443,0.584,0.458
0.147,0.161,0.091
-0.183,-0.285,-0.154
-0.435,-0.451,-0.338
-0.003,-0.052,-0.013
0.361,0.487,0.330
-0.008,-0.014,0.001
-0.440,-0.485,-0.275
0.133,0.229,0.128
-0.178,-0.305,-0.180
0.011,-0.009,0.016
0.322,0.477,0.281
-0.348,-0.470,-0.329
0.006,-0.028,-0.011
0.239,0.389,0.234
-0.028,-0.086,-0.041
0.036,0.035,0.024
0.108,0.224,0.114
-0.076,-0.159,-0.070
0.074,0.093,0.064
0.065,0.093,0.052
-0.319,-0.426,-0.284
0.502,0.603,0.474
0.176,0.297,0.171
0.526,0.613,0.467
0.327,0.462,0.306
-0.450,-0.499,-0.382
-0.139,-0.256,-0.145
-0.455,-0.494,-0.361
-0.100,-0.169,-0.092
-0.421,-0.480,-0.348
0.521,0.632,0.501
0.152,0.244,0.159
-0.236,-0.324,-0.215
-0.013,-0.062,-0.038
-0.435,-0.475,-0.349
0.278,0.404,0.235
0.171,0.200,0.109
-0.018,-0.048,-0.040
0.084,0.137,0.072
-0.032,-0.096,-0.046
0.341,0.506,0.305
-0.207,-0.339,-0.200
0.443,0.574,0.416
-0.062,-0.086,-0.068
-0.319,-0.451,-0.283
0.346,0.511,0.314
0.162,0.273,0.136
-0.290,-0.412,-0.252
0.006,-0.018,-0.010
-0.406,-0.470,-0.326
0.186,0.336,0.173
-0.066,-0.159,-0.095
-0.508,-0.475,-0.425
-0.241,-0.315,-0.206
-0.047,-0.116,-0.074
-0.382,-0.465,-0.302
-0.130,-0.251,-0.149
0.453,0.588,0.440
-0.207,-0.329,-0.185
-0.309,-0.412,-0.281
-0.222,-0.349,-0.200
-0.178,-0.310,-0.162
-0.173,-0.281,-0.176
0.021,0.006,0.005
-0.455,-0.509,-0.377
-0.110,-0.203,-0.095
0.264,0.433,0.249
-0.081,-0.164,-0.104
0.477,0.593,0.433
-0.018,-0.091,-0.053
0.137,0.239,0.135
-0.411,-0.460,-0.315
-0.499,-0.489,-0.413
-0.484,-0.494,-0.385
-0.295,-0.417,-0.265
0.550,0.622,0.504
0.395,0.540,0.349
-0.353,-0.441,-0.310
0.210,0.346,0.201
-0.246,-0.402,-0.233
-0.387,-0.485,-0.337
-0.275,-0.412,-0.238
-0.440,-0.480,-0.387
-0.290,-0.421,-0.249
-0.062,-0.116,-0.072
-0.392,-0.455,-0.321
-0.164,-0.281,-0.172
0.239,0.355,0.192
0.031,0.011,-0.005
0.074,0.137,0.072
-0.397,-0.465,-0.338
-0.503,-0.509,-0.426
0.439,0.584,0.394
0.244,0.341,0.196
0.011,-0.096,-0.046
-0.139,-0.227,-0.115
0.050,0.020,0.009
0.545,0.598,0.504
-0.042,0.006,-0.023
-0.469,-0.494,-0.372
0.104,0.152,0.092
-0.115,-0.208,-0.106
-0.154,-0.242,-0.151
0.278,0.399,0.286
-0.193,-0.329,-0.200
-0.062,-0.145,-0.092
-0.236,-0.387,-0.164
0.463,0.569,0.435
0.074,0.132,0.051
-0.207,-0.324,-0.177
0.201,0.312,0.181
-0.314,-0.431,-0.271
-0.309,-0.426,-0.284
-0.110,-0.183,-0.099
-0.164,-0.319,-0.155
0.574,0.637,0.512
-0.008,-0.048,-0.038
0.147,0.215,0.152
0.171,0.283,0.166
0.050,0.025,0.087
0.186,0.297,0.148
0.264,0.409,0.226
0.230,0.346,0.192
0.050,-0.009,0.010
-0.144,-0.276,-0.132
-0.246,-0.358,-0.228
-0.168,-0.295,-0.159
0.006,-0.057,-0.026
-0.469,-0.499,-0.398
-0.367,-0.475,-0.323
0.104,0.088,0.051
0.259,0.404,0.223
-0.217,-0.358,-0.218
0.031,0.054,0.012
-0.168,-0.295,-0.170
0.434,0.559,0.391
0.259,0.389,0.216
-0.120,-0.125,-0.085
0.502,0.627,0.487
0.312,0.457,0.279
0.375,0.545,0.348
0.448,0.550,0.391
0.011,-0.023,-0.003
0.011,0.006,0.003
0.254,0.385,0.235
0.521,0.613,0.449
0.244,0.365,0.224
-0.134,-0.222,-0.140
-0.023,-0.043,0.051
0.434,0.574,0.393
0.011,-0.018,0.032
0.244,0.380,0.233
-0.013,-0.018,-0.033
-0.183,-0.305,-0.188
0.060,0.103,0.038
-0.411,-0.485,-0.351
0.366,0.487,0.318
0.288,0.409,0.241
-0.173,-0.300,-0.163
-0.299,-0.426,-0.251
-0.052,-0.091,-0.064
-0.057,-0.057,-0.047
0.395,0.555,0.381
0.021,-0.014,0.007
-0.130,-0.237,-0.115
-0.518,-0.499,-0.374
0.079,0.098,0.045
-0.120,-0.232,-0.122
0.550,0.627,0.488
0.390,0.535,0.344
-0.105,-0.251,-0.133
0.550,0.720,0.296
0.036,0.001,-0.001
-0.003,-0.018,-0.009
-0.508,-0.480,-0.405
0.113,0.161,0.099
0.293,0.428,0.270
0.011,0.011,-0.013
0.128,0.219,0.111
-0.280,-0.387,-0.254
-0.066,-0.179,-0.081
-0.188,-0.285,-0.177
0.147,0.268,0.156
0.142,0.224,0.128
-0.193,-0.339,-0.196
0.011,-0.004,0.003
0.006,-0.048,-0.017
0.429,0.584,0.393
0.473,0.588,0.448
0.239,0.365,0.218
-0.159,-0.271,-0.152
0.142,0.268,0.150
-0.149,-0.256,-0.158
-0.139,-0.198,-0.126
0.259,0.375,0.232
0.108,0.186,0.082
-0.100,-0.164,-0.113
-0.013,-0.014,-0.023
-0.285,-0.421,-0.236
0.021,0.016,-0.005
-0.057,-0.116,-0.055
0.142,0.190,0.100
-0.183,-0.290,-0.181
-0.280,-0.125,-0.259
0.555,0.652,0.509
0.225,0.341,0.187
0.050,0.088,0.055
-0.367,-0.460,-0.315
0.409,0.535,0.395
0.196,0.307,0.164
0.239,0.375,0.201
-0.028,-0.043,-0.040
0.366,0.496,0.316
-0.275,-0.412,-0.251
-0.290,-0.436,-0.271
-0.324,-0.402,-0.283
0.346,0.501,0.301
0.026,0.025,0.021
-0.227,-0.363,-0.227
0.002,-0.004,-0.023
-0.411,-0.480,-0.323
0.094,0.118,0.070
-0.358,-0.446,-0.294
0.434,0.545,0.378
0.225,0.312,0.170
0.409,0.569,0.370
0.385,0.511,0.343
0.235,0.341,0.205
-0.144,-0.232,-0.127
-0.280,-0.441,-0.263
0.167,0.273,0.157
-0.100,-0.188,-0.117
-0.343,-0.358,-0.331
0.249,0.375,0.251
-0.479,-0.470,-0.399
-0.003,-0.033,-0.030
-0.295,-0.397,-0.272
0.094,0.132,0.073
0.147,0.200,0.097
-0.285,-0.412,-0.267
0.239,0.351,0.213
0.031,0.030,0.056
0.473,0.584,0.420
0.215,0.302,0.183
-0.144,-0.251,-0.154
-0.236,-0.378,-0.228
-0.338,-0.441,-0.295
0.439,0.550,0.375
0.104,0.118,0.086
-0.042,-0.077,-0.046
-0.465,-0.475,-0.391
0.531,0.627,0.474
0.439,0.559,0.449
-0.125,-0.251,-0.143
-0.338,-0.446,-0.270
0.142,0.278,0.154
0.167,0.253,0.126
-0.066,-0.067,-0.042
0.070,0.103,0.063
-0.246,-0.349,-0.225
0.171,0.292,0.153
0.089,0.142,0.080
-0.348,-0.451,-0.306
0.036,0.035,0.009
0.157,0.215,0.130
-0.270,-0.363,-0.244
-0.489,-0.514,-0.410
-0.392,-0.455,-0.309
-0.212,-0.368,-0.198
0.555,0.618,0.488
0.055,0.040,0.007
0.346,0.487,0.319
