x,y,t
-0.345,-0.125,-0.065
0.103,0.045,0.034
0.046,0.073,0.004
0.074,-0.016,0.043
0.063,0.031,-0.033
-0.407,-0.143,-0.130
0.497,0.087,0.134
0.056,0.045,0.042
-0.066,-0.005,-0.062
0.081,0.036,0.024
-0.401,-0.138,-0.095
-0.108,0.055,-0.000
0.091,0.073,0.047
0.019,-0.028,-0.026
-0.196,-0.099,-0.066
-0.047,-0.048,-0.005
0.100,0.077,-0.004
0.595,0.121,0.135
-0.189,-0.035,-0.010
-0.281,-0.089,-0.036
0.568,0.129,0.134
0.920,0.190,0.191
-0.259,-0.003,-0.037
0.085,0.029,-0.023
0.073,0.050,0.035
0.080,0.107,0.027
0.117,0.026,0.018
0.663,0.126,0.147
-0.397,-0.136,-0.085
-0.419,-0.067,-0.086
0.360,0.053,0.096
0.007,0.075,0.004
-0.226,-0.092,-0.023
0.401,0.051,0.103
-0.210,-0.101,-0.058
-0.281,-0.082,-0.067
-0.164,-0.082,-0.061
0.085,0.087,0.032
-0.144,-0.059,-0.020
-0.407,-0.094,-0.081
-0.015,0.061,0.010
-0.123,-0.021,-0.015
0.044,0.014,0.004
0.118,-0.006,-0.006
0.137,0.021,0.005
-0.035,-0.040,-0.047
-0.062,-0.070,-0.061
-0.145,-0.099,-0.062
-0.039,-0.006,-0.002
-0.177,-0.126,-0.078
-0.035,-0.042,-0.060
-0.189,-0.126,-0.009
-0.106,-0.006,0.002
-0.169,-0.026,-0.010
0.007,0.038,0.001
-0.188,-0.054,-0.053
-0.039,-0.062,0.006
0.838,0.168,0.175
-0.117,-0.037,-0.047
-0.318,-0.130,-0.063
-0.037,-0.048,0.013
-0.331,-0.182,-0.080
-0.439,-0.167,-0.085
0.019,0.007,0.021
0.881,0.257,0.167
0.330,0.063,0.090
-0.169,-0.015,-0.011
-0.013,0.073,0.020
-0.215,-0.097,-0.014
0.074,0.051,0.048
-0.436,-0.136,-0.083
-0.338,-0.097,-0.104
0.066,0.070,0.001
-0.078,0.036,-0.033
0.125,0.045,0.040
0.208,0.024,0.073
-0.118,0.016,-0.020
-0.076,-0.106,-0.014
0.030,0.056,0.036
-0.169,-0.076,-0.089
-0.456,-0.175,-0.091
-0.084,-0.055,0.010
-0.084,-0.103,-0.059
-0.123,0.006,-0.061
-0.100,-0.087,0.022
-0.135,0.002,-0.052
0.788,0.219,0.134
-0.039,0.012,-0.011
0.093,0.046,0.040
-0.172,-0.079,-0.010
-0.066,0.012,-0.012
0.218,0.043,0.075
-0.047,0.031,-0.004
0.051,0.041,-0.004
0.389,0.090,0.103
-0.296,-0.189,-0.082
0.164,0.038,0.063
-0.003,0.046,-0.004
0.690,0.132,0.151
-0.147,0.038,-0.016
0.391,0.055,0.101
0.081,0.043,0.040
-0.034,0.004,-0.025
-0.081,-0.030,-0.053
-0.189,-0.064,-0.039
0.073,0.017,0.021
-0.095,0.004,-0.036
-0.078,-0.037,0.020
-0.110,0.065,-0.003
0.107,0.043,0.025
0.093,0.063,-0.005
-0.286,-0.016,-0.060
-0.064,-0.028,-0.055
0.010,0.026,0.019
-0.056,0.002,-0.045
0.801,0.210,0.117
0.034,0.051,0.003
-0.159,-0.111,-0.006
0.115,0.036,-0.006
-0.046,-0.047,-0.016
0.145,0.019,0.049
-0.083,0.007,0.021
0.838,0.246,0.159
-0.083,0.007,-0.012
-0.210,-0.047,-0.024
-0.005,-0.001,0.018
0.058,0.085,0.048
0.000,0.077,-0.002
0.103,0.104,0.047
-0.056,0.011,0.019
0.101,0.056,0.017
0.024,0.011,-0.034
-0.127,-0.021,-0.062
0.678,0.132,0.148
0.837,0.225,0.143
-0.030,-0.021,-0.021
-0.064,-0.045,-0.008
-0.073,-0.006,0.012
-0.167,-0.028,-0.051
-0.074,-0.008,-0.045
-0.052,-0.043,-0.045
-0.074,-0.003,-0.011
0.009,0.004,0.019
-0.226,-0.065,-0.082
-0.105,0.028,-0.011
0.849,0.230,0.188
-0.299,-0.106,-0.044
-0.287,-0.123,-0.076
0.091,0.085,0.049
-0.257,-0.133,-0.039
0.000,-0.030,-0.021
0.129,0.017,-0.001
0.767,0.246,0.142
0.017,-0.033,0.009
-0.531,-0.131,-0.124
-0.225,-0.070,-0.026
-0.015,0.063,-0.002
0.120,-0.011,0.031
-0.546,-0.223,-0.140
-0.157,-0.028,-0.030
0.039,0.065,0.002
-0.027,0.024,0.020
-0.384,-0.199,-0.139
0.521,0.109,0.124
-0.299,-0.091,-0.042
-0.186,-0.054,-0.033
-0.020,0.036,0.010
-0.017,-0.001,0.004
0.019,0.051,0.049
0.698,0.134,0.156
0.893,0.257,0.164
-0.515,-0.185,-0.147
-0.064,0.031,-0.023
-0.066,-0.055,-0.030
-0.510,-0.177,-0.126
-0.066,0.002,-0.049
-0.103,0.001,0.021
0.585,0.099,0.135
0.093,0.012,-0.020
0.189,0.028,0.067
0.007,0.014,0.020
-0.472,-0.076,-0.101
0.120,0.046,0.027
0.029,0.072,0.036
-0.057,-0.048,-0.022
-0.069,-0.032,-0.046
0.054,0.065,0.032
0.032,-0.033,0.037
0.078,0.024,-0.016
0.118,0.028,0.049
-0.301,-0.190,-0.091
0.047,0.110,0.050
-0.517,-0.207,-0.131
-0.056,-0.057,-0.028
0.090,0.078,0.005
0.017,-0.023,0.016
0.101,0.116,0.036
-0.108,0.011,-0.015
-0.081,-0.028,-0.022
0.066,0.060,0.008
-0.066,-0.021,0.020
-0.412,-0.165,-0.074
-0.499,-0.140,-0.139
0.835,0.239,0.153
0.906,0.193,0.188
0.355,0.061,0.094
0.117,0.036,0.018
-0.005,0.038,-0.021
-0.419,-0.138,-0.076
0.681,0.132,0.160
-0.069,-0.021,-0.059
-0.047,-0.025,0.011
0.882,0.261,0.184
-0.235,-0.131,-0.035
-0.274,-0.155,-0.040
0.063,-0.016,0.041
-0.113,-0.077,-0.020
-0.387,-0.157,-0.069
0.130,0.055,0.023
-0.284,-0.153,-0.098
-0.100,-0.050,-0.055
-0.084,-0.096,-0.035
-0.083,0.078,0.019
-0.056,0.034,0.003
-0.015,0.023,0.006
0.032,0.102,0.049
-0.231,-0.155,-0.069
-0.417,-0.157,-0.075
0.105,0.031,0.020
0.162,0.024,0.061
0.543,0.124,0.128
-0.027,-0.055,-0.003
-0.193,-0.118,-0.059
0.833,0.246,0.176
-0.051,-0.026,-0.059
-0.078,-0.033,-0.062
0.752,0.236,0.162
-0.140,-0.015,-0.032
-0.269,-0.086,-0.035
-0.064,-0.054,0.017
-0.460,-0.175,-0.108
-0.100,0.016,0.000
0.005,0.050,-0.005
0.112,0.056,0.023
-0.324,-0.059,-0.065
0.066,-0.047,-0.032
0.308,0.058,0.086
-0.037,-0.059,0.020
0.147,0.026,-0.003
-0.323,-0.097,-0.081
0.931,0.188,0.191
-0.088,-0.043,0.008
-0.034,-0.003,-0.009
0.142,-0.010,0.014
0.051,0.066,-0.006
0.073,0.061,0.016
-0.487,-0.168,-0.102
-0.166,-0.116,-0.034
-0.066,0.050,-0.006
-0.191,-0.032,-0.050
-0.044,0.021,0.017
0.135,0.002,-0.002
-0.137,-0.045,-0.038
-0.008,-0.008,-0.034
0.029,0.001,-0.008
-0.110,-0.091,0.018
0.063,0.034,0.004
-0.046,-0.050,0.018
0.041,0.119,0.045
-0.537,-0.189,-0.120
-0.106,-0.028,-0.036
-0.274,-0.104,-0.060
-0.198,-0.054,-0.027
0.025,0.050,-0.006
0.042,0.070,0.026
0.348,0.068,0.093
-0.110,-0.048,0.003
0.238,0.031,0.075
-0.120,-0.097,-0.056
-0.047,-0.006,-0.016
0.078,0.072,0.030
0.147,0.029,0.049
-0.390,-0.182,-0.145
-0.074,-0.062,-0.059
-0.071,0.006,-0.039
-0.035,-0.043,-0.028
0.522,0.119,0.125
0.005,0.014,-0.006
-0.451,-0.160,-0.091
-0.066,-0.037,-0.025
0.041,0.109,0.044
0.118,0.104,0.027
-0.157,-0.097,-0.022
-0.090,-0.045,-0.060
0.140,0.014,-0.006
-0.062,-0.010,-0.007
0.129,0.070,0.049
-0.384,-0.214,-0.128
0.059,0.028,-0.021
0.771,0.237,0.139
0.061,0.055,0.032
-0.025,0.066,0.007
-0.292,-0.052,-0.077
0.019,-0.016,0.025
0.030,0.048,0.040
0.418,0.073,0.106
0.107,-0.013,0.049
0.382,0.075,0.099
-0.039,-0.010,-0.037
-0.174,-0.025,-0.077
-0.223,-0.064,-0.010
0.030,-0.021,0.009
-0.267,-0.069,-0.057
-0.166,-0.084,-0.023
0.073,0.061,0.039
0.876,0.266,0.167
-0.417,-0.087,-0.113
-0.024,-0.020,0.011
0.022,0.038,-0.023
0.130,0.012,0.049
0.806,0.236,0.152
0.054,0.078,0.014
-0.240,-0.121,-0.064
0.086,0.021,-0.020
0.862,0.271,0.185
-0.100,-0.016,-0.047
0.130,0.001,0.029
0.382,0.065,0.104
-0.088,0.033,-0.029
0.027,0.001,-0.026
-0.439,-0.153,-0.087
0.081,0.075,-0.006
-0.110,-0.050,-0.027
0.514,0.102,0.121
-0.003,-0.030,0.013
0.076,0.077,0.012
-0.529,-0.145,-0.145
-0.281,-0.160,-0.076
0.137,-0.011,0.003
0.113,0.026,0.001
-0.184,-0.062,-0.011
-0.536,-0.162,-0.136
-0.194,-0.125,-0.074
-0.047,0.038,0.019
0.551,0.116,0.130
-0.088,0.077,0.003
-0.096,-0.062,0.007
-0.083,-0.005,0.017
0.098,0.097,0.022
-0.225,-0.054,-0.070
-0.095,0.009,-0.020
0.891,0.198,0.186
-0.176,-0.097,-0.015
-0.044,0.060,-0.002
-0.044,0.009,0.016
0.512,0.124,0.124
-0.297,-0.133,-0.105
-0.042,0.029,-0.012
-0.181,-0.033,-0.090
-0.052,-0.043,-0.035
0.036,0.110,0.023
-0.480,-0.163,-0.145
0.903,0.173,0.190
0.546,0.109,0.126
-0.164,-0.140,-0.059
0.015,-0.021,-0.033
0.024,0.006,-0.016
-0.047,0.029,-0.027
0.127,0.043,0.016
0.781,0.212,0.156
-0.091,-0.018,-0.036
0.100,0.055,0.030
-0.233,-0.130,-0.023
0.764,0.156,0.163
0.091,0.028,-0.015
-0.324,-0.125,-0.050
-0.118,-0.070,-0.032
-0.088,-0.003,-0.041
-0.240,-0.037,-0.085
-0.240,-0.089,-0.066
-0.120,-0.089,-0.034
-0.247,-0.130,-0.089
-0.193,-0.054,-0.014
0.490,0.100,0.118
0.049,0.055,-0.005
0.068,0.119,0.033
-0.228,-0.126,-0.057
-0.433,-0.187,-0.132
-0.123,-0.035,-0.031
-0.155,-0.125,-0.023
-0.024,-0.047,-0.034
0.108,0.082,0.038
0.052,0.065,0.018
0.095,0.019,0.027
-0.186,-0.086,-0.058
-0.166,-0.119,-0.024
0.088,0.117,0.047
0.029,0.029,0.001
0.086,0.026,0.006
-0.306,-0.168,-0.086
-0.412,-0.133,-0.147
-0.270,-0.045,-0.088
-0.230,-0.081,-0.051
0.044,-0.011,0.036
-0.401,-0.089,-0.114
-0.203,-0.065,-0.017
0.036,0.009,0.039
0.413,0.082,0.106
0.025,-0.026,0.021
-0.399,-0.060,-0.072
-0.073,0.031,0.020
-0.111,-0.033,-0.012
0.024,0.006,0.050
-0.255,-0.113,-0.056
0.069,0.029,-0.015
0.876,0.271,0.185
-0.096,-0.010,-0.000
-0.534,-0.209,-0.120
-0.071,0.019,0.015
-0.027,-0.048,0.010
-0.331,-0.146,-0.115
-0.237,-0.096,-0.027
-0.088,-0.101,-0.026
-0.042,-0.006,-0.061
0.156,0.007,0.010
-0.189,-0.070,-0.053
-0.034,0.026,-0.024
0.795,0.224,0.151
0.046,0.045,0.014
0.123,0.038,0.048
0.828,0.259,0.177
-0.149,0.014,-0.033
0.842,0.232,0.148
0.024,-0.035,0.045
-0.024,-0.037,0.021
0.786,0.214,0.108
0.840,0.261,0.167
0.039,0.036,-0.029
-0.091,-0.050,-0.038
0.012,0.006,0.006
-0.101,0.041,0.021
-0.311,-0.128,-0.097
-0.017,-0.020,0.021
-0.407,-0.076,-0.066
-0.441,-0.143,-0.147
-0.059,0.001,-0.057
-0.020,0.009,-0.009
-0.162,-0.008,-0.049
-0.012,0.045,0.018
-0.117,-0.005,-0.007
0.129,0.017,0.036
0.737,0.141,0.162
-0.152,0.029,-0.023
0.064,0.036,-0.023
0.118,0.068,0.039
-0.106,0.021,0.010
-0.318,-0.111,-0.049
0.137,0.038,0.022
-0.372,-0.187,-0.077
0.142,0.055,0.037
-0.091,-0.028,-0.041
-0.414,-0.125,-0.096
-0.012,0.014,-0.006
-0.029,0.038,-0.020
-0.115,-0.015,-0.026
0.103,0.056,0.040
0.042,0.070,0.049
0.103,0.029,-0.003
-0.289,-0.123,-0.117
-0.336,-0.114,-0.042
-0.412,-0.077,-0.079
0.708,0.134,0.158
0.063,0.001,0.042
0.069,0.102,0.050
0.362,0.061,0.101
-0.461,-0.153,-0.124
-0.096,-0.011,-0.061
0.049,0.077,-0.005
-0.125,-0.021,-0.032
0.020,0.041,-0.005
-0.461,-0.180,-0.138
-0.321,-0.042,-0.054
-0.005,-0.018,-0.003
-0.064,-0.060,-0.002
-0.198,-0.094,-0.026
-0.164,-0.060,-0.019
-0.358,-0.146,-0.096
-0.314,-0.121,-0.043
-0.030,0.038,-0.008
0.238,0.017,0.075
-0.081,0.019,-0.007
-0.417,-0.055,-0.068
-0.181,-0.042,-0.062
0.406,0.075,0.104
-0.039,-0.018,-0.010
-0.105,-0.054,-0.044
-0.096,-0.081,-0.041
-0.164,0.009,-0.017
-0.103,-0.079,-0.015
-0.024,-0.033,-0.001
-0.066,-0.042,-0.062
-0.039,0.007,0.004
0.152,0.026,0.033
-0.040,-0.020,-0.026
0.399,0.099,0.105
-0.482,-0.182,-0.122
-0.078,0.078,-0.004
-0.196,-0.087,-0.014
-0.465,-0.172,-0.100
0.796,0.230,0.142
0.847,0.215,0.142
-0.286,-0.101,-0.040
-0.549,-0.184,-0.123
0.022,0.019,0.018
-0.161,-0.021,-0.014
0.085,0.055,0.047
-0.289,-0.084,-0.039
-0.008,-0.010,0.008
0.865,0.161,0.183
0.930,0.259,0.191
0.078,0.068,0.007
0.095,0.031,-0.032
-0.084,-0.099,-0.010
0.100,0.068,0.045
-0.022,-0.013,-0.034
-0.512,-0.138,-0.144
-0.302,-0.082,-0.057
0.056,0.043,0.017
0.037,0.055,0.020
0.558,0.109,0.129
0.024,0.114,0.045
0.012,0.028,-0.032
-0.482,-0.109,-0.109
-0.270,-0.119,-0.069
-0.392,-0.145,-0.128
-0.040,-0.040,0.020
-0.061,-0.011,0.009
-0.264,-0.130,-0.076
-0.025,0.001,-0.002
0.347,0.058,0.098
0.027,-0.015,0.019
0.039,0.066,0.016
-0.042,-0.021,-0.051
0.931,0.271,0.178
-0.101,0.075,-0.004
-0.110,0.028,-0.003
0.149,0.073,0.013
-0.117,0.031,-0.012
-0.110,-0.018,-0.005
-0.012,0.053,-0.003
-0.201,-0.111,-0.026
0.840,0.244,0.136
-0.279,-0.145,-0.059
-0.035,0.061,0.012
-0.154,-0.113,-0.032
0.007,0.012,-0.032
0.137,0.061,0.016
