x,y,t
-0.203,0.017,-0.360
0.056,0.002,0.126
0.118,-0.006,0.196
-0.101,-0.014,-0.220
-0.336,0.056,-0.559
-0.375,0.056,-0.563
-0.375,0.049,-0.561
0.165,-0.038,0.291
0.275,-0.022,0.484
-0.430,0.072,-0.690
-0.305,0.056,-0.489
0.024,-0.006,0.019
-0.015,-0.006,-0.046
0.361,-0.030,0.569
0.424,-0.030,0.707
0.306,-0.030,0.483
0.173,-0.022,0.286
0.244,-0.030,0.486
-0.046,0.009,-0.090
0.001,-0.022,-0.035
0.056,-0.022,0.061
0.040,0.002,0.058
0.173,-0.030,0.277
-0.406,0.072,-0.683
0.079,0.002,0.115
-0.023,0.009,-0.060
0.275,-0.045,0.495
-0.179,0.033,-0.319
0.416,-0.038,0.712
0.306,-0.022,0.473
-0.070,-0.006,-0.057
0.048,0.049,-0.233
0.220,-0.006,0.363
-0.195,0.009,-0.399
-0.305,0.041,-0.526
-0.054,0.009,-0.063
0.071,-0.022,0.112
-0.320,0.041,-0.559
-0.148,0.025,-0.259
0.056,-0.006,0.151
-0.046,0.002,-0.013
-0.015,0.002,-0.043
-0.015,-0.014,-0.013
0.110,0.095,-0.312
0.064,-0.022,0.087
0.079,-0.092,0.063
-0.281,0.025,-0.461
0.306,-0.030,0.530
-0.250,0.049,-0.386
0.291,-0.038,0.574
-0.148,0.017,-0.190
-0.399,0.064,-0.605
0.408,-0.030,0.693
-0.336,0.033,-0.593
0.181,-0.022,0.268
0.173,-0.045,0.276
-0.242,0.049,-0.382
0.251,-0.022,0.474
-0.258,0.033,-0.454
-0.195,0.033,-0.343
-0.038,-0.006,-0.115
0.338,-0.038,0.579
0.439,-0.038,0.737
0.009,-0.022,-0.009
-0.250,0.041,-0.379
0.001,0.002,-0.005
0.275,-0.053,0.456
0.173,-0.030,0.277
-0.054,0.002,-0.090
0.017,0.002,0.094
-0.030,0.002,-0.058
0.079,-0.006,0.180
0.197,-0.014,0.376
-0.187,0.002,-0.339
0.345,-0.045,0.604
-0.195,0.033,-0.278
