x,y,t
-0.010,-0.051,0.150
0.005,0.049,-0.085
0.019,0.035,-0.149
0.012,0.013,-0.002
-0.053,0.070,-0.371
-0.045,0.070,-0.038
0.005,0.078,-0.409
0.040,0.027,-0.258
-0.053,0.078,-0.388
-0.067,0.042,-0.335
0.033,-0.015,0.020
-0.031,-0.051,0.377
0.026,-0.044,0.080
-0.010,-0.066,0.394
-0.003,-0.058,0.425
-0.024,-0.123,0.407
0.019,-0.001,-0.018
0.005,0.056,-0.412
0.033,0.027,-0.236
-0.060,0.078,-0.134
-0.003,0.042,-0.147
0.019,0.027,-0.272
0.019,-0.180,0.648
-0.003,0.128,-0.342
-0.010,0.099,-0.391
-0.024,0.020,-0.176
-0.031,-0.008,0.212
-0.024,0.006,0.189
0.012,-0.037,0.230
-0.017,0.042,-0.092
0.026,0.020,0.051
-0.010,-0.051,0.102
-0.010,-0.023,0.208
-0.031,0.070,-0.183
0.048,0.042,-0.234
-0.003,-0.073,0.442
0.133,-0.209,0.859
0.012,0.063,-0.297
0.005,-0.130,0.810
-0.003,-0.066,0.170
0.012,-0.130,0.489
-0.038,0.056,-0.117
-0.010,0.049,-0.219
0.019,-0.015,-0.112
-0.017,-0.058,0.208
-0.045,0.027,-0.078
-0.017,-0.073,-0.023
0.012,0.070,-0.404
-0.060,0.078,-0.373
0.005,0.027,0.053
0.005,0.035,-0.324
0.026,0.063,-0.316
0.162,-0.201,0.836
-0.031,-0.101,0.372
0.005,0.027,-0.343
-0.024,0.013,0.046
-0.031,0.120,-0.441
0.026,-0.015,0.090
-0.010,-0.001,-0.054
-0.024,0.035,-0.042
0.040,0.020,-0.234
-0.053,0.056,-0.271
-0.024,0.078,-0.456
-0.031,-0.015,-0.131
-0.003,-0.073,0.235
0.005,0.049,-0.411
0.019,0.013,-0.033
0.012,-0.066,0.134
-0.010,0.049,-0.291
0.112,0.020,0.497
0.026,-0.008,0.087
-0.003,-0.116,0.373
-0.003,0.042,-0.344
0.005,0.063,-0.238
0.012,-0.137,0.506
0.019,0.078,-0.198
0.026,0.056,-0.223
-0.038,0.049,-0.040
0.005,-0.015,-0.149
0.012,0.049,-0.240
0.005,-0.087,0.649
-0.010,0.042,-0.119
0.033,0.027,-0.218
0.005,0.027,-0.114
-0.017,0.027,-0.326
0.040,-0.023,-0.149
0.005,-0.030,0.158
0.105,-0.137,0.840
0.048,-0.087,0.142
-0.003,0.020,-0.077
-0.031,-0.051,0.177
0.019,0.035,-0.090
0.012,-0.015,0.166
-0.003,-0.030,-0.115
-0.031,0.027,-0.001
-0.010,-0.051,0.220
-0.003,0.056,-0.433
-0.088,0.063,-0.362
0.005,-0.087,0.290
-0.031,0.020,0.038
0.048,0.085,-0.417
-0.010,-0.123,0.729
-0.038,-0.044,0.381
-0.024,0.070,-0.443
-0.081,0.149,-0.407
0.062,0.049,-0.312
0.026,-0.159,0.710
0.026,0.027,-0.265
-0.010,0.035,0.024
-0.003,-0.058,0.163
0.033,-0.023,-0.174
0.012,-0.044,0.257
0.141,-0.194,0.898
0.005,0.020,-0.089
0.005,0.099,-0.429
-0.010,0.049,-0.096
-0.003,-0.037,0.288
-0.074,0.013,-0.168
-0.017,0.106,-0.373
-0.096,0.099,-0.350
0.133,-0.230,0.893
-0.003,-0.015,-0.133
0.012,-0.044,0.257
0.033,0.020,0.128
0.155,-0.223,0.937
-0.003,0.035,-0.122
-0.053,0.056,0.090
-0.031,0.056,0.012
-0.003,0.042,-0.381
-0.038,0.092,-0.392
-0.017,0.020,-0.246
0.005,-0.023,0.332
0.040,-0.015,-0.179
-0.103,-0.001,-0.152
-0.038,-0.008,-0.069
-0.003,-0.008,0.189
0.105,-0.130,0.934
0.012,-0.023,0.097
-0.017,-0.030,0.022
-0.017,-0.008,-0.020
0.012,0.063,-0.226
-0.038,0.006,0.134
0.012,-0.116,0.475
0.005,-0.123,0.770
0.012,-0.023,-0.044
-0.038,-0.108,0.230
-0.038,-0.001,0.210
0.012,-0.015,0.101
0.112,-0.015,0.516
0.055,0.063,-0.412
0.019,0.006,-0.228
-0.038,0.120,-0.403
0.012,0.020,-0.115
-0.024,0.056,-0.035
-0.010,-0.051,0.220
-0.053,0.085,-0.374
0.012,0.063,-0.413
-0.010,0.042,-0.373
0.005,0.013,-0.022
-0.031,-0.037,0.310
-0.010,0.063,-0.319
0.005,0.063,-0.266
-0.017,0.070,-0.361
-0.031,0.020,0.075
-0.053,0.013,0.567
0.148,-0.209,0.937
0.005,0.006,-0.187
-0.053,0.063,-0.275
-0.053,0.035,-0.314
0.012,-0.008,0.000
0.033,0.006,-0.226
-0.024,0.020,-0.325
-0.024,-0.015,0.170
0.126,-0.230,0.857
0.005,0.049,-0.243
-0.060,0.099,-0.327
0.005,0.035,-0.108
