x,y,t
0.032,0.007,-0.154
-0.004,0.014,-0.028
-0.075,-0.007,0.380
0.067,0.014,-0.353
-0.090,-0.029,0.193
0.267,0.007,0.010
0.017,-0.000,-0.322
-0.011,-0.007,-0.149
0.003,-0.021,-0.042
-0.026,0.029,0.122
0.046,0.021,-0.167
0.039,-0.000,-0.154
-0.104,-0.021,0.301
0.017,-0.000,-0.221
-0.104,0.007,0.513
0.060,0.021,-0.342
-0.061,-0.021,0.111
-0.097,0.007,0.579
0.024,0.021,-0.171
0.231,0.029,0.182
-0.047,-0.021,-0.112
-0.004,-0.000,-0.004
0.010,-0.000,-0.223
-0.090,-0.036,0.205
-0.090,-0.007,0.284
-0.068,-0.000,0.138
-0.075,-0.036,0.111
0.032,-0.000,-0.195
0.260,-0.007,0.041
-0.011,-0.014,-0.119
0.067,0.021,-0.284
-0.026,0.007,-0.084
-0.026,0.007,-0.084
0.032,-0.000,-0.222
-0.097,-0.000,0.361
-0.068,0.029,0.316
0.024,0.014,-0.129
0.039,-0.000,-0.088
-0.075,-0.036,0.308
-0.047,-0.036,0.003
0.060,0.007,-0.238
-0.075,0.029,0.401
-0.090,-0.021,0.179
0.024,-0.007,-0.342
-0.004,-0.000,-0.246
-0.004,0.007,0.077
-0.018,0.021,0.128
-0.075,-0.007,0.171
-0.061,-0.007,0.006
-0.004,0.021,-0.066
-0.061,-0.007,0.092
0.074,0.021,-0.352
0.053,0.014,-0.267
0.010,-0.021,-0.239
-0.075,-0.007,0.190
-0.026,-0.000,0.146
-0.011,-0.014,-0.134
-0.033,-0.000,0.145
0.024,0.007,-0.072
-0.004,0.007,-0.045
0.032,-0.000,-0.048
-0.054,-0.021,0.022
0.003,0.029,-0.086
0.032,0.029,-0.169
0.032,0.021,-0.168
-0.011,0.021,0.015
0.017,0.007,-0.117
-0.047,-0.000,0.240
0.032,0.021,-0.181
-0.018,0.021,0.031
-0.083,-0.021,0.399
-0.068,-0.014,0.109
-0.083,-0.000,0.238
-0.011,-0.021,-0.188
0.181,-0.100,0.034
-0.047,-0.036,0.151
0.032,0.007,-0.206
0.010,-0.000,0.056
0.039,0.007,-0.417
-0.011,-0.021,-0.188
0.017,0.029,-0.084
0.003,-0.029,-0.041
0.074,0.029,-0.382
0.010,-0.014,-0.069
0.046,0.007,-0.265
-0.011,0.014,-0.170
0.074,0.036,-0.373
-0.054,0.029,0.315
0.003,-0.000,-0.229
0.024,0.007,-0.047
-0.168,0.029,0.529
-0.083,-0.007,0.183
-0.068,-0.029,0.110
0.053,0.029,-0.281
-0.004,-0.000,-0.206
-0.083,-0.014,0.206
0.217,-0.014,0.219
0.039,-0.000,-0.227
-0.054,-0.036,0.067
0.060,0.014,-0.309
-0.054,-0.036,0.255
-0.040,-0.007,-0.002
0.010,-0.000,-0.054
-0.018,-0.007,-0.101
0.046,0.014,-0.162
0.024,0.014,0.032
-0.026,-0.007,0.222
0.032,-0.000,-0.320
0.039,0.029,-0.170
-0.047,-0.014,0.245
-0.075,-0.007,0.190
0.010,0.007,-0.402
-0.004,-0.000,-0.216
-0.061,-0.014,0.014
0.046,0.007,-0.412
-0.033,-0.000,0.111
-0.047,-0.036,0.018
-0.068,-0.014,0.085
0.010,-0.000,-0.326
-0.004,0.014,0.031
-0.083,-0.014,0.311
-0.026,-0.021,-0.182
-0.004,0.007,0.036
0.203,-0.036,0.365
-0.068,0.007,0.303
-0.004,-0.014,-0.290
0.053,0.021,-0.176
-0.011,-0.021,-0.167
0.039,-0.000,-0.349
-0.018,-0.014,-0.186
0.274,-0.021,-0.260
0.060,0.029,-0.340
0.032,-0.007,-0.219
-0.018,0.007,0.095
0.010,-0.000,-0.294
-0.068,-0.029,0.086
-0.018,-0.014,0.051
-0.033,-0.007,0.280
0.060,0.014,-0.063
0.067,0.021,-0.291
0.010,0.014,-0.304
0.003,-0.000,0.029
0.017,0.014,-0.322
0.196,0.029,-0.370
-0.061,-0.021,0.098
-0.033,-0.014,0.100
0.039,-0.000,-0.154
0.032,0.014,-0.162
0.032,0.014,0.924
0.046,0.021,-0.290
-0.004,0.014,0.031
0.046,0.029,-0.179
-0.104,-0.007,0.381
0.060,0.021,-0.262
-0.133,-0.000,0.891
0.053,0.014,-0.024
-0.040,-0.014,-0.020
-0.061,-0.021,0.010
0.046,0.029,-0.276
-0.054,-0.029,0.819
0.017,0.014,-0.069
-0.075,-0.014,0.086
0.039,-0.007,-0.248
-0.040,-0.000,0.246
0.003,0.007,-0.239
-0.054,-0.029,0.602
0.103,0.021,-0.340
-0.004,-0.014,-0.322
-0.004,0.029,0.016
-0.040,-0.014,-0.110
-0.111,-0.014,0.299
0.060,0.021,-0.319
-0.026,-0.014,-0.121
-0.011,-0.014,0.002
-0.111,-0.007,0.387
-0.061,-0.007,0.084
-0.097,-0.000,0.585
0.017,0.014,-0.322
0.081,0.021,-0.372
-0.026,-0.021,-0.077
0.253,-0.000,-0.372
-0.061,-0.007,0.084
0.017,0.007,-0.401
-0.083,-0.021,0.255
-0.033,-0.000,-0.058
-0.068,-0.021,0.119
0.003,0.007,-0.183
0.003,0.021,-0.085
-0.147,-0.000,0.744
-0.004,-0.000,-0.149
-0.047,-0.029,0.003
-0.018,0.014,0.070
