x,y,t
-0.000,0.130,-0.738
-0.000,0.022,0.028
0.044,-0.131,0.790
-0.018,-0.014,0.059
0.009,0.076,-0.400
0.018,-0.077,0.441
-0.018,0.112,-0.683
-0.000,0.085,-0.420
0.035,0.076,-0.679
0.026,0.130,-0.875
0.062,-0.185,0.789
-0.054,0.049,-0.420
0.009,0.040,-0.125
0.089,-0.194,0.806
-0.027,-0.122,0.637
0.035,-0.140,0.722
-0.018,0.157,-0.869
-0.000,-0.131,0.714
-0.036,-0.077,0.305
0.044,-0.149,0.763
-0.009,0.148,-0.930
-0.072,-0.122,0.521
0.009,-0.185,0.791
0.053,-0.158,0.782
0.026,0.121,-0.876
0.044,-0.149,0.731
0.044,0.094,-0.586
-0.018,0.157,-0.869
-0.036,-0.041,0.286
0.071,-0.194,0.801
-0.036,0.148,-0.891
-0.036,-0.050,0.350
0.035,0.112,-0.779
0.026,-0.068,0.480
-0.009,0.076,-0.329
0.018,0.004,0.124
-0.000,0.112,-0.595
-0.009,0.094,-0.430
-0.000,0.157,-0.812
0.009,-0.050,0.321
0.071,-0.104,0.513
0.044,-0.059,0.419
-0.054,0.022,-0.253
-0.054,0.058,-0.436
-0.018,0.130,-0.734
-0.036,0.040,0.004
0.035,0.121,-0.840
-0.009,-0.104,0.418
0.044,-0.149,0.731
0.035,-0.158,0.751
-0.000,-0.032,0.317
0.018,-0.095,0.518
0.035,-0.077,0.438
0.009,0.139,-0.822
0.035,-0.140,0.768
-0.063,-0.104,0.406
0.009,0.085,-0.332
-0.009,0.049,-0.180
-0.018,0.067,-0.559
-0.072,-0.023,-0.059
-0.072,0.031,-0.347
0.018,0.130,-0.743
0.044,0.094,-0.505
-0.018,-0.095,0.526
-0.000,0.022,0.040
-0.000,-0.005,0.132
-0.063,0.031,-0.348
0.035,0.130,-0.618
0.026,0.067,-0.235
0.009,0.031,-0.131
-0.009,-0.104,0.467
-0.000,0.085,-0.443
-0.009,-0.014,0.020
-0.036,-0.113,0.591
0.053,-0.140,0.732
0.044,0.040,-0.132
-0.027,0.085,-0.356
-0.018,0.103,-0.430
-0.027,0.130,-0.685
-0.000,-0.176,0.746
0.009,-0.113,0.640
-0.063,-0.014,-0.143
0.018,0.103,-0.581
-0.036,0.103,-0.684
-0.000,-0.140,0.739
-0.009,0.022,0.026
0.035,0.130,-0.878
-0.009,-0.104,0.418
-0.054,-0.167,0.787
-0.072,-0.023,-0.069
0.026,0.121,-0.672
-0.018,-0.104,0.482
-0.018,-0.131,0.549
-0.027,-0.149,0.786
-0.000,-0.158,0.790
0.026,0.004,0.116
0.053,-0.140,0.791
-0.027,0.076,-0.348
-0.036,0.121,-0.603
-0.000,-0.158,0.678
-0.072,-0.041,0.115
0.026,0.103,-0.502
0.018,0.130,-0.609
-0.054,0.004,-0.147
-0.009,-0.077,0.383
0.044,0.121,-0.876
-0.000,-0.014,0.216
0.035,0.076,-0.236
-0.018,-0.032,0.324
-0.018,-0.086,0.488
-0.009,0.040,-0.059
-0.009,-0.014,0.103
-0.018,0.103,-0.691
0.009,-0.104,0.598
-0.009,0.112,-0.732
-0.018,-0.131,0.680
-0.018,-0.005,0.037
-0.000,0.004,0.111
-0.018,0.058,-0.467
-0.018,-0.077,0.347
-0.063,0.013,-0.255
-0.000,0.022,0.040
0.044,0.148,-0.921
-0.018,-0.005,0.037
0.009,-0.158,0.692
-0.009,-0.059,0.453
-0.045,-0.095,0.497
-0.036,-0.122,0.580
-0.063,0.013,-0.242
-0.000,0.013,-0.031
0.009,0.112,-0.520
0.044,-0.149,0.711
-0.036,0.094,-0.405
-0.000,0.094,-0.524
-0.054,-0.050,0.239
0.026,0.157,-0.677
-0.027,0.112,-0.574
0.018,0.085,-0.330
-0.018,-0.095,0.450
0.026,-0.059,0.406
0.053,0.112,-0.870
0.080,-0.131,0.618
0.026,0.130,-0.766
-0.027,-0.005,0.203
0.053,0.076,-0.393
0.044,-0.077,0.427
0.035,-0.149,0.729
-0.054,0.022,-0.237
-0.054,-0.113,0.489
0.035,0.085,-0.503
0.009,-0.167,0.755
-0.027,0.076,-0.269
0.009,-0.068,0.576
0.053,0.112,-0.870
0.035,-0.059,0.410
-0.018,-0.113,0.509
0.009,0.112,-0.593
-0.054,0.004,-0.147
0.018,0.094,-0.516
0.044,-0.113,0.614
-0.027,0.004,0.151
-0.000,0.148,-0.955
-0.000,-0.104,0.515
-0.000,0.040,-0.002
-0.000,-0.086,0.583
-0.027,-0.068,0.279
-0.000,0.112,-0.415
0.018,-0.005,0.124
0.009,0.103,-0.500
-0.045,0.103,-0.732
-0.045,-0.005,-0.151
0.053,0.121,-0.972
-0.036,0.040,-0.121
0.053,0.121,-0.974
-0.018,0.004,0.123
-0.063,-0.059,0.289
-0.036,-0.077,0.276
-0.072,-0.068,0.217
-0.036,0.049,-0.189
0.018,-0.059,0.417
-0.072,-0.023,-0.064
0.044,-0.149,0.700
-0.036,0.076,-0.465
-0.000,0.076,-0.333
-0.036,-0.068,0.254
0.071,-0.131,0.608
-0.000,0.067,-0.239
-0.018,-0.113,0.509
-0.036,-0.050,0.211
0.062,0.094,-0.221
0.035,0.085,-0.402
0.026,0.094,-0.417
0.062,-0.131,0.668
-0.000,-0.050,0.214
-0.036,0.004,0.139
0.026,-0.041,0.311
0.026,0.094,-0.497
0.026,-0.032,0.252
0.018,0.130,-0.609
-0.054,0.049,-0.439
0.018,0.049,-0.220
0.044,0.103,-0.778
-0.018,0.103,-0.520
-0.063,-0.032,0.130
-0.027,0.112,-0.809
-0.009,0.004,0.129
-0.000,0.049,-0.141
0.009,-0.104,0.598
0.044,-0.149,0.763
0.026,0.067,-0.269
0.026,-0.077,0.539
-0.000,0.067,-0.151
0.026,0.094,-0.504
0.009,-0.059,0.404
0.009,0.112,-0.540
0.044,0.139,-0.820
-0.000,0.094,-0.338
-0.018,0.049,-0.091
0.035,-0.149,0.713
0.035,-0.104,0.702
0.071,-0.185,0.791
-0.027,0.103,-0.338
-0.009,-0.023,0.215
0.018,0.022,-0.022
0.026,-0.041,0.286
-0.000,0.031,-0.043
0.018,0.139,-0.563
0.009,0.013,-0.016
-0.000,0.067,-0.103
0.009,0.094,-0.422
-0.036,-0.005,-0.146
-0.027,-0.068,0.279
-0.027,-0.023,-0.048
-0.045,0.076,-0.413
0.018,-0.023,0.170
-0.027,-0.059,0.453
0.009,-0.005,0.075
-0.018,0.076,-0.245
0.018,0.049,-0.220
0.026,0.022,0.035
0.026,-0.086,0.503
0.044,0.121,-0.972
-0.000,0.103,-0.592
-0.000,0.013,0.033
0.044,0.094,-0.586
0.018,0.121,-0.779
-0.018,0.103,-0.338
0.035,0.139,-0.869
-0.081,-0.032,0.025
-0.009,0.013,0.034
-0.054,0.040,-0.346
-0.045,-0.059,0.236
-0.009,0.049,-0.052
-0.027,0.112,-0.523
-0.000,-0.131,0.695
-0.018,0.067,-0.405
0.035,0.139,-0.822
0.018,-0.032,0.225
-0.027,0.130,-0.965
0.026,-0.086,0.509
0.044,-0.095,0.542
0.018,-0.176,0.801
0.009,-0.095,0.509
0.009,0.031,0.034
