x,y,t
-0.029,-0.074,0.431
-0.103,0.111,-0.623
0.054,-0.028,0.137
0.073,-0.120,0.841
-0.084,-0.000,-0.124
0.119,-0.120,0.648
-0.029,-0.046,0.119
0.101,-0.083,0.662
0.128,-0.129,0.531
0.128,-0.157,0.906
-0.149,0.111,-0.692
-0.019,0.018,-0.177
0.036,-0.000,0.212
-0.029,-0.028,0.122
0.128,-0.166,0.865
-0.047,0.046,-0.226
-0.001,0.046,-0.368
-0.103,0.074,-0.743
0.128,-0.139,0.623
0.018,0.037,-0.179
0.027,-0.019,0.200
-0.066,0.111,-0.329
-0.084,0.138,-0.846
-0.019,0.065,0.012
-0.038,0.018,-0.265
0.008,0.018,0.183
-0.140,0.120,-0.808
-0.056,0.037,-0.224
0.054,-0.074,0.771
0.091,-0.111,0.602
0.101,-0.102,0.507
-0.038,-0.009,-0.082
0.110,-0.120,0.943
-0.029,0.055,-0.200
-0.093,0.120,-0.703
0.091,-0.111,0.811
0.101,-0.139,0.880
-0.047,0.083,-0.167
0.091,-0.111,0.939
-0.047,0.009,-0.182
-0.066,0.101,-0.758
-0.038,-0.009,-0.256
0.027,0.018,0.081
0.054,-0.148,0.786
-0.066,0.083,-0.569
0.027,0.037,-0.177
0.082,-0.111,0.819
-0.056,0.055,-0.305
0.008,0.037,-0.183
-0.019,0.037,0.078
0.064,-0.129,0.529
-0.130,0.166,-0.677
0.091,-0.019,0.125
0.119,-0.148,0.758
-0.019,0.074,-0.445
-0.029,-0.037,0.016
0.064,-0.065,0.262
-0.084,-0.000,-0.124
-0.103,0.111,-0.657
0.064,-0.037,0.122
-0.029,0.037,0.073
-0.019,0.028,-0.298
-0.038,0.120,-0.675
-0.056,0.055,-0.203
0.128,-0.157,0.848
0.119,-0.139,0.623
-0.038,0.101,-0.754
-0.112,0.166,-0.819
0.110,-0.111,0.809
0.091,-0.139,0.702
-0.158,0.101,-0.780
-0.038,0.018,-0.367
-0.029,0.074,-0.563
-0.103,0.083,-0.416
0.045,-0.000,0.211
-0.001,0.065,-0.195
0.008,-0.074,0.315
-0.056,0.101,-0.759
-0.019,0.083,-0.444
-0.112,0.083,-0.500
0.110,-0.102,0.512
0.045,-0.120,0.683
-0.103,0.083,-0.497
-0.047,0.065,-0.524
-0.103,0.083,-0.593
-0.093,0.138,-0.660
0.054,-0.037,0.407
-0.038,0.009,-0.180
0.054,-0.037,0.534
-0.056,0.092,-0.605
-0.149,0.129,-0.793
-0.038,0.101,-0.479
-0.019,0.037,0.078
0.036,-0.148,0.881
-0.019,-0.046,0.056
0.036,0.009,0.021
0.045,-0.019,0.314
0.045,-0.019,0.132
-0.112,0.157,-0.785
-0.075,0.148,-0.639
0.101,-0.037,0.214
-0.093,0.074,-0.497
-0.093,0.111,-0.403
-0.056,0.028,-0.458
-0.047,0.009,-0.273
0.064,-0.037,0.230
-0.019,0.037,0.116
-0.029,0.101,-0.745
0.036,-0.000,0.016
0.091,-0.129,0.951
0.147,-0.148,0.751
0.073,-0.139,0.803
-0.047,0.111,-0.663
0.082,-0.037,0.221
0.138,-0.176,0.824
0.064,-0.028,0.366
-0.093,0.092,-0.740
-0.010,0.074,-0.377
-0.075,0.083,-0.219
0.018,0.037,-0.179
-0.140,0.120,-0.789
-0.001,-0.046,0.027
-0.140,0.138,-0.790
-0.019,0.018,-0.215
-0.047,0.092,-0.569
0.064,-0.074,0.272
-0.010,0.028,-0.209
-0.010,0.065,-0.418
0.138,-0.139,0.752
0.073,-0.009,0.050
0.054,-0.093,0.626
0.008,0.009,0.070
-0.047,-0.009,-0.151
-0.130,0.157,-0.667
0.027,-0.148,0.884
-0.075,0.101,-0.690
-0.066,0.074,-0.095
-0.075,0.138,-0.870
-0.056,0.028,-0.458
0.027,-0.009,0.027
0.082,-0.065,0.230
0.008,-0.074,0.315
0.045,0.018,-0.078
-0.158,0.101,-0.693
0.147,-0.157,0.838
-0.056,0.028,-0.458
0.036,0.009,0.021
0.119,-0.111,0.655
-0.047,-0.009,-0.090
0.082,-0.074,0.588
0.165,-0.185,0.829
0.119,-0.102,0.420
-0.010,0.037,0.076
0.119,-0.093,0.428
-0.066,0.092,-0.244
-0.056,-0.019,-0.088
0.045,-0.148,0.878
-0.019,0.074,-0.358
-0.056,-0.028,0.073
-0.001,0.065,-0.289
0.110,-0.093,0.346
0.082,-0.102,0.644
0.073,-0.111,0.511
0.110,-0.120,0.849
0.045,-0.083,0.603
-0.038,-0.000,-0.181
-0.084,0.129,-0.729
-0.038,0.083,-0.174
0.082,-0.065,0.522
-0.001,0.009,-0.007
-0.029,0.074,-0.563
-0.047,-0.000,-0.183
0.073,-0.046,0.248
0.027,0.009,-0.173
0.036,-0.000,-0.012
-0.019,-0.046,0.049
-0.066,0.074,-0.514
0.036,-0.000,0.016
-0.075,0.129,-0.563
0.064,-0.120,0.809
-0.029,-0.000,-0.155
0.018,0.009,-0.106
-0.056,0.083,-0.647
-0.047,0.092,-0.604
-0.047,0.074,-0.438
0.036,-0.028,0.019
0.082,-0.083,0.357
-0.019,0.055,-0.160
0.054,-0.083,0.525
-0.047,0.037,-0.225
0.082,-0.065,0.658
-0.047,0.055,-0.263
-0.066,0.111,-0.495
-0.121,0.157,-0.821
-0.075,0.055,-0.325
-0.121,0.157,-0.623
-0.038,-0.019,-0.076
0.119,-0.176,0.909
-0.084,0.074,-0.427
0.018,-0.129,0.774
0.110,-0.111,0.609
0.101,-0.111,0.808
-0.084,0.120,-0.855
-0.001,-0.019,0.106
0.036,0.018,-0.252
-0.010,-0.028,-0.057
0.054,-0.129,0.638
-0.047,0.083,-0.302
0.036,-0.093,0.522
-0.066,0.065,-0.466
-0.066,0.129,-0.526
0.091,-0.129,0.581
-0.112,0.083,-0.663
0.091,-0.065,0.607
0.008,0.009,0.102
-0.047,0.037,-0.276
0.027,0.009,0.155
-0.047,0.074,-0.104
