x,y,t
0.147,0.072,0.467
0.078,0.038,0.412
-0.154,-0.100,-0.736
0.156,0.081,0.721
0.130,0.089,0.636
-0.180,-0.031,-0.628
-0.137,-0.100,-0.656
-0.214,-0.083,-0.732
-0.180,-0.048,-0.635
0.130,0.081,0.621
0.113,0.046,0.480
0.095,0.064,0.527
0.164,0.055,0.673
-0.180,-0.083,-0.712
0.138,0.115,0.549
-0.042,-0.005,-0.146
0.216,0.115,0.748
-0.085,-0.040,-0.256
0.087,0.029,0.363
0.095,0.038,0.424
-0.137,-0.065,-0.533
0.207,0.107,0.911
0.181,0.089,0.641
-0.197,-0.065,-0.720
0.242,0.132,0.844
0.087,0.029,0.330
0.147,0.098,0.729
0.138,0.064,0.412
-0.008,-0.005,0.098
-0.188,-0.057,-0.728
-0.025,0.003,-0.042
0.156,0.107,0.755
-0.068,-0.040,-0.176
0.138,0.089,0.646
0.138,0.107,0.732
-0.180,-0.057,-0.698
0.130,0.038,0.354
0.138,0.064,0.627
0.181,0.072,0.556
0.087,0.021,0.426
-0.145,-0.065,-0.539
-0.197,-0.057,-0.760
-0.197,-0.065,-0.732
-0.034,-0.014,-0.134
-0.111,-0.065,-0.604
-0.102,-0.074,-0.415
-0.102,-0.074,-0.523
-0.059,-0.040,-0.272
-0.205,-0.065,-0.733
-0.008,-0.057,-0.182
0.009,-0.031,0.073
-0.180,-0.057,-0.632
0.113,0.055,0.518
0.164,0.072,0.720
0.156,0.038,0.445
-0.180,-0.074,-0.650
-0.154,-0.091,-0.548
-0.008,-0.057,-0.182
0.156,0.072,0.622
-0.188,-0.100,-0.687
-0.034,-0.014,-0.068
0.113,0.072,0.366
-0.051,0.012,-0.122
-0.180,-0.040,-0.607
0.113,0.029,0.534
-0.008,-0.005,0.098
0.087,0.029,0.287
-0.162,-0.074,-0.637
-0.180,-0.074,-0.732
-0.274,-0.108,-0.731
0.173,0.081,0.722
-0.197,-0.065,-0.673
-0.188,-0.083,-0.652
-0.197,-0.091,-0.731
-0.197,-0.074,-0.648
-0.051,-0.005,-0.117
0.156,0.046,0.624
-0.120,-0.065,-0.556
0.138,0.107,0.534
-0.180,-0.091,-0.661
-0.016,0.003,-0.055
-0.180,-0.074,-0.645
0.095,0.081,0.332
0.130,0.055,0.619
0.130,0.089,0.636
0.156,0.072,0.720
0.147,0.098,0.578
-0.180,-0.100,-0.649
0.121,0.064,0.628
-0.180,-0.057,-0.624
-0.120,-0.083,-0.478
0.130,0.046,0.469
0.078,0.038,0.369
0.121,0.081,0.396
0.087,0.046,0.294
0.138,0.081,0.511
-0.154,-0.100,-0.591
0.130,0.072,0.409
-0.197,-0.057,-0.731
0.181,0.072,0.647
0.190,0.072,0.511
0.164,0.038,0.428
-0.137,-0.057,-0.545
-0.145,-0.117,-0.734
0.207,0.115,0.745
0.095,0.021,0.433
-0.180,-0.057,-0.728
0.156,0.072,0.727
-0.188,-0.083,-0.642
-0.162,-0.048,-0.534
0.138,0.081,0.650
-0.205,-0.083,-0.731
0.018,-0.014,-0.122
0.164,0.098,0.539
-0.016,-0.014,-0.009
0.147,0.055,0.622
-0.094,-0.031,-0.337
-0.197,-0.040,-0.714
0.095,0.029,0.309
-0.085,-0.031,-0.259
-0.145,-0.108,-0.731
-0.016,0.003,0.102
0.156,0.055,0.447
-0.205,-0.040,-0.721
0.147,0.107,0.746
0.052,0.021,0.315
0.242,0.175,0.954
-0.016,-0.005,-0.002
-0.034,-0.022,-0.074
-0.188,-0.057,-0.726
-0.171,-0.057,-0.697
0.147,0.064,0.418
-0.162,-0.057,-0.626
-0.008,0.012,-0.008
-0.162,-0.074,-0.560
0.138,0.081,0.635
0.001,-0.005,-0.017
0.113,0.038,0.521
-0.197,-0.040,-0.714
-0.094,-0.040,-0.263
-0.145,-0.108,-0.581
-0.171,-0.048,-0.635
-0.094,-0.065,-0.494
-0.162,-0.083,-0.557
0.035,-0.031,0.049
0.250,0.167,0.948
0.104,0.055,0.416
0.242,0.175,0.954
-0.180,-0.074,-0.719
0.035,-0.040,-0.056
0.259,0.167,0.934
0.078,0.046,0.414
0.164,0.107,0.603
-0.120,-0.057,-0.588
0.164,0.072,0.718
-0.111,-0.040,-0.334
-0.145,-0.057,-0.625
0.113,0.046,0.530
0.078,0.046,0.409
-0.034,-0.031,-0.070
0.138,0.098,0.514
-0.205,-0.048,-0.490
0.018,-0.031,0.049
0.001,-0.022,0.052
-0.008,0.021,0.079
0.173,0.098,0.814
0.009,-0.040,-0.070
0.181,0.132,0.766
0.087,0.021,0.413
-0.171,-0.057,-0.667
-0.171,-0.065,-0.706
0.027,-0.014,0.126
-0.094,-0.040,-0.263
0.207,0.132,0.777
0.018,-0.048,-0.070
0.181,0.081,0.639
-0.154,-0.083,-0.614
0.156,0.055,0.620
-0.145,-0.091,-0.530
-0.171,-0.065,-0.554
0.070,0.038,0.378
-0.180,-0.048,-0.697
0.027,0.012,0.203
0.147,0.089,0.482
-0.162,-0.117,-0.727
0.078,0.029,0.281
0.113,0.055,0.539
-0.214,-0.065,-0.731
0.164,0.081,0.480
0.018,-0.031,-0.070
-0.034,-0.031,-0.070
0.147,0.098,0.734
0.070,0.029,0.327
0.070,-0.005,0.078
0.121,0.072,0.627
0.095,0.029,0.194
-0.111,-0.083,-0.526
-0.205,-0.100,-0.739
-0.180,-0.108,-0.683
0.130,0.081,0.440
-0.188,-0.074,-0.722
0.164,0.115,0.806
0.078,0.029,0.410
0.044,-0.065,-0.117
0.138,0.055,0.358
-0.120,-0.057,-0.365
-0.077,-0.057,-0.321
0.181,0.107,0.830
0.147,0.055,0.628
-0.128,-0.040,-0.485
-0.197,-0.057,-0.727
0.147,0.064,0.619
0.061,0.038,0.133
0.078,0.055,0.408
0.164,0.081,0.642
0.070,0.038,0.192
-0.171,-0.040,-0.615
-0.162,-0.065,-0.580
-0.068,-0.057,-0.248
-0.188,-0.091,-0.646
0.121,0.046,0.519
-0.162,-0.083,-0.631
0.233,0.115,0.836
-0.025,0.012,-0.026
-0.145,-0.091,-0.727
-0.077,-0.014,-0.249
-0.068,-0.057,-0.456
-0.171,-0.057,-0.639
-0.188,-0.065,-0.674
0.250,0.141,0.929
0.181,0.072,0.565
0.095,0.072,0.458
0.130,0.038,0.521
-0.059,-0.022,-0.249
0.138,0.038,0.450
0.156,0.064,0.600
-0.008,0.012,0.082
-0.180,-0.057,-0.632
0.190,0.072,0.557
0.156,0.072,0.622
-0.025,-0.031,-0.068
-0.025,0.021,-0.025
-0.094,-0.031,-0.229
0.242,0.158,0.917
-0.205,-0.074,-0.755
-0.162,-0.108,-0.735
