x,y,t
0.078,0.166,0.714
0.061,0.124,0.963
0.103,0.015,0.234
0.112,0.107,0.807
-0.056,0.082,0.315
0.103,0.082,0.600
0.129,0.157,0.799
0.078,0.057,0.354
0.002,-0.011,0.099
0.120,0.065,0.375
0.028,0.065,0.016
-0.031,-0.011,-0.229
0.112,0.082,0.456
-0.056,0.048,0.203
0.078,0.124,0.614
0.044,-0.019,-0.193
-0.065,-0.187,-0.602
0.095,0.149,0.807
0.011,-0.070,-0.016
0.078,0.183,0.674
-0.006,-0.103,-0.386
0.112,0.174,0.955
-0.040,0.006,-0.425
0.011,-0.137,-0.218
0.044,0.031,-0.054
-0.073,-0.002,-0.388
0.019,-0.036,-0.091
0.019,0.208,0.753
0.028,0.065,0.352
-0.023,-0.061,-0.140
-0.090,-0.078,-0.698
-0.056,-0.002,-0.381
-0.014,0.015,-0.374
0.028,0.132,0.176
-0.006,-0.137,-0.383
0.028,0.149,0.869
0.095,0.208,0.940
0.044,-0.028,-0.006
-0.048,-0.053,-0.290
-0.014,0.225,0.973
-0.065,-0.044,-0.569
-0.023,-0.112,-0.483
0.044,-0.086,-0.234
0.053,0.048,0.422
0.137,0.132,0.616
-0.023,-0.036,-0.206
-0.090,-0.002,-0.419
-0.040,-0.028,-0.371
0.028,0.149,0.833
0.061,-0.028,0.174
0.061,0.090,0.536
0.011,-0.019,-0.082
-0.040,0.073,0.204
0.028,-0.112,-0.257
0.028,0.166,0.823
0.053,-0.028,0.105
0.061,0.023,0.168
0.002,0.090,0.257
-0.098,-0.019,-0.315
-0.031,-0.120,-0.545
-0.023,-0.070,-0.320
0.103,0.099,0.847
-0.073,-0.112,-0.494
-0.014,0.183,0.722
0.070,0.174,0.688
-0.115,-0.086,-0.520
0.078,0.115,0.743
0.019,0.157,0.764
0.019,0.174,0.628
0.002,-0.095,-0.294
-0.048,-0.120,-0.292
0.078,-0.011,0.113
-0.006,-0.070,-0.303
-0.107,-0.128,-0.592
-0.023,-0.095,-0.199
-0.023,-0.028,-0.443
-0.031,0.090,0.267
-0.124,-0.070,-0.514
0.028,0.065,0.609
-0.031,-0.053,-0.434
-0.048,0.040,-0.172
0.087,0.174,0.813
-0.056,-0.036,-0.568
-0.065,-0.255,-0.629
-0.006,-0.078,-0.255
-0.107,-0.196,-0.694
0.053,0.040,0.199
-0.023,-0.028,-0.483
0.061,0.149,0.760
0.044,0.082,0.668
0.095,0.191,0.863
0.019,0.183,0.888
-0.040,-0.028,0.040
0.061,0.057,0.064
0.019,0.082,0.205
0.070,0.115,0.390
-0.006,0.149,0.686
-0.006,0.073,0.035
-0.065,-0.019,-0.269
-0.107,-0.271,-0.700
0.061,0.073,0.544
0.036,-0.095,-0.238
0.019,0.031,-0.058
0.019,-0.137,-0.199
0.011,-0.137,-0.434
-0.040,-0.187,-0.567
0.002,0.208,0.794
-0.031,-0.019,-0.200
0.087,0.057,0.417
-0.006,0.065,0.001
0.103,0.191,0.798
-0.023,0.065,0.055
-0.023,-0.061,-0.432
-0.073,-0.095,-0.333
0.087,0.183,0.727
0.002,0.065,0.020
0.011,-0.103,-0.201
-0.048,0.040,0.083
-0.124,-0.095,-0.601
0.028,0.099,0.371
0.036,0.191,0.784
0.019,0.191,0.905
-0.040,0.073,0.076
-0.023,-0.154,-0.424
0.028,0.200,0.925
0.002,-0.145,-0.565
-0.023,0.006,-0.260
0.019,-0.170,-0.311
-0.073,-0.187,-0.506
0.028,0.023,-0.056
0.120,0.141,0.903
-0.073,-0.086,-0.398
-0.006,0.250,0.956
-0.040,-0.170,-0.387
0.061,0.090,0.133
-0.115,-0.078,-0.474
0.028,0.107,0.747
-0.040,-0.036,-0.386
-0.006,-0.137,-0.595
-0.082,-0.028,-0.299
0.078,0.023,0.010
-0.023,-0.128,-0.634
-0.040,-0.179,-0.641
0.061,-0.095,-0.348
-0.040,-0.028,-0.475
-0.040,0.115,0.544
-0.048,-0.112,-0.539
0.044,-0.036,0.119
-0.132,-0.170,-0.523
-0.107,-0.103,-0.682
-0.023,-0.120,-0.525
-0.014,-0.154,-0.539
-0.073,-0.053,-0.335
0.002,0.090,0.128
-0.014,0.132,0.463
0.011,-0.070,-0.416
0.061,0.183,0.811
0.028,0.057,0.064
-0.082,-0.095,-0.690
0.053,0.065,0.260
0.019,0.174,0.971
-0.014,0.065,0.168
-0.107,-0.078,-0.693
-0.065,-0.044,-0.303
-0.023,-0.078,-0.472
-0.124,-0.095,-0.613
-0.115,-0.053,-0.375
-0.006,-0.002,-0.374
-0.014,0.082,0.139
0.103,0.132,0.834
0.053,0.149,0.610
-0.082,-0.238,-0.689
0.036,-0.028,-0.023
-0.006,-0.229,-0.438
0.112,0.183,0.797
0.002,-0.078,-0.263
0.044,0.107,0.251
-0.140,-0.120,-0.609
0.002,-0.061,-0.314
-0.132,-0.170,-0.668
0.028,0.006,0.169
0.002,0.031,-0.250
-0.048,0.090,0.279
0.053,0.166,0.746
0.095,0.040,0.154
-0.048,-0.095,-0.403
0.011,0.023,-0.192
-0.090,-0.002,-0.121
0.011,-0.028,-0.108
-0.023,-0.070,-0.463
0.011,-0.120,-0.518
0.002,0.250,0.966
-0.006,-0.145,-0.547
0.053,0.149,0.524
0.070,0.031,0.034
0.103,0.107,0.871
-0.090,-0.002,-0.201
-0.107,-0.103,-0.504
-0.006,-0.028,-0.168
-0.031,0.006,-0.020
0.028,-0.070,-0.081
-0.040,-0.170,-0.447
0.002,0.023,-0.165
0.044,0.107,0.623
0.019,-0.095,-0.284
-0.006,0.015,-0.126
0.028,0.132,0.331
0.044,-0.036,0.168
0.061,0.225,0.859
0.002,0.233,0.942
-0.132,-0.179,-0.537
0.112,0.183,0.858
-0.014,0.090,0.102
0.078,0.149,0.687
0.028,0.031,0.410
0.044,0.082,0.419
-0.090,-0.162,-0.678
-0.040,-0.061,-0.434
-0.073,-0.229,-0.625
0.011,-0.112,-0.497
-0.031,0.124,0.253
0.028,-0.053,-0.175
-0.006,0.099,0.255
0.011,0.057,0.127
-0.023,0.006,-0.321
0.061,0.107,0.499
-0.073,-0.053,-0.465
0.011,-0.128,-0.552
0.002,0.124,0.410
-0.090,-0.095,-0.544
0.120,0.082,0.405
-0.082,-0.095,-0.476
0.028,-0.002,-0.194
0.103,0.040,0.381
0.044,0.082,0.354
-0.023,0.023,-0.262
0.044,0.174,0.883
0.112,0.107,0.726
0.087,-0.044,0.117
-0.040,-0.044,-0.368
0.002,-0.028,-0.141
-0.073,-0.204,-0.509
-0.006,-0.070,-0.264
0.036,0.191,0.900
-0.090,-0.128,-0.353
0.095,0.141,0.545
0.053,0.057,0.100
-0.014,-0.028,-0.417
0.028,-0.095,-0.329
0.036,0.090,0.194
0.044,-0.002,0.111
0.036,0.015,0.166
-0.073,-0.145,-0.605
0.061,0.065,0.094
0.053,0.082,0.323
0.061,0.023,0.291
-0.040,-0.036,-0.560
0.028,-0.137,-0.291
-0.157,-0.095,-0.626
0.053,0.090,0.622
-0.090,-0.246,-0.692
-0.023,-0.019,-0.310
-0.014,-0.103,-0.266
-0.115,-0.145,-0.626
-0.014,0.023,-0.090
0.011,-0.137,-0.393
0.019,-0.053,-0.145
0.061,0.040,0.264
-0.065,-0.212,-0.571
0.011,0.073,0.540
-0.107,-0.112,-0.521
0.002,0.015,0.276
0.044,0.107,0.666
0.095,0.141,0.620
-0.031,0.115,0.401
0.053,-0.028,-0.212
-0.073,-0.179,-0.305
-0.023,-0.145,-0.318
-0.056,-0.019,-0.244
0.053,-0.036,-0.051
-0.031,-0.002,-0.094
0.070,-0.002,0.134
-0.014,-0.137,-0.571
-0.023,0.141,0.453
-0.149,-0.120,-0.598
-0.014,0.183,0.960
0.011,0.115,0.209
0.036,0.191,0.531
0.044,0.031,0.217
-0.040,-0.154,-0.446
-0.023,-0.019,-0.408
0.028,0.082,0.592
-0.014,0.166,0.649
0.044,-0.070,-0.330
-0.048,-0.103,-0.431
-0.023,0.073,0.101
-0.006,0.107,0.193
0.028,0.124,0.387
0.002,-0.095,-0.196
0.061,-0.011,-0.133
-0.048,-0.002,-0.360
0.053,0.073,0.159
-0.006,0.006,-0.256
0.044,0.200,0.805
0.044,0.073,0.199
0.053,0.065,0.406
0.061,0.090,0.423
0.044,0.166,0.835
0.078,0.048,0.319
0.002,0.031,-0.219
-0.065,-0.061,-0.395
