x,y,t
-0.244,-0.008,0.524
-0.040,-0.008,0.083
0.127,0.002,-0.276
0.266,-0.054,-0.727
-0.003,0.011,-0.075
-0.086,0.057,0.188
-0.058,-0.017,0.017
0.201,-0.008,-0.610
-0.207,0.030,0.526
-0.160,-0.008,0.470
-0.216,0.067,0.562
-0.003,0.057,-0.002
0.238,-0.045,-0.874
-0.058,-0.017,0.214
-0.290,0.002,0.824
0.229,-0.008,-0.549
-0.373,0.011,0.870
0.247,-0.063,-0.592
0.294,-0.063,-0.735
0.331,-0.054,-0.902
0.275,-0.008,-0.669
-0.031,0.020,0.140
-0.068,0.011,0.143
-0.049,0.067,0.211
0.303,-0.026,-0.922
0.229,-0.063,-0.573
0.016,0.048,-0.055
-0.086,0.011,0.277
-0.160,-0.008,0.515
-0.040,0.030,0.149
-0.151,0.011,0.529
-0.142,0.067,0.405
-0.207,0.057,0.570
-0.077,-0.026,0.224
0.053,0.020,-0.123
0.275,-0.045,-0.722
-0.290,0.020,0.736
0.025,-0.008,-0.062
0.284,-0.063,-0.716
0.006,-0.008,0.069
0.099,0.020,-0.308
-0.253,0.011,0.637
-0.031,0.048,0.108
0.321,-0.045,-0.834
-0.151,0.020,0.547
-0.114,-0.017,0.336
0.229,-0.026,-0.602
0.053,0.020,-0.069
-0.021,0.067,0.032
0.053,-0.035,-0.044
-0.114,0.020,0.460
0.321,-0.063,-0.863
-0.272,-0.008,0.769
0.164,0.002,-0.365
-0.290,0.011,0.758
-0.123,0.067,0.327
-0.058,0.057,0.179
0.192,-0.017,-0.471
-0.040,-0.017,0.209
0.118,-0.026,-0.327
-0.170,0.011,0.504
-0.188,0.020,0.478
-0.114,-0.017,0.349
-0.021,-0.017,0.104
0.247,0.011,-0.558
-0.114,0.011,0.191
-0.281,0.011,0.801
0.081,-0.045,-0.186
0.331,-0.045,-0.871
-0.068,0.067,0.225
0.182,-0.026,-0.584
-0.355,0.002,0.869
0.294,-0.026,-0.778
-0.105,-0.045,0.356
-0.327,0.002,0.803
-0.058,0.020,-0.002
0.136,-0.017,-0.334
-0.012,0.002,-0.057
-0.290,0.011,0.739
-0.114,0.002,0.347
0.006,0.011,-0.156
0.257,-0.008,-0.798
0.118,0.002,-0.233
-0.133,0.002,0.373
-0.336,0.057,0.880
0.090,0.030,-0.172
0.108,0.011,-0.196
-0.179,0.002,0.559
-0.040,0.011,-0.051
0.201,-0.008,-0.474
0.118,-0.017,-0.449
-0.160,0.048,0.396
-0.346,0.011,0.851
-0.327,0.039,0.810
-0.142,0.030,0.389
-0.068,0.057,0.209
-0.086,0.020,0.206
-0.207,0.011,0.390
