x,y,t
0.212,-0.213,-0.347
-0.155,0.076,0.189
0.106,0.020,-0.075
-0.394,0.126,0.703
0.113,-0.072,-0.252
0.445,-0.184,-0.510
-0.155,0.147,0.266
-0.225,0.154,0.392
0.085,-0.022,-0.195
0.416,-0.163,-0.513
0.268,-0.276,-0.382
0.374,-0.213,-0.554
0.205,-0.051,-0.253
0.381,-0.170,-0.525
0.219,-0.086,-0.195
0.008,0.083,0.064
-0.352,0.210,0.565
-0.352,0.105,0.372
-0.366,0.203,0.643
-0.246,0.112,0.223
0.332,-0.241,-0.574
-0.183,0.069,0.191
-0.077,0.062,-0.014
-0.190,0.210,0.105
-0.274,0.119,0.339
-0.098,0.147,0.215
0.113,-0.072,-0.113
0.247,-0.220,-0.402
-0.190,0.175,0.369
-0.345,0.140,0.556
-0.408,0.217,0.753
0.078,-0.051,-0.209
-0.176,0.189,0.344
0.254,-0.093,-0.276
0.233,-0.220,-0.408
-0.373,0.105,0.479
0.198,-0.163,-0.318
0.163,-0.191,-0.303
-0.429,0.182,0.556
0.184,-0.191,-0.248
0.240,-0.128,-0.396
0.092,-0.093,-0.239
-0.359,0.154,0.545
-0.091,0.112,0.077
0.205,-0.065,-0.186
-0.035,0.055,0.077
0.395,-0.100,-0.535
-0.126,0.076,0.093
0.212,-0.107,-0.253
0.297,-0.199,-0.490
0.261,-0.135,-0.429
0.268,-0.149,-0.476
-0.260,0.090,0.359
0.141,-0.121,-0.205
-0.338,0.210,0.552
0.134,0.006,-0.141
-0.486,0.182,0.634
0.254,-0.170,-0.461
0.430,-0.170,-0.544
0.318,-0.163,-0.488
0.275,-0.093,-0.449
0.036,0.119,0.036
0.346,-0.072,-0.347
-0.232,0.210,0.250
0.289,-0.177,-0.394
-0.415,0.175,0.548
0.064,-0.100,-0.147
0.149,-0.107,-0.189
0.395,-0.269,-0.452
-0.310,0.119,0.451
0.071,-0.043,-0.220
-0.408,0.105,0.490
-0.197,0.210,0.120
0.360,-0.079,-0.404
0.233,-0.269,-0.421
0.374,-0.297,-0.518
-0.267,0.147,0.362
-0.260,0.126,0.349
-0.070,0.020,-0.050
0.085,-0.079,-0.103
0.029,-0.121,-0.171
0.332,-0.297,-0.549
-0.126,0.112,0.027
-0.401,0.140,0.541
0.219,-0.015,-0.219
-0.049,0.090,0.005
-0.324,0.161,0.533
0.078,-0.114,-0.146
-0.218,0.112,0.254
-0.119,0.090,0.001
0.332,-0.184,-0.570
-0.542,0.210,0.767
0.247,-0.184,-0.341
-0.190,0.062,0.227
-0.162,0.097,0.125
0.466,-0.255,-0.593
-0.387,0.126,0.474
0.346,-0.297,-0.510
-0.288,0.105,0.380
0.120,0.013,-0.082
0.508,-0.156,-0.607
-0.415,0.210,0.618
0.092,-0.135,-0.139
-0.401,0.231,0.649
0.141,-0.128,-0.228
0.304,-0.128,-0.349
0.191,-0.065,-0.308
-0.028,0.055,-0.042
0.134,-0.001,-0.209
0.289,-0.156,-0.464
0.212,-0.100,-0.363
0.233,-0.128,-0.417
-0.507,0.140,0.742
-0.112,0.105,0.084
0.332,-0.100,-0.482
-0.204,0.147,0.161
-0.126,0.119,0.091
-0.077,0.090,0.136
-0.260,0.154,0.473
0.092,-0.015,-0.247
0.001,0.161,0.090
0.240,-0.227,-0.264
-0.366,0.119,0.553
0.057,-0.072,-0.152
0.141,-0.029,-0.247
-0.500,0.175,0.622
-0.443,0.245,0.711
0.297,-0.283,-0.483
-0.542,0.105,0.768
-0.556,0.175,0.763
0.304,-0.121,-0.470
-0.021,-0.079,-0.117
0.008,0.034,-0.095
0.057,-0.135,-0.162
0.318,-0.142,-0.373
-0.232,0.126,0.218
-0.274,0.203,0.468
-0.302,0.203,0.522
0.261,-0.100,-0.446
0.106,-0.022,-0.168
0.184,-0.093,-0.339
0.184,-0.199,-0.293
-0.274,0.182,0.332
-0.542,0.196,0.733
0.353,-0.121,-0.552
0.416,-0.227,-0.571
-0.070,-0.001,-0.084
0.219,-0.163,-0.267
0.043,-0.128,-0.184
-0.535,0.147,0.672
-0.126,0.126,0.334
0.177,-0.149,-0.197
0.205,-0.001,-0.205
-0.408,0.175,0.701
-0.077,0.105,0.139
0.127,-0.065,-0.325
-0.274,0.189,0.519
-0.232,0.126,0.171
0.261,-0.043,-0.287
-0.155,0.133,0.265
0.353,-0.107,-0.508
0.297,-0.121,-0.327
0.437,-0.220,-0.595
-0.521,0.224,0.718
0.289,-0.220,-0.413
-0.359,0.196,0.554
-0.253,0.168,0.209
0.226,-0.015,-0.264
0.226,-0.135,-0.390
0.318,-0.142,-0.471
0.057,-0.065,-0.165
0.268,-0.107,-0.274
-0.295,0.189,0.570
0.367,-0.184,-0.501
-0.042,-0.036,-0.107
-0.197,0.076,0.157
-0.493,0.238,0.778
-0.338,0.154,0.458
0.099,-0.191,-0.205
0.423,-0.100,-0.523
-0.042,0.069,0.093
-0.507,0.140,0.614
0.304,-0.163,-0.492
0.050,0.112,0.046
-0.366,0.168,0.624
-0.288,0.168,0.364
0.170,-0.043,-0.331
0.254,-0.051,-0.325
0.445,-0.206,-0.601
0.325,-0.114,-0.535
0.226,-0.086,-0.299
-0.366,0.154,0.459
0.437,-0.170,-0.515
0.268,-0.142,-0.417
-0.302,0.203,0.574
-0.274,0.133,0.438
-0.014,0.083,0.102
-0.324,0.217,0.688
0.353,-0.170,-0.458
-0.105,0.048,0.112
-0.486,0.112,0.788
0.064,0.126,0.054
-0.373,0.175,0.498
0.311,-0.227,-0.461
-0.295,0.189,0.459
0.071,-0.142,-0.160
0.149,-0.100,-0.137
-0.267,0.203,0.572
-0.239,0.133,0.250
-0.493,0.140,0.727
-0.514,0.140,0.765
-0.443,0.161,0.690
-0.021,0.112,0.032
0.282,-0.206,-0.487
0.064,-0.065,-0.195
0.177,-0.065,-0.193
0.233,-0.072,-0.275
0.170,-0.100,-0.390
0.127,0.034,-0.153
0.184,-0.206,-0.256
-0.098,0.154,0.114
-0.436,0.231,0.656
-0.465,0.182,0.708
-0.422,0.112,0.472
-0.042,0.069,-0.037
-0.042,0.133,0.044
0.374,-0.184,-0.561
-0.225,0.055,0.260
0.282,-0.086,-0.380
-0.211,0.097,0.377
0.247,-0.065,-0.398
-0.133,0.119,0.062
-0.443,0.112,0.783
-0.324,0.140,0.585
-0.070,0.069,0.216
0.304,-0.191,-0.520
-0.302,0.097,0.627
-0.302,0.105,0.403
-0.218,0.097,0.297
0.360,-0.177,-0.513
-0.281,0.097,0.336
0.254,-0.036,-0.305
0.163,-0.100,-0.377
0.106,-0.114,-0.261
0.304,-0.262,-0.445
-0.415,0.238,0.692
0.409,-0.107,-0.501
0.346,-0.156,-0.564
-0.338,0.168,0.458
-0.373,0.161,0.609
-0.429,0.126,0.624
-0.140,0.119,0.145
-0.140,0.140,0.258
0.001,0.090,0.112
-0.380,0.203,0.635
0.078,-0.100,-0.158
0.381,-0.163,-0.505
0.205,-0.234,-0.260
-0.295,0.147,0.464
0.304,-0.290,-0.500
-0.105,0.140,0.150
-0.563,0.210,0.735
-0.373,0.189,0.522
0.163,0.013,-0.162
-0.486,0.097,0.736
0.318,-0.213,-0.488
0.057,-0.051,-0.203
0.275,-0.072,-0.267
0.437,-0.170,-0.568
-0.549,0.203,0.754
-0.140,0.097,0.056
0.332,-0.304,-0.510
0.233,-0.114,-0.400
-0.007,-0.036,-0.092
0.311,-0.276,-0.476
0.325,-0.248,-0.388
-0.211,0.161,0.264
0.120,-0.022,-0.260
-0.253,0.105,0.290
-0.211,0.154,0.400
0.141,-0.114,-0.222
-0.373,0.147,0.581
0.212,-0.051,-0.301
0.191,-0.043,-0.240
0.149,-0.156,-0.223
0.001,0.090,0.012
0.106,-0.015,-0.102
-0.126,0.119,0.256
-0.331,0.196,0.584
-0.232,0.133,0.330
-0.295,0.105,0.289
0.297,-0.149,-0.554
-0.556,0.210,0.783
0.099,-0.029,-0.200
-0.443,0.253,0.739
0.156,-0.114,-0.312
0.198,-0.163,-0.228
0.219,-0.241,-0.339
-0.493,0.154,0.615
0.282,-0.114,-0.498
0.332,-0.065,-0.390
0.508,-0.170,-0.613
0.353,-0.213,-0.468
0.261,-0.163,-0.490
-0.014,0.154,0.106
0.409,-0.213,-0.554
0.437,-0.107,-0.490
0.177,-0.220,-0.308
-0.204,0.105,0.298
-0.563,0.189,0.711
-0.084,0.182,0.232
0.134,-0.058,-0.264
0.318,-0.121,-0.432
-0.035,0.105,0.094
0.198,-0.199,-0.196
-0.014,0.020,-0.107
0.134,0.062,-0.082
-0.450,0.097,0.699
-0.359,0.133,0.547
0.134,0.034,-0.092
0.064,-0.036,-0.207
-0.140,0.133,0.209
-0.204,0.090,0.161
0.339,-0.114,-0.368
-0.183,0.119,0.351
-0.288,0.161,0.406
-0.077,0.062,0.075
-0.542,0.189,0.771
0.311,-0.170,-0.541
0.219,-0.220,-0.359
-0.331,0.196,0.629
0.289,-0.079,-0.281
0.184,-0.036,-0.332
-0.465,0.140,0.731
0.325,-0.332,-0.482
-0.458,0.168,0.737
-0.500,0.274,0.777
-0.310,0.175,0.319
0.240,-0.248,-0.448
-0.140,0.062,0.133
0.311,-0.156,-0.412
-0.021,0.062,0.022
-0.324,0.175,0.616
-0.415,0.196,0.639
-0.140,0.083,0.234
-0.373,0.168,0.530
-0.147,0.119,0.113
0.430,-0.213,-0.611
0.212,-0.128,-0.294
-0.310,0.097,0.377
0.127,0.027,-0.136
-0.408,0.168,0.686
0.268,-0.065,-0.250
-0.472,0.196,0.634
0.184,-0.184,-0.350
-0.014,0.090,0.048
-0.176,0.168,0.142
0.423,-0.227,-0.553
-0.028,-0.029,-0.085
-0.514,0.154,0.623
0.360,-0.262,-0.530
0.247,-0.142,-0.271
0.381,-0.269,-0.537
-0.183,0.154,0.307
-0.528,0.189,0.740
-0.310,0.097,0.420
-0.331,0.140,0.327
0.099,-0.001,-0.093
0.001,0.062,-0.031
-0.225,0.069,0.251
0.452,-0.241,-0.614
0.001,0.083,0.081
0.191,-0.093,-0.319
-0.176,0.168,0.116
0.318,-0.206,-0.521
0.205,-0.015,-0.152
0.106,-0.135,-0.188
0.445,-0.297,-0.602
-0.246,0.076,0.238
0.367,-0.262,-0.556
0.233,0.013,-0.229
-0.091,0.090,0.061
0.381,-0.135,-0.569
0.170,-0.079,-0.186
0.318,-0.184,-0.482
0.177,-0.163,-0.168
0.078,-0.015,-0.091
-0.542,0.126,0.780
0.416,-0.262,-0.582
0.212,-0.114,-0.389
-0.119,0.105,0.008
0.205,-0.100,-0.215
0.177,-0.107,-0.252
-0.077,0.133,0.117
-0.035,-0.001,-0.100
-0.465,0.161,0.586
-0.514,0.168,0.632
0.395,-0.128,-0.572
-0.028,0.126,0.122
0.437,-0.220,-0.563
-0.140,0.140,0.153
0.001,0.147,0.108
-0.324,0.154,0.420
-0.211,0.090,0.195
-0.176,0.097,0.179
0.311,-0.269,-0.458
-0.112,0.119,0.205
0.205,-0.227,-0.365
-0.246,0.168,0.242
-0.373,0.105,0.582
0.353,-0.184,-0.454
0.416,-0.213,-0.606
-0.183,0.182,0.221
-0.535,0.161,0.728
0.360,-0.269,-0.453
0.057,-0.051,-0.100
0.459,-0.142,-0.570
-0.147,0.154,0.165
0.275,-0.227,-0.433
0.480,-0.206,-0.562
0.113,-0.001,-0.199
0.205,-0.072,-0.389
0.282,-0.191,-0.354
-0.408,0.105,0.461
0.226,-0.058,-0.280
-0.415,0.182,0.571
0.353,-0.142,-0.599
-0.373,0.203,0.567
0.177,-0.128,-0.181
-0.401,0.140,0.591
0.149,-0.029,-0.283
0.452,-0.220,-0.577
-0.084,0.041,0.050
0.268,-0.170,-0.275
-0.528,0.189,0.712
-0.436,0.217,0.644
-0.133,0.203,0.277
0.318,-0.206,-0.382
-0.077,0.048,0.061
-0.098,0.189,0.226
0.297,-0.248,-0.459
0.106,0.062,-0.077
-0.133,0.083,0.131
-0.317,0.105,0.351
-0.169,0.189,0.193
-0.260,0.140,0.387
-0.373,0.126,0.450
0.304,-0.163,-0.366
0.416,-0.213,-0.484
0.184,-0.163,-0.308
0.057,-0.043,-0.114
0.367,-0.184,-0.528
0.353,-0.086,-0.467
0.346,-0.100,-0.461
-0.260,0.161,0.502
-0.338,0.105,0.359
0.430,-0.177,-0.481
-0.105,0.182,0.095
-0.162,0.069,0.217
0.360,-0.156,-0.414
-0.528,0.175,0.753
-0.197,0.097,0.139
-0.317,0.112,0.332
-0.302,0.090,0.292
0.346,-0.156,-0.434
0.275,-0.100,-0.409
0.191,0.013,-0.153
-0.239,0.210,0.158
-0.345,0.083,0.356
-0.331,0.203,0.616
-0.042,0.069,0.010
-0.176,0.112,0.124
-0.126,0.112,0.287
-0.493,0.260,0.783
0.275,-0.043,-0.332
0.282,-0.065,-0.321
0.092,0.006,-0.215
-0.338,0.126,0.511
0.297,-0.121,-0.493
-0.197,0.161,0.130
0.001,-0.107,-0.150
0.099,-0.001,-0.180
0.205,-0.100,-0.380
0.226,-0.177,-0.372
-0.401,0.175,0.584
0.395,-0.283,-0.523
0.085,-0.043,-0.262
0.008,-0.093,-0.151
0.374,-0.177,-0.513
-0.295,0.133,0.375
0.163,-0.149,-0.259
0.381,-0.191,-0.524
0.205,-0.058,-0.349
-0.450,0.154,0.760
0.008,-0.008,-0.133
-0.260,0.126,0.290
-0.028,-0.051,-0.120
-0.070,0.105,0.043
-0.436,0.154,0.673
-0.479,0.140,0.577
0.191,-0.022,-0.153
-0.112,0.203,0.256
0.015,-0.001,-0.106
0.254,-0.199,-0.439
-0.147,0.119,0.297
-0.169,0.175,0.260
0.191,-0.213,-0.223
0.254,-0.036,-0.275
0.353,-0.121,-0.370
-0.450,0.245,0.725
0.247,-0.128,-0.329
0.254,-0.079,-0.330
0.127,-0.079,-0.266
-0.035,0.083,0.062
-0.380,0.168,0.513
0.247,-0.142,-0.455
-0.493,0.238,0.723
0.459,-0.163,-0.550
0.395,-0.262,-0.549
0.402,-0.290,-0.584
0.445,-0.156,-0.559
-0.514,0.189,0.773
0.226,-0.121,-0.239
0.416,-0.107,-0.356
0.177,-0.121,-0.168
-0.176,0.203,0.192
-0.049,0.083,0.117
-0.500,0.154,0.724
-0.133,0.126,0.111
-0.126,0.062,0.046
0.466,-0.058,-0.546
-0.310,0.112,0.389
0.120,-0.121,-0.210
0.374,-0.079,-0.396
0.226,-0.051,-0.158
-0.204,0.224,0.140
-0.408,0.231,0.737
0.113,-0.100,-0.233
0.106,-0.149,-0.219
0.459,-0.227,-0.618
-0.211,0.126,0.323
-0.310,0.154,0.414
0.275,-0.093,-0.466
-0.211,0.105,0.202
-0.458,0.231,0.775
-0.183,0.196,0.248
0.423,-0.128,-0.579
0.085,-0.093,-0.139
-0.211,0.154,0.285
-0.542,0.224,0.770
0.381,-0.093,-0.453
-0.155,0.069,0.205
-0.338,0.147,0.490
-0.176,0.154,0.239
-0.443,0.119,0.733
-0.021,0.034,-0.083
-0.465,0.147,0.587
0.127,-0.008,-0.260
0.289,-0.107,-0.396
-0.500,0.154,0.757
-0.324,0.217,0.557
0.289,-0.191,-0.479
-0.042,0.027,-0.074
0.219,-0.220,-0.330
0.184,-0.036,-0.310
-0.140,0.189,0.293
-0.225,0.069,0.197
0.325,-0.135,-0.481
-0.232,0.203,0.147
0.226,-0.184,-0.316
0.346,-0.142,-0.402
-0.295,0.147,0.509
0.466,-0.206,-0.543
0.127,-0.107,-0.181
0.304,-0.135,-0.552
-0.267,0.182,0.371
0.409,-0.220,-0.449
0.473,-0.163,-0.572
-0.204,0.112,0.222
0.282,-0.107,-0.460
0.318,-0.149,-0.423
-0.070,0.161,0.065
0.275,-0.121,-0.417
0.409,-0.128,-0.502
-0.155,0.119,0.155
-0.063,0.055,0.001
-0.155,0.048,0.166
-0.091,0.076,0.022
0.494,-0.290,-0.616
0.360,-0.156,-0.509
-0.387,0.224,0.657
0.282,-0.135,-0.539
-0.422,0.147,0.580
0.099,-0.051,-0.099
-0.563,0.231,0.763
-0.253,0.069,0.296
-0.542,0.175,0.729
0.275,-0.177,-0.505
-0.098,0.076,0.148
0.156,-0.206,-0.264
-0.443,0.140,0.668
0.430,-0.248,-0.576
-0.232,0.083,0.237
0.219,-0.079,-0.332
-0.204,0.076,0.173
