x,y,t
-0.163,-0.292,-0.281
-0.061,-0.170,-0.204
0.026,0.411,0.435
0.067,0.289,0.351
0.020,0.066,0.070
0.101,0.621,0.557
-0.014,-0.177,-0.128
-0.028,-0.360,-0.361
-0.082,0.188,0.199
-0.041,-0.427,-0.466
0.087,0.573,0.514
0.135,-0.069,-0.082
0.040,0.154,0.230
-0.001,-0.022,-0.085
-0.075,-0.569,-0.608
-0.068,-0.448,-0.447
0.033,0.120,0.080
-0.122,-0.062,-0.053
0.026,0.080,0.162
-0.068,-0.508,-0.482
-0.041,-0.339,-0.368
-0.021,-0.252,-0.252
-0.034,-0.062,-0.082
0.006,-0.008,0.039
-0.007,-0.231,-0.249
-0.034,-0.421,-0.328
0.121,0.634,0.636
0.121,0.654,0.599
0.114,0.566,0.549
-0.034,-0.252,-0.252
-0.001,-0.069,-0.025
-0.007,0.141,0.124
0.094,0.424,0.399
0.087,0.377,0.472
0.013,-0.042,-0.072
-0.055,-0.468,-0.524
0.053,0.566,0.559
0.033,0.120,0.094
0.033,0.113,0.063
0.108,0.681,0.647
0.053,0.262,0.202
0.067,0.262,0.378
0.114,0.627,0.592
0.074,0.364,0.301
0.006,-0.076,0.021
-0.075,-0.306,-0.334
-0.007,-0.096,-0.167
0.114,0.587,0.564
0.026,0.107,0.036
-0.061,-0.360,-0.356
-0.021,-0.103,-0.168
-0.034,-0.265,-0.319
0.033,0.100,0.086
0.108,0.668,0.667
-0.021,0.019,0.003
0.040,0.249,0.183
-0.089,-0.549,-0.587
0.020,0.012,0.029
0.053,0.553,0.543
-0.055,-0.272,-0.279
0.026,0.107,0.169
-0.089,-0.353,-0.371
-0.068,0.262,0.293
-0.007,-0.245,-0.169
0.074,0.303,0.271
-0.041,-0.272,-0.289
0.121,0.593,0.625
0.074,0.607,0.603
-0.136,-0.089,-0.060
0.080,0.479,0.430
-0.034,-0.306,-0.282
-0.028,-0.035,-0.048
-0.048,-0.123,-0.134
0.067,0.580,0.575
0.087,0.465,0.534
0.108,0.621,0.565
0.087,0.499,0.536
0.053,0.303,0.252
-0.028,-0.285,-0.347
-0.034,-0.225,-0.294
-0.109,-0.448,-0.465
0.074,0.316,0.356
0.033,0.100,0.179
-0.068,-0.143,-0.175
-0.007,0.120,0.103
0.020,0.161,0.095
-0.061,-0.556,-0.506
-0.021,-0.116,-0.186
-0.082,-0.461,-0.466
-0.203,-0.576,-0.594
-0.122,-0.488,-0.519
0.013,-0.049,0.064
-0.061,-0.103,-0.135
-0.034,0.066,0.032
-0.028,-0.319,-0.294
-0.055,-0.184,-0.203
0.108,0.573,0.546
-0.183,-0.461,-0.448
-0.001,0.641,0.671
-0.041,-0.231,-0.294
-0.007,-0.008,-0.073
0.080,0.526,0.485
0.040,0.107,0.067
-0.028,-0.258,-0.300
0.047,0.310,0.293
-0.021,-0.198,-0.135
0.033,0.046,0.120
-0.014,0.168,0.137
0.067,0.445,0.449
0.094,0.519,0.455
-0.034,-0.339,-0.362
-0.014,-0.191,-0.249
-0.048,-0.231,-0.254
-0.021,0.026,0.014
-0.116,-0.488,-0.500
-0.055,-0.454,-0.372
0.020,0.100,0.130
-0.116,-0.022,-0.012
0.114,0.607,0.606
0.006,0.032,-0.000
-0.061,-0.373,-0.436
-0.061,-0.508,-0.535
-0.129,-0.603,-0.620
-0.041,-0.096,-0.128
-0.075,0.222,0.253
0.020,0.120,0.109
0.006,0.262,0.242
0.101,0.627,0.600
0.033,0.222,0.151
0.087,0.391,0.468
-0.129,-0.089,-0.082
0.108,0.695,0.661
-0.007,0.668,0.643
-0.041,-0.339,-0.287
0.006,-0.116,-0.128
0.006,0.012,-0.041
0.087,0.445,0.449
-0.007,0.134,0.114
-0.048,-0.495,-0.449
-0.021,-0.306,-0.332
0.047,0.512,0.500
0.040,0.093,0.211
0.006,-0.103,-0.135
-0.068,-0.272,-0.300
-0.082,-0.542,-0.603
0.033,0.086,0.105
0.094,0.438,0.466
-0.055,-0.475,-0.389
-0.089,-0.252,-0.284
0.094,0.472,0.561
-0.082,-0.515,-0.574
0.026,0.113,0.142
-0.109,-0.495,-0.503
-0.041,-0.238,-0.282
0.101,0.485,0.568
-0.048,-0.319,-0.333
0.108,0.661,0.658
-0.028,-0.110,-0.135
0.108,0.560,0.649
-0.014,-0.272,-0.278
-0.048,-0.454,-0.412
0.074,0.343,0.455
-0.109,0.026,0.033
-0.041,-0.400,-0.358
-0.075,-0.617,-0.620
-0.021,-0.326,-0.268
0.101,0.499,0.500
0.074,0.364,0.315
-0.001,0.039,0.016
-0.007,-0.238,-0.176
0.101,0.452,0.514
-0.028,-0.116,-0.141
-0.055,-0.441,-0.436
0.006,-0.076,-0.109
0.080,0.364,0.424
-0.007,-0.191,-0.151
-0.109,-0.367,-0.399
-0.055,-0.069,-0.092
