x,y,t
0.372,0.015,-0.669
0.014,0.077,-0.065
0.007,-0.001,-0.024
-0.056,-0.001,0.174
-0.375,0.015,0.612
-0.375,-0.055,0.707
-0.102,-0.009,0.186
0.263,0.007,-0.578
0.092,0.069,-0.295
0.045,0.015,0.043
0.341,0.022,-0.607
0.014,0.069,-0.129
0.240,0.030,-0.600
-0.009,-0.024,0.024
0.170,0.038,-0.399
-0.375,-0.048,0.834
-0.009,-0.009,0.214
-0.367,-0.001,0.605
0.193,0.007,-0.453
-0.421,-0.040,0.827
0.326,0.015,-0.628
0.162,0.022,-0.248
-0.040,-0.001,0.063
-0.375,-0.048,0.705
0.232,0.007,-0.447
-0.406,-0.079,0.795
0.263,0.015,-0.597
-0.102,-0.009,0.297
-0.149,-0.016,0.346
-0.421,-0.063,0.773
-0.141,-0.032,0.359
0.007,0.069,-0.002
0.084,0.061,-0.249
0.186,0.007,-0.448
0.045,0.038,0.013
-0.367,-0.040,0.752
-0.390,-0.055,0.743
0.108,0.061,-0.252
0.263,-0.001,-0.544
-0.157,-0.009,0.259
0.310,-0.016,-0.637
0.139,0.007,-0.301
-0.437,-0.087,0.846
0.217,0.022,-0.326
-0.336,0.015,0.672
0.310,-0.016,-0.534
0.248,0.022,-0.429
-0.149,-0.048,0.324
-0.079,-0.001,0.222
-0.382,-0.048,0.773
0.240,0.030,-0.587
0.045,0.030,-0.172
-0.110,-0.009,0.284
0.131,-0.001,-0.292
0.263,-0.016,-0.507
0.077,0.054,-0.246
-0.102,-0.024,0.211
0.178,-0.009,-0.372
0.038,-0.001,0.049
-0.025,0.022,-0.100
-0.344,0.007,0.564
0.326,0.007,-0.547
-0.359,0.030,0.563
0.131,-0.001,-0.166
-0.375,-0.032,0.760
0.045,0.038,-0.197
0.193,0.038,-0.460
0.030,0.046,0.074
0.279,0.046,-0.497
-0.087,-0.009,0.240
-0.382,-0.055,0.728
0.045,0.061,-0.199
0.154,0.038,-0.414
-0.406,-0.055,0.816
0.186,0.038,-0.357
0.193,0.030,-0.330
0.279,0.015,-0.558
0.045,0.085,-0.220
-0.141,-0.032,0.296
0.263,0.007,-0.491
0.147,-0.009,-0.318
0.256,0.007,-0.445
0.333,0.030,-0.562
0.310,-0.001,-0.480
0.248,0.038,-0.420
0.100,0.069,-0.302
-0.141,-0.040,0.308
0.022,0.022,-0.021
0.131,0.007,-0.301
-0.351,-0.032,0.810
0.326,0.015,-0.579
0.139,0.038,-0.351
0.256,0.015,-0.463
-0.095,-0.001,0.189
-0.032,-0.001,0.056
0.108,0.038,-0.324
-0.382,-0.040,0.774
0.108,0.061,-0.311
0.287,-0.001,-0.606
0.077,0.061,-0.200
0.030,0.007,-0.089
-0.048,0.007,0.256
0.217,0.015,-0.338
0.357,-0.001,-0.657
0.380,-0.009,-0.663
-0.001,0.015,0.038
-0.359,0.015,0.568
0.092,0.046,-0.275
0.287,0.007,-0.457
0.007,-0.001,0.095
0.045,0.038,-0.156
0.193,0.038,-0.479
0.232,-0.024,-0.454
-0.328,-0.009,0.749
0.014,0.015,0.080
-0.359,-0.079,0.726
-0.421,-0.048,0.817
0.116,-0.001,-0.266
0.380,-0.001,-0.631
-0.180,-0.024,0.406
0.224,0.007,-0.437
0.248,-0.001,-0.419
0.170,0.038,-0.359
-0.079,-0.016,0.152
-0.102,-0.024,0.282
-0.367,-0.063,0.853
-0.079,-0.016,0.229
0.178,0.022,-0.226
0.038,0.007,-0.107
-0.460,-0.071,0.878
0.263,0.015,-0.544
0.201,0.038,-0.503
0.131,0.030,-0.366
-0.421,-0.063,0.793
-0.025,-0.001,0.113
-0.359,-0.055,0.816
0.240,0.015,-0.516
-0.126,-0.032,0.322
0.170,0.046,-0.167
0.030,0.022,0.081
0.162,0.038,-0.349
-0.001,0.054,-0.162
-0.056,-0.009,0.086
0.357,0.015,-0.673
-0.118,-0.009,0.203
-0.382,-0.040,0.831
-0.087,-0.001,0.296
-0.359,-0.001,0.587
0.193,0.038,-0.495
0.014,0.069,-0.154
0.333,0.007,-0.630
0.279,0.015,-0.558
0.209,0.015,-0.486
0.263,-0.009,-0.549
0.217,0.007,-0.397
0.380,-0.009,-0.616
-0.351,-0.024,0.774
-0.398,-0.040,0.867
-0.445,-0.055,0.836
0.341,-0.009,-0.598
0.123,0.007,-0.286
0.279,0.038,-0.638
0.279,0.007,-0.613
0.053,0.054,-0.209
0.263,-0.024,-0.509
-0.359,0.022,0.566
0.256,-0.009,-0.550
-0.001,0.069,-0.123
0.154,-0.001,-0.313
-0.429,-0.032,0.760
0.022,0.061,-0.157
-0.001,-0.024,0.009
-0.079,-0.016,0.139
0.232,0.015,-0.501
-0.017,-0.009,0.165
-0.079,-0.009,0.147
0.154,-0.009,-0.271
0.224,0.022,-0.480
0.092,0.054,-0.256
-0.414,-0.071,0.879
-0.032,0.030,0.231
-0.398,-0.063,0.878
0.263,0.022,-0.493
-0.025,-0.016,0.150
0.022,0.038,-0.183
0.271,0.022,-0.645
0.256,0.022,-0.435
-0.429,-0.087,0.849
0.372,0.022,-0.674
0.162,0.015,-0.339
-0.001,0.038,-0.027
-0.009,0.038,-0.109
0.224,-0.009,-0.454
0.053,0.077,-0.098
0.084,0.054,-0.257
0.201,0.038,-0.480
-0.367,-0.055,0.685
-0.351,-0.048,0.809
-0.133,-0.032,0.287
0.248,0.015,-0.534
-0.180,-0.024,0.285
-0.056,0.015,0.108
0.217,0.030,-0.537
0.248,0.022,-0.599
-0.188,-0.016,0.299
0.217,0.015,-0.338
0.217,0.030,-0.465
-0.375,-0.079,0.829
-0.017,0.022,0.159
0.310,-0.009,-0.557
0.326,-0.001,-0.667
0.170,0.046,-0.318
-0.274,0.022,0.457
0.030,-0.032,-0.045
0.154,-0.016,-0.247
0.201,0.030,-0.489
-0.421,-0.055,0.819
0.287,0.015,-0.500
0.193,0.030,-0.494
-0.414,-0.040,0.782
-0.126,-0.016,0.314
-0.032,-0.016,0.057
-0.009,0.030,-0.104
0.038,0.007,0.097
0.014,0.015,-0.026
0.240,0.038,-0.378
0.100,0.061,-0.219
-0.414,-0.063,0.867
-0.017,-0.024,0.032
-0.048,-0.016,0.231
-0.445,-0.055,0.818
0.007,0.069,-0.043
0.139,0.046,-0.241
0.302,0.007,-0.516
-0.188,-0.009,0.305
0.139,0.054,-0.352
-0.133,-0.032,0.341
0.030,0.054,-0.155
-0.001,-0.016,-0.001
-0.001,0.015,0.115
