x,y,t
0.328,-0.040,0.349
-0.084,-0.015,-0.081
-0.278,0.033,-0.297
0.365,-0.009,0.350
0.328,-0.009,0.334
0.383,-0.009,0.382
0.310,-0.052,0.284
0.413,-0.040,0.433
0.140,-0.022,0.123
-0.496,0.069,-0.456
-0.090,-0.009,-0.086
0.019,-0.015,0.025
-0.096,0.015,-0.098
-0.133,0.003,-0.164
-0.672,0.112,-0.619
0.019,-0.015,-0.003
0.153,-0.028,0.138
0.304,-0.052,0.286
0.516,-0.058,0.528
0.413,-0.046,0.410
0.292,-0.034,0.275
0.516,-0.040,0.534
-0.230,0.021,-0.224
0.055,-0.028,0.071
-0.721,0.118,-0.650
0.316,-0.015,0.298
0.553,-0.052,0.541
0.444,-0.040,0.433
-0.102,0.003,-0.111
-0.521,0.082,-0.487
-0.096,-0.022,-0.128
-0.551,0.082,-0.536
0.080,-0.003,0.073
0.395,-0.034,0.379
0.231,-0.015,0.227
0.529,-0.040,0.520
-0.308,0.057,-0.338
0.153,-0.022,0.132
0.535,-0.040,0.549
-0.630,0.118,-0.594
0.419,-0.040,0.415
-0.072,-0.009,-0.092
-0.709,0.124,-0.661
0.468,-0.022,0.481
0.432,-0.034,0.419
0.292,-0.034,0.284
0.068,-0.003,0.044
-0.266,0.021,-0.248
-0.054,-0.015,-0.048
-0.139,0.003,-0.139
-0.254,0.009,-0.280
-0.199,0.033,-0.228
-0.284,0.039,-0.298
0.401,-0.040,0.433
0.219,-0.015,0.229
0.413,-0.040,0.437
-0.042,-0.015,-0.054
0.213,-0.015,0.193
0.492,-0.028,0.522
0.286,-0.046,0.289
-0.503,0.082,-0.472
0.377,-0.015,0.384
0.116,-0.009,0.089
-0.084,-0.028,-0.113
0.328,-0.034,0.314
-0.606,0.094,-0.583
0.401,-0.034,0.418
-0.503,0.082,-0.496
-0.284,0.039,-0.298
-0.169,0.009,-0.199
0.425,-0.058,0.434
0.153,-0.015,0.192
0.086,-0.009,0.078
0.037,0.009,0.022
-0.430,0.057,-0.428
-0.005,-0.028,-0.014
-0.066,-0.009,-0.097
-0.551,0.082,-0.536
0.316,-0.034,0.330
0.377,-0.028,0.369
-0.090,-0.003,-0.091
-0.424,0.069,-0.410
-0.072,-0.003,-0.074
-0.187,0.015,-0.215
-0.339,0.051,-0.335
0.207,-0.046,0.183
-0.163,-0.003,-0.156
-0.587,0.094,-0.537
0.365,-0.009,0.348
-0.096,-0.003,-0.106
0.419,-0.034,0.414
0.031,-0.022,0.009
-0.120,-0.028,-0.133
-0.151,0.015,-0.143
-0.618,0.100,-0.594
-0.333,0.045,-0.313
0.341,-0.028,0.334
0.353,-0.052,0.338
-0.236,0.021,-0.227
-0.327,0.057,-0.331
0.013,-0.015,-0.019
-0.163,0.003,-0.186
-0.163,0.015,-0.166
-0.205,0.015,-0.201
-0.084,-0.015,-0.093
0.419,-0.034,0.443
0.037,-0.015,0.004
-0.096,-0.003,-0.126
0.371,-0.022,0.380
0.201,-0.028,0.208
0.480,-0.040,0.469
0.480,-0.034,0.475
-0.606,0.088,-0.556
-0.017,-0.022,-0.036
-0.181,0.003,-0.171
-0.151,0.009,-0.143
0.371,-0.022,0.383
0.492,-0.028,0.490
0.001,-0.015,-0.029
0.286,-0.015,0.280
-0.169,0.015,-0.192
0.140,-0.028,0.148
0.153,-0.022,0.132
-0.066,-0.003,-0.101
0.201,-0.052,0.180
-0.442,0.057,-0.437
0.153,-0.034,0.168
0.219,-0.015,0.225
-0.205,0.021,-0.195
-0.460,0.051,-0.446
0.159,-0.040,0.132
0.189,-0.003,0.182
-0.181,0.015,-0.179
0.268,-0.034,0.280
-0.084,0.003,-0.087
0.092,-0.022,0.072
0.219,-0.028,0.196
-0.072,-0.009,-0.074
0.334,-0.046,0.367
-0.114,-0.003,-0.115
-0.175,0.027,-0.181
0.347,-0.040,0.335
-0.278,0.051,-0.286
0.541,-0.040,0.545
0.456,-0.040,0.459
0.013,0.003,-0.011
0.529,-0.028,0.523
-0.648,0.106,-0.588
-0.236,0.027,-0.225
-0.181,0.009,-0.208
-0.612,0.106,-0.589
-0.454,0.063,-0.451
-0.454,0.069,-0.414
0.383,-0.034,0.368
0.316,-0.046,0.344
0.225,-0.022,0.229
-0.205,0.015,-0.199
-0.066,-0.009,-0.093
-0.205,0.021,-0.207
0.219,-0.009,0.266
-0.211,0.009,-0.219
0.492,-0.040,0.486
-0.509,0.076,-0.498
0.092,0.003,0.079
0.535,-0.040,0.549
0.268,-0.052,0.236
-0.066,0.003,-0.101
-0.060,-0.015,-0.054
-0.515,0.088,-0.496
0.492,-0.028,0.490
0.547,-0.028,0.547
-0.521,0.076,-0.487
-0.205,0.021,-0.231
-0.187,0.009,-0.212
-0.539,0.082,-0.526
-0.090,0.009,-0.087
-0.102,0.015,-0.127
0.225,-0.040,0.209
-0.048,-0.009,-0.069
0.347,-0.052,0.334
0.304,-0.040,0.291
0.328,-0.046,0.324
-0.072,-0.009,-0.092
-0.005,-0.009,-0.037
-0.133,-0.009,-0.125
-0.157,0.009,-0.176
-0.296,0.027,-0.306
-0.685,0.100,-0.640
-0.096,-0.003,-0.118
-0.029,-0.015,-0.021
0.092,0.003,0.076
-0.466,0.063,-0.422
-0.296,0.027,-0.264
-0.490,0.076,-0.455
-0.521,0.076,-0.501
0.225,-0.034,0.248
-0.029,-0.015,-0.028
-0.230,0.021,-0.219
0.486,-0.034,0.517
-0.193,0.015,-0.222
-0.278,0.045,-0.285
-0.126,0.003,-0.145
-0.339,0.045,-0.349
0.383,-0.015,0.382
0.371,-0.034,0.373
-0.108,0.009,-0.122
0.007,-0.015,0.006
0.486,-0.040,0.501
0.322,-0.034,0.306
-0.163,0.003,-0.157
-0.296,0.027,-0.264
-0.175,0.015,-0.170
0.074,-0.015,0.089
-0.005,-0.009,-0.009
-0.139,0.027,-0.173
0.395,-0.046,0.422
-0.145,0.027,-0.176
-0.114,-0.003,-0.142
-0.133,-0.003,-0.132
-0.630,0.100,-0.582
0.365,-0.022,0.381
0.043,-0.028,0.042
0.383,-0.040,0.371
-0.345,0.045,-0.339
0.486,-0.028,0.519
-0.145,0.003,-0.141
0.359,-0.046,0.365
0.140,-0.028,0.148
0.098,-0.022,0.080
0.213,-0.009,0.199
-0.042,-0.015,-0.042
-0.454,0.069,-0.441
-0.108,-0.022,-0.125
-0.120,-0.003,-0.121
0.146,-0.046,0.127
0.425,-0.052,0.428
0.468,-0.040,0.467
-0.496,0.063,-0.477
-0.096,0.021,-0.126
-0.181,0.021,-0.171
-0.011,-0.022,-0.022
-0.036,-0.003,-0.061
0.225,-0.034,0.211
-0.023,-0.009,-0.029
-0.266,0.033,-0.282
-0.078,-0.009,-0.095
-0.145,0.003,-0.173
0.322,-0.052,0.328
-0.217,0.015,-0.210
-0.060,-0.009,-0.088
-0.187,0.027,-0.189
-0.472,0.069,-0.466
0.092,-0.028,0.107
-0.296,0.039,-0.317
0.098,-0.028,0.085
-0.084,-0.009,-0.086
0.098,-0.015,0.080
-0.193,0.033,-0.227
-0.151,0.009,-0.183
0.159,-0.028,0.135
0.037,-0.022,0.044
-0.321,0.051,-0.335
-0.157,0.009,-0.185
0.438,-0.015,0.440
-0.060,-0.015,-0.081
-0.029,-0.015,-0.028
-0.066,-0.034,-0.083
0.401,-0.046,0.429
-0.472,0.045,-0.446
-0.133,-0.009,-0.145
0.225,-0.046,0.246
0.389,-0.058,0.386
-0.642,0.094,-0.605
-0.060,-0.003,-0.096
-0.102,0.003,-0.111
0.225,-0.028,0.243
0.468,-0.046,0.470
0.019,-0.009,0.014
-0.072,-0.015,-0.071
0.419,-0.040,0.444
0.019,-0.015,-0.011
-0.169,0.009,-0.168
0.201,-0.034,0.211
0.425,-0.040,0.449
0.322,-0.022,0.332
-0.187,0.027,-0.186
-0.157,0.009,-0.189
-0.066,0.021,-0.079
-0.102,-0.003,-0.103
-0.327,0.051,-0.338
0.280,-0.040,0.299
-0.224,0.021,-0.220
-0.175,0.003,-0.188
0.480,-0.046,0.524
0.001,-0.015,-0.020
-0.108,-0.028,-0.131
0.183,-0.028,0.165
-0.017,-0.009,-0.042
-0.108,0.021,-0.122
0.098,-0.022,0.080
-0.029,-0.009,-0.039
0.250,-0.052,0.231
-0.066,-0.009,-0.074
0.292,-0.040,0.310
0.207,-0.046,0.211
0.213,-0.022,0.222
-0.442,0.063,-0.414
-0.120,0.003,-0.146
0.304,-0.040,0.308
0.207,-0.028,0.194
-0.612,0.100,-0.592
-0.090,0.003,-0.124
0.535,-0.009,0.540
-0.133,0.003,-0.148
0.486,-0.034,0.473
0.055,-0.022,0.028
0.510,-0.034,0.505
0.122,-0.040,0.121
0.262,-0.022,0.243
-0.302,0.027,-0.274
0.474,-0.034,0.469
-0.321,0.045,-0.319
0.559,-0.058,0.540
0.468,-0.052,0.476
-0.114,-0.003,-0.125
0.413,-0.040,0.400
0.438,-0.046,0.445
0.541,-0.034,0.528
-0.230,0.021,-0.219
-0.685,0.100,-0.640
-0.145,0.003,-0.173
0.316,-0.015,0.298
0.122,-0.022,0.099
0.365,-0.040,0.359
-0.624,0.082,-0.582
0.353,-0.040,0.374
-0.102,0.003,-0.090
0.444,-0.046,0.452
-0.260,0.021,-0.244
0.213,-0.046,0.188
-0.236,0.021,-0.224
0.407,-0.040,0.407
0.177,-0.015,0.174
-0.181,0.009,-0.202
0.068,0.003,0.043
-0.084,-0.003,-0.080
0.031,-0.022,0.035
-0.187,0.015,-0.194
0.407,-0.040,0.431
0.183,-0.009,0.181
-0.048,-0.009,-0.049
0.347,-0.040,0.335
0.462,-0.040,0.453
-0.169,0.009,-0.170
-0.023,-0.015,-0.048
-0.060,-0.022,-0.082
0.146,-0.034,0.147
-0.636,0.094,-0.599
-0.169,0.009,-0.195
0.498,-0.058,0.514
-0.169,0.015,-0.198
-0.090,0.003,-0.124
-0.078,-0.003,-0.091
0.529,-0.040,0.520
-0.224,0.009,-0.227
-0.551,0.088,-0.510
0.419,-0.034,0.436
0.334,-0.046,0.338
-0.187,0.015,-0.215
-0.672,0.112,-0.641
0.498,-0.022,0.493
-0.618,0.094,-0.551
-0.357,0.027,-0.354
0.401,-0.040,0.424
