x,y,t
0.846,0.230,0.159
-0.239,-0.107,-0.025
-0.123,-0.016,-0.020
-0.516,-0.194,-0.106
-0.337,-0.125,-0.047
0.283,0.035,0.081
0.804,0.200,0.119
-0.254,-0.074,-0.063
-0.230,-0.069,-0.045
-0.267,-0.086,-0.028
-0.038,0.010,-0.029
-0.033,-0.012,0.007
0.818,0.216,0.157
-0.040,-0.042,-0.023
-0.341,-0.109,-0.091
-0.058,0.002,-0.005
-0.105,-0.069,-0.024
-0.130,0.033,-0.008
0.326,0.047,0.092
0.053,0.021,0.017
-0.049,-0.027,-0.019
0.122,0.010,-0.011
-0.137,0.017,-0.045
0.563,0.109,0.129
-0.151,-0.095,-0.066
-0.179,-0.086,-0.024
-0.012,0.111,0.016
-0.142,0.003,-0.005
-0.045,0.019,0.011
0.088,0.088,0.037
0.044,0.003,-0.046
-0.021,-0.051,-0.043
-0.079,-0.025,-0.061
0.009,0.035,0.012
0.057,0.097,0.030
-0.376,-0.132,-0.064
-0.128,-0.037,0.001
-0.082,-0.039,0.006
0.004,0.039,0.041
0.218,0.024,0.068
0.090,0.031,-0.003
-0.216,-0.134,-0.019
-0.235,-0.141,-0.081
0.092,0.047,-0.004
0.835,0.258,0.177
-0.121,-0.007,-0.050
0.073,0.021,0.003
-0.086,-0.007,-0.073
0.900,0.153,0.183
-0.186,-0.074,-0.032
0.015,0.070,0.026
0.073,0.040,-0.014
0.076,0.072,0.029
0.090,0.077,0.037
-0.269,-0.106,-0.033
0.002,0.003,0.016
-0.035,-0.007,0.001
-0.100,-0.028,-0.021
-0.008,0.065,0.002
-0.061,-0.056,-0.036
0.090,-0.002,0.031
-0.093,-0.069,-0.027
-0.140,-0.039,-0.020
-0.544,-0.194,-0.117
-0.114,-0.078,-0.008
-0.065,-0.053,-0.005
-0.026,-0.037,-0.035
0.104,-0.012,-0.004
-0.103,-0.023,-0.052
0.015,0.053,0.035
0.018,0.035,-0.013
0.060,-0.016,0.037
0.123,0.010,0.017
-0.005,0.031,-0.012
-0.007,-0.007,0.010
-0.098,-0.048,0.007
0.060,0.042,0.041
0.197,0.028,0.068
-0.179,0.021,-0.033
-0.040,0.010,-0.021
-0.007,0.060,0.011
-0.075,-0.011,-0.010
-0.486,-0.169,-0.093
-0.253,-0.070,-0.081
0.092,0.026,0.040
-0.116,0.009,-0.000
0.032,-0.025,0.037
0.062,0.074,0.033
-0.068,-0.062,-0.044
-0.207,-0.158,-0.072
-0.130,-0.063,-0.003
0.074,0.031,0.015
0.099,0.054,0.018
-0.532,-0.186,-0.108
0.468,0.086,0.110
0.050,-0.004,0.036
-0.114,-0.042,-0.056
0.000,0.063,0.009
-0.119,-0.002,-0.017
-0.012,0.024,-0.004
0.380,0.040,0.096
-0.100,0.026,-0.021
0.109,0.016,-0.011
0.097,0.017,0.041
-0.015,-0.041,-0.003
0.484,0.089,0.116
-0.249,-0.069,-0.058
-0.010,-0.055,0.024
-0.133,-0.014,-0.029
-0.086,0.023,-0.022
-0.163,-0.044,-0.021
0.064,0.037,0.014
0.057,0.070,0.016
-0.089,0.003,-0.042
-0.131,0.016,-0.024
0.071,-0.016,0.041
0.074,0.053,0.035
-0.093,-0.009,-0.025
-0.021,-0.011,0.001
-0.205,-0.139,-0.055
-0.001,0.024,-0.014
0.000,0.095,0.035
-0.091,0.042,-0.005
0.691,0.132,0.152
-0.100,-0.076,-0.031
0.094,-0.002,0.038
-0.121,-0.016,-0.001
-0.103,-0.046,0.001
0.057,0.047,0.013
0.846,0.225,0.155
-0.003,0.054,0.005
-0.253,-0.030,-0.060
-0.028,-0.041,-0.008
-0.288,-0.137,-0.092
-0.165,0.026,-0.029
0.018,0.026,-0.038
0.190,0.028,0.065
-0.052,-0.060,-0.002
-0.008,-0.037,0.013
0.187,0.007,0.062
-0.022,-0.037,-0.011
-0.305,-0.123,-0.104
-0.202,-0.128,-0.017
0.037,0.079,0.024
0.108,0.010,0.003
0.058,0.014,-0.034
0.092,0.056,-0.004
-0.075,-0.011,0.011
-0.321,-0.056,-0.059
0.106,0.010,0.026
-0.003,-0.005,-0.020
-0.156,0.021,-0.033
-0.216,-0.083,-0.049
0.074,0.019,0.016
-0.137,-0.111,-0.037
-0.160,-0.032,-0.034
-0.226,-0.092,-0.088
0.526,0.091,0.123
-0.207,-0.085,-0.017
-0.015,0.030,-0.016
0.802,0.227,0.157
-0.112,-0.079,-0.075
-0.226,-0.083,-0.037
0.094,0.009,-0.015
0.076,-0.002,-0.006
-0.149,-0.044,-0.027
-0.149,-0.049,-0.035
-0.537,-0.202,-0.137
-0.028,-0.011,-0.029
-0.045,0.019,-0.045
-0.130,0.014,-0.002
-0.010,0.089,0.039
0.139,-0.012,0.053
0.018,0.060,-0.006
-0.184,0.012,-0.018
-0.047,0.030,0.010
-0.144,-0.025,-0.034
0.946,0.269,0.174
-0.305,-0.069,-0.087
-0.135,-0.056,-0.071
0.039,-0.028,0.034
-0.036,0.016,-0.007
-0.008,-0.039,0.024
-0.084,-0.063,-0.075
0.071,0.088,0.014
0.062,0.007,0.018
0.034,0.024,-0.006
0.839,0.220,0.134
-0.017,0.007,-0.040
0.922,0.265,0.177
-0.488,-0.181,-0.097
0.088,0.061,0.003
-0.103,-0.016,-0.030
-0.342,-0.209,-0.101
-0.207,-0.018,-0.051
0.164,0.021,0.059
0.060,0.017,0.017
0.000,0.067,-0.007
0.027,0.077,0.012
-0.265,-0.041,-0.080
-0.094,-0.051,0.012
-0.021,0.026,-0.046
-0.131,-0.113,-0.065
-0.012,0.003,0.041
-0.042,-0.012,-0.038
0.340,0.051,0.094
-0.158,-0.028,-0.058
0.037,0.019,0.003
-0.014,0.044,0.006
-0.066,-0.000,-0.023
0.018,0.028,0.012
-0.036,0.012,0.009
0.016,0.058,0.032
0.057,0.093,0.022
-0.539,-0.181,-0.112
-0.035,-0.014,-0.037
-0.044,-0.046,-0.036
-0.522,-0.174,-0.152
-0.225,-0.095,-0.023
-0.177,-0.011,-0.065
-0.121,-0.046,-0.059
0.015,0.053,-0.010
-0.210,-0.114,-0.025
0.111,-0.009,-0.002
-0.026,-0.004,-0.025
-0.121,0.023,-0.011
0.030,0.109,0.014
-0.253,-0.046,-0.072
0.039,0.005,0.012
0.811,0.227,0.141
0.123,0.002,-0.013
0.503,0.112,0.119
-0.161,0.019,-0.029
-0.587,-0.179,-0.157
-0.133,0.060,0.010
0.735,0.132,0.156
-0.207,-0.099,-0.074
-0.221,-0.049,-0.087
-0.056,-0.060,-0.027
-0.040,-0.019,-0.034
0.081,0.016,0.019
-0.110,0.039,0.004
0.900,0.167,0.187
0.071,0.067,0.040
0.025,0.060,-0.010
-0.103,0.010,-0.038
0.016,0.026,-0.014
-0.010,0.039,-0.016
0.020,0.051,-0.016
-0.152,-0.019,-0.039
-0.042,-0.032,0.005
0.037,0.021,0.032
-0.151,0.060,0.001
-0.471,-0.151,-0.091
-0.226,-0.055,-0.075
0.519,0.088,0.125
0.041,0.056,-0.017
-0.145,-0.035,-0.045
0.027,0.065,0.004
0.034,0.030,0.002
-0.488,-0.164,-0.096
-0.522,-0.176,-0.123
-0.100,0.047,0.011
0.514,0.075,0.119
-0.126,-0.125,-0.030
-0.102,-0.053,0.008
-0.370,-0.143,-0.062
-0.005,0.031,0.003
-0.098,0.024,-0.039
-0.305,-0.051,-0.081
0.055,-0.004,-0.026
-0.112,-0.042,-0.049
0.930,0.256,0.188
-0.112,-0.060,0.011
0.472,0.091,0.113
0.486,0.107,0.117
0.062,-0.011,0.041
-0.028,-0.009,-0.003
-0.488,-0.172,-0.099
-0.022,0.016,-0.012
-0.175,-0.063,-0.057
0.357,0.061,0.095
-0.119,-0.023,-0.031
0.746,0.239,0.146
-0.084,0.023,0.008
-0.073,-0.032,-0.057
-0.117,0.021,-0.028
-0.154,-0.065,-0.073
-0.015,-0.037,0.020
-0.031,-0.002,-0.040
0.032,0.024,0.034
-0.147,-0.037,-0.009
0.116,-0.012,0.017
-0.386,-0.144,-0.062
-0.100,-0.037,-0.019
-0.131,-0.041,-0.009
-0.453,-0.157,-0.109
-0.044,0.040,-0.002
-0.068,0.040,-0.016
-0.015,0.003,-0.003
-0.344,-0.118,-0.054
-0.063,-0.030,-0.041
0.007,-0.019,0.031
-0.007,-0.044,0.007
-0.103,-0.014,-0.013
0.097,0.030,-0.014
0.157,0.031,0.058
0.937,0.264,0.173
0.004,0.040,0.019
-0.042,-0.016,0.003
0.055,0.081,0.019
0.037,0.007,0.035
-0.270,-0.092,-0.095
0.027,0.007,0.033
0.057,0.024,0.028
-0.240,-0.004,-0.043
-0.165,-0.007,-0.074
-0.121,-0.034,-0.075
-0.149,-0.041,-0.054
0.189,0.014,0.067
0.094,0.033,0.031
-0.112,-0.042,0.004
0.122,0.014,0.030
-0.233,-0.079,-0.051
-0.038,0.051,-0.016
-0.133,-0.041,-0.015
0.018,-0.035,0.030
-0.056,0.024,-0.041
-0.068,-0.034,-0.023
0.289,0.040,0.080
0.088,0.021,0.038
-0.198,-0.014,-0.072
0.080,0.007,0.021
-0.024,-0.014,-0.024
-0.256,-0.093,-0.029
-0.506,-0.179,-0.105
-0.105,-0.011,-0.061
-0.149,-0.093,0.005
-0.242,-0.074,-0.028
-0.015,-0.005,0.036
-0.276,-0.121,-0.036
-0.448,-0.169,-0.085
-0.203,-0.035,-0.026
-0.210,-0.104,-0.058
-0.244,-0.128,-0.023
0.078,0.046,0.032
-0.094,0.047,-0.008
-0.156,-0.028,-0.038
0.032,0.049,0.028
-0.274,-0.093,-0.035
-0.031,0.030,0.003
-0.218,-0.090,-0.018
-0.075,-0.076,-0.062
0.065,0.107,0.035
0.839,0.228,0.144
0.087,-0.002,0.016
-0.388,-0.150,-0.066
0.099,0.014,0.029
-0.014,0.007,0.008
0.783,0.214,0.129
0.057,-0.005,0.039
-0.506,-0.204,-0.118
0.740,0.128,0.158
-0.219,-0.060,-0.034
0.308,0.044,0.089
0.027,0.098,0.032
0.064,0.044,0.015
0.097,0.007,0.039
-0.008,-0.034,0.029
-0.209,-0.081,-0.063
-0.151,0.026,-0.029
-0.017,0.017,0.016
0.071,0.012,-0.009
-0.230,-0.018,-0.075
0.878,0.167,0.179
0.102,0.003,0.012
-0.072,0.017,-0.008
-0.010,0.026,-0.030
0.348,0.054,0.090
-0.010,0.033,0.021
-0.056,-0.012,0.006
-0.209,-0.083,-0.023
-0.205,0.024,-0.025
0.094,0.065,0.017
-0.014,0.100,0.014
-0.015,-0.051,-0.027
0.007,-0.002,0.036
-0.051,-0.046,-0.005
-0.017,-0.016,0.034
-0.103,-0.085,-0.056
-0.033,0.009,-0.019
-0.152,-0.056,-0.051
-0.295,-0.039,-0.091
0.034,0.105,0.029
-0.014,-0.042,-0.022
0.071,0.042,0.035
0.071,0.033,0.006
0.106,-0.007,0.041
0.097,0.033,0.040
-0.457,-0.155,-0.088
0.080,0.082,0.020
0.004,0.068,-0.015
-0.112,-0.074,0.004
-0.212,-0.041,-0.021
-0.196,-0.151,-0.051
-0.061,0.014,-0.013
0.797,0.211,0.146
0.922,0.269,0.185
-0.080,-0.030,-0.001
0.062,0.012,0.027
-0.131,0.014,-0.017
0.514,0.088,0.120
-0.156,-0.027,-0.024
-0.038,-0.021,0.004
-0.130,-0.053,-0.026
-0.012,-0.012,-0.010
0.080,0.042,-0.001
0.849,0.223,0.143
-0.316,-0.120,-0.048
-0.516,-0.201,-0.154
-0.112,-0.027,-0.006
0.057,0.079,0.029
-0.142,-0.041,-0.058
-0.035,0.021,0.008
-0.017,-0.025,0.030
0.007,0.035,0.003
-0.084,0.058,0.009
-0.068,0.035,-0.005
0.015,0.030,-0.003
0.015,0.044,-0.015
-0.221,-0.130,-0.024
-0.221,-0.053,-0.028
-0.096,-0.007,-0.050
-0.167,-0.035,-0.043
0.064,0.046,0.026
-0.260,-0.095,-0.082
0.006,0.044,0.012
-0.091,-0.056,-0.034
0.162,0.014,0.060
-0.045,-0.030,-0.001
-0.073,0.002,-0.032
-0.059,0.005,-0.000
-0.103,-0.035,-0.048
-0.293,-0.058,-0.087
-0.068,0.014,-0.035
-0.042,0.047,0.002
0.041,-0.002,0.027
-0.448,-0.164,-0.081
-0.544,-0.178,-0.115
0.085,0.003,0.018
0.074,0.026,0.039
0.011,0.044,0.006
-0.221,-0.076,-0.084
-0.226,-0.127,-0.071
-0.084,-0.011,-0.062
0.791,0.227,0.137
