x,y,t
0.084,0.051,0.415
0.015,-0.018,-0.462
-0.034,0.002,0.106
-0.005,-0.018,-0.338
0.103,0.041,0.416
0.084,0.051,0.740
-0.005,-0.008,-0.343
-0.044,-0.018,-0.053
-0.102,-0.086,-0.663
0.025,-0.008,-0.133
0.093,0.090,0.883
0.142,0.070,0.804
-0.102,-0.077,-0.642
0.044,0.051,0.540
0.113,0.080,0.755
0.074,0.099,0.972
0.054,0.080,0.753
0.103,0.080,0.800
0.093,0.051,0.619
-0.093,-0.057,-0.614
0.035,-0.018,-0.239
0.123,0.041,0.582
0.084,0.051,0.523
-0.093,-0.047,-0.561
-0.122,-0.106,-0.764
-0.122,-0.126,-0.861
0.035,0.002,-0.136
-0.122,-0.106,-0.753
-0.053,-0.008,-0.024
-0.005,0.021,0.162
-0.053,-0.037,-0.775
0.035,0.002,-0.141
0.074,0.060,0.527
0.103,0.051,0.525
0.005,0.021,0.256
-0.014,0.002,0.084
0.025,0.051,0.521
-0.005,0.021,0.192
-0.122,-0.116,-0.960
-0.093,-0.067,-0.659
-0.024,-0.028,-0.452
0.113,0.051,0.468
0.084,0.060,0.427
-0.063,-0.057,-0.881
0.132,0.099,0.978
-0.034,-0.018,-0.136
0.025,0.051,0.427
0.064,0.031,0.203
0.103,0.070,0.742
-0.044,-0.028,-0.227
-0.053,-0.018,-0.124
0.064,0.021,0.192
-0.063,-0.057,-0.353
-0.112,-0.096,-0.869
0.044,0.011,0.341
-0.044,-0.028,-0.237
-0.093,-0.047,-0.352
-0.073,-0.077,-0.621
-0.093,-0.047,-0.446
0.093,0.070,0.685
-0.102,-0.067,-0.561
0.142,0.090,0.973
0.025,-0.008,-0.176
-0.053,-0.028,-0.114
0.113,0.109,0.936
-0.073,-0.086,-0.893
0.103,0.070,0.635
0.113,0.099,0.943
0.015,-0.018,-0.361
0.025,0.021,0.442
0.025,0.002,-0.131
-0.063,-0.047,-0.331
0.044,0.051,0.540
-0.112,-0.077,-0.842
-0.073,-0.067,-0.661
0.025,-0.008,-0.029
-0.073,-0.037,-0.351
-0.102,-0.067,-0.665
-0.044,-0.037,-0.375
-0.093,-0.067,-0.562
0.015,-0.008,-0.244
0.025,0.031,0.417
-0.112,-0.106,-0.964
0.064,0.031,0.518
0.123,0.060,0.750
-0.053,-0.047,-0.780
0.054,0.080,0.574
-0.034,-0.047,-0.665
0.113,0.041,0.592
-0.005,-0.018,-0.349
0.015,0.031,0.311
0.084,0.070,0.550
-0.005,-0.028,-0.570
0.035,0.051,0.537
0.064,0.021,0.478
-0.102,-0.067,-0.559
0.035,-0.008,-0.239
-0.024,-0.057,-0.495
0.015,-0.018,-0.230
-0.112,-0.096,-0.869
0.005,0.021,-0.022
0.074,0.099,0.776
-0.014,-0.018,-0.460
0.025,0.041,0.424
-0.083,-0.047,-0.740
0.084,0.060,0.547
-0.083,-0.057,-0.392
0.103,0.060,0.625
0.113,0.051,0.645
-0.083,-0.057,-0.565
0.054,0.011,-0.021
0.005,0.021,0.219
-0.034,0.011,0.083
0.054,0.021,0.442
0.015,-0.028,-0.461
-0.005,0.031,0.428
0.113,0.070,0.641
0.123,0.080,0.754
0.113,0.060,0.633
-0.093,-0.057,-0.564
0.132,0.070,0.768
-0.093,-0.096,-0.872
-0.024,0.002,0.098
0.142,0.090,0.869
-0.044,-0.047,-0.765
0.093,0.070,0.653
0.005,-0.008,-0.250
0.035,0.051,0.534
-0.063,-0.047,-0.346
0.123,0.051,0.647
-0.034,0.011,-0.168
-0.014,-0.018,0.236
-0.063,-0.008,-0.121
0.142,0.080,0.984
0.084,0.080,0.887
0.064,0.021,0.478
0.084,0.090,0.969
0.025,-0.008,-0.351
-0.024,-0.037,-0.295
0.064,0.031,0.299
-0.083,-0.067,-0.560
0.044,0.080,0.759
0.035,0.021,0.081
0.103,0.051,0.891
-0.083,-0.067,-0.661
