x,y,t
0.206,-0.185,0.612
0.005,0.025,-0.243
0.072,0.025,-0.056
0.164,-0.211,0.732
0.021,-0.034,0.023
-0.012,0.058,-0.187
0.038,-0.152,0.479
0.156,-0.110,0.287
-0.155,0.209,-0.769
-0.004,0.016,-0.254
0.047,0.083,-0.285
0.105,-0.101,0.243
0.055,-0.076,0.539
0.005,-0.127,0.351
0.089,-0.185,0.691
0.097,-0.051,0.250
-0.147,0.134,-0.735
0.131,-0.152,0.394
-0.004,0.058,-0.185
0.105,0.016,-0.062
-0.021,0.033,0.164
-0.029,0.050,-0.329
-0.054,0.100,-0.457
-0.063,0.142,-0.479
-0.079,-0.017,-0.189
0.080,-0.093,0.116
0.072,-0.059,0.056
0.021,-0.034,0.374
0.021,0.041,-0.077
0.063,-0.068,0.308
0.038,-0.043,-0.065
0.223,-0.177,0.607
0.005,0.083,-0.296
-0.105,0.151,-0.619
-0.298,0.151,-0.871
-0.130,0.184,-0.488
0.080,-0.068,0.118
0.005,0.033,-0.242
0.156,-0.169,0.721
0.047,0.067,-0.172
0.080,-0.059,0.162
0.013,0.008,-0.157
0.021,0.016,0.076
-0.063,0.134,-0.633
0.114,-0.127,0.534
0.047,0.025,-0.084
-0.054,0.117,-0.444
-0.180,0.159,-0.847
-0.012,0.050,-0.271
-0.021,-0.085,0.327
-0.037,0.050,0.185
0.038,-0.143,0.464
-0.147,0.184,-0.788
0.038,-0.076,0.511
-0.155,0.184,-0.780
-0.239,0.218,-0.769
0.005,0.041,-0.226
-0.004,-0.152,0.462
0.030,-0.169,0.472
-0.079,0.109,-0.545
-0.147,0.033,-0.308
0.156,-0.177,0.618
0.038,-0.076,0.511
0.021,0.092,-0.276
0.097,-0.051,0.250
0.139,-0.185,0.699
0.005,-0.009,0.285
0.038,-0.076,0.551
0.030,-0.043,-0.093
-0.105,0.176,-0.586
-0.071,0.092,-0.024
-0.138,0.142,-0.748
-0.079,0.100,-0.370
-0.247,0.243,-0.895
-0.147,0.159,-0.758
0.005,0.033,0.265
-0.021,-0.026,0.154
-0.281,0.176,-0.832
0.013,0.008,0.144
-0.172,0.151,-0.493
-0.180,0.184,-0.687
-0.004,0.033,0.354
0.063,-0.034,0.347
-0.046,0.058,-0.390
0.147,-0.169,0.727
-0.264,0.218,-0.819
0.080,-0.101,0.174
0.063,-0.085,0.541
0.013,0.008,0.144
0.038,-0.026,0.199
0.105,-0.118,0.495
0.164,-0.194,0.643
0.181,-0.127,0.385
0.021,-0.001,0.196
0.131,-0.177,0.519
-0.281,0.235,-0.895
-0.147,0.193,-0.459
0.089,-0.093,0.200
0.156,-0.194,0.620
0.055,-0.034,0.065
0.089,-0.093,0.468
-0.063,0.041,0.102
-0.256,0.235,-0.761
-0.046,0.142,-0.496
-0.155,0.134,-0.552
-0.004,0.041,-0.239
0.013,0.025,0.037
0.013,0.058,-0.187
-0.121,0.075,-0.254
-0.071,0.117,0.101
0.047,-0.152,0.483
0.122,0.025,0.070
-0.012,0.033,-0.240
0.030,0.067,-0.176
-0.239,0.260,-0.773
-0.172,0.193,-0.687
0.097,-0.093,0.178
0.147,-0.152,0.634
0.063,-0.169,0.590
0.038,0.033,-0.070
0.089,-0.118,0.617
0.055,-0.085,0.256
-0.079,0.050,-0.306
0.089,-0.068,0.386
-0.273,0.268,-0.820
-0.138,0.167,-0.574
0.072,0.008,-0.061
0.072,-0.034,0.061
0.173,-0.194,0.643
0.080,-0.026,0.122
