x,y,t
0.245,-0.355,-0.521
-0.036,0.072,0.116
-0.127,0.212,0.312
-0.092,0.121,0.150
0.252,-0.348,-0.522
0.147,-0.215,-0.334
-0.211,0.303,0.601
0.126,-0.166,-0.301
0.091,-0.180,-0.288
0.027,-0.075,-0.146
-0.155,0.240,0.385
-0.134,0.191,0.269
0.034,-0.068,-0.110
0.175,-0.250,-0.357
0.161,-0.229,-0.377
-0.253,0.429,0.692
0.217,-0.320,-0.462
-0.274,0.450,0.737
0.041,-0.110,-0.185
-0.106,0.177,0.274
-0.092,0.142,0.211
0.196,-0.278,-0.454
0.196,-0.229,-0.402
0.013,-0.026,-0.056
-0.036,0.058,0.042
0.027,-0.082,-0.151
-0.085,0.121,0.188
-0.141,0.205,0.327
0.161,-0.236,-0.355
-0.155,0.212,0.314
-0.169,0.282,0.403
-0.141,0.233,0.382
0.196,-0.292,-0.430
-0.008,-0.005,0.004
0.238,-0.334,-0.493
0.084,-0.145,-0.260
0.105,-0.166,-0.294
0.154,-0.278,-0.414
-0.029,0.016,-0.013
-0.155,0.233,0.348
0.070,-0.124,-0.211
0.210,-0.313,-0.441
0.098,-0.152,-0.260
-0.169,0.324,0.506
0.056,-0.117,-0.207
-0.113,0.156,0.221
0.034,-0.054,-0.117
-0.022,0.037,0.008
0.006,0.002,-0.043
-0.001,-0.019,-0.031
-0.169,0.261,0.382
-0.050,0.065,0.067
0.147,-0.243,-0.343
-0.064,0.058,0.066
0.006,-0.012,-0.027
-0.183,0.310,0.502
0.224,-0.320,-0.504
-0.162,0.254,0.434
-0.190,0.310,0.500
-0.169,0.338,0.505
0.196,-0.299,-0.474
-0.162,0.240,0.353
0.224,-0.327,-0.504
0.020,-0.068,-0.074
0.070,-0.103,-0.205
0.098,-0.173,-0.277
-0.190,0.303,0.503
0.041,-0.075,-0.150
-0.106,0.177,0.232
0.133,-0.201,-0.347
0.210,-0.306,-0.444
-0.218,0.359,0.570
0.231,-0.327,-0.494
-0.029,0.023,0.031
-0.162,0.240,0.395
-0.092,0.107,0.197
0.231,-0.355,-0.539
-0.176,0.324,0.504
0.048,-0.096,-0.153
-0.162,0.331,0.506
0.154,-0.243,-0.351
-0.120,0.205,0.323
-0.001,0.009,-0.035
-0.120,0.156,0.286
0.112,-0.187,-0.317
0.252,-0.369,-0.533
0.154,-0.166,-0.292
-0.274,0.464,0.802
-0.050,0.044,0.104
-0.071,0.079,0.131
0.077,-0.159,-0.258
-0.085,0.149,0.228
0.140,-0.222,-0.318
-0.029,0.016,-0.013
0.105,-0.201,-0.316
0.161,-0.229,-0.377
0.231,-0.334,-0.513
-0.197,0.317,0.554
0.105,-0.173,-0.294
0.161,-0.236,-0.355
0.161,-0.250,-0.353
-0.085,0.121,0.145
-0.106,0.177,0.246
-0.190,0.303,0.449
0.196,-0.313,-0.432
-0.197,0.331,0.526
-0.169,0.338,0.505
0.189,-0.341,-0.492
0.084,-0.124,-0.234
-0.190,0.310,0.489
0.119,-0.201,-0.337
0.238,-0.369,-0.555
0.119,-0.180,-0.274
-0.176,0.282,0.463
-0.183,0.338,0.511
