x,y,t,p
0,194,0,0
0,193,41,0
1,193,324,0
0,194,491,0
0,195,531,0
1,194,555,0
1,193,639,0
2,193,717,0
1,194,951,0
0,194,957,1
1,195,996,0
2,194,1035,0
3,193,1042,0
3,192,1065,0
0,194,1231,1
4,192,1314,0
1,193,1317,1
1,194,1389,1
0,193,1428,1
4,193,1463,0
3,194,1470,0
0,195,1598,1
5,192,1689,0
2,194,1884,1
5,191,1887,0
2,193,1910,1
6,192,1973,0
4,191,1999,0
5,193,2099,0
6,191,2108,0
1,194,2113,1
3,192,2196,1
7,191,2292,0
3,193,2322,1
3,194,2429,1
7,192,2430,0
6,193,2468,0
8,191,2616,0
7,191,2635,0
4,192,2686,1
4,193,2723,1
5,192,2764,1
5,193,2797,1
9,191,2832,0
6,191,2866,1
7,191,2938,1
8,192,3011,0
1,193,3045,1
9,190,3075,0
6,193,3160,1
10,191,3246,0
6,192,3254,1
7,191,3303,1
5,191,3311,1
9,192,3324,0
10,190,3415,0
7,192,3549,1
8,191,3553,1
11,190,3626,0
8,192,3703,1
11,191,3838,0
10,192,3861,0
8,192,3896,1
12,190,3949,0
12,189,4020,0
9,190,4083,1
10,190,4158,1
9,191,4180,1
9,192,4311,1
13,189,4342,0
13,190,4366,0
12,191,4442,0
10,192,4541,1
16,189,5304,0
16,188,5338,0
17,188,5561,0
16,190,5772,0
17,189,5814,0
18,188,5906,0
18,187,6161,0
17,187,6180,0
18,189,6188,0
17,190,6198,0
16,188,6229,1
19,188,6240,0
19,187,6267,0
16,189,6420,1
20,188,6484,0
20,187,6528,0
19,189,6550,0
16,190,6568,1
17,188,6642,1
21,187,6790,0
17,189,6855,1
20,188,6954,0
18,188,7037,1
18,187,7049,1
21,188,7123,0
22,187,7168,0
20,189,7192,0
18,189,7238,1
22,186,7311,0
21,186,7320,0
19,187,7339,1
23,187,7515,0
20,188,7532,1
23,186,7548,0
19,188,7551,1
20,187,7565,1
22,188,7569,0
17,187,7689,1
20,189,7799,1
24,186,7852,0
21,186,7992,1
23,188,8030,0
21,187,8045,1
25,186,8121,0
24,187,8162,0
22,186,8189,1
21,188,8311,1
22,187,8336,1
22,188,8395,1
25,185,8437,0
26,185,8510,0
26,186,8524,0
25,186,8541,0
25,187,8605,0
20,188,8632,1
27,185,8825,0
23,186,8829,1
24,186,8920,1
23,188,8937,1
23,187,8954,1
26,187,9036,0
26,186,9065,0
25,186,9108,1
28,185,9112,0
27,186,9161,0
24,187,9179,1
28,184,9211,0
25,187,9315,1
25,185,9399,1
26,186,9495,1
28,186,9499,0
29,184,9504,0
29,185,9527,0
25,186,9723,1
26,185,9781,1
30,184,9782,0
27,185,9884,1
27,186,9984,1
26,187,10013,1
30,185,10021,0
29,186,10078,0
31,184,10134,0
30,183,10243,0
31,183,10261,0
28,186,10325,1
28,185,10366,1
29,184,10393,1
32,184,10402,0
32,183,10522,0
29,186,10532,1
31,185,10549,0
28,184,10559,1
30,183,10650,1
30,183,10650,1
33,183,10677,0
29,185,10836,1
34,183,10924,0
30,184,10950,1
33,184,10991,0
32,185,11020,0
31,183,11113,1
31,184,11150,1
