x,y,t,p
1278,60,0,0
1278,59,219,0
1277,60,219,0
1277,60,219,0
1277,59,423,0
1278,58,528,0
1276,59,529,0
1276,60,568,0
1277,58,680,0
1276,58,890,0
1277,60,901,0
1278,59,995,0
1275,60,1152,0
1277,59,1173,0
1277,57,1182,0
1276,59,1260,0
1275,59,1313,0
1277,60,1579,1
1278,59,1586,1
1275,58,1702,0
1278,60,1762,1
1274,58,1801,0
1277,59,1931,1
1278,58,1946,1
1273,59,1974,0
1272,59,2036,0
1271,58,2039,0
1278,59,2084,1
1272,58,2162,0
1273,58,2186,0
1273,57,2196,0
1276,59,2235,1
1271,57,2380,0
1272,57,2416,0
1274,57,2434,0
1277,59,2544,1
1277,58,2599,1
1271,59,2630,0
1276,58,2908,1
1270,59,2952,0
1270,58,2992,0
1271,58,3010,0
1275,58,3091,1
1275,59,3108,1
1276,60,3114,1
1270,60,3174,0
1276,59,3288,1
1274,57,3291,1
1270,57,3368,0
1269,58,3392,0
1275,60,3430,1
1270,56,3441,0
1273,59,3446,1
1269,59,3535,0
1273,58,3536,1
1273,57,3563,1
1268,58,3574,0
1269,57,3643,0
1268,57,3663,0
1269,56,3665,0
1267,55,3812,0
1267,57,3836,0
1267,58,3872,0
1267,56,3883,0
1268,56,3888,0
1265,55,3905,0
1271,59,3982,1
1265,54,4065,0
1272,58,4102,1
1266,57,4106,0
1266,58,4175,0
1266,56,4188,0
1271,58,4229,1
1267,59,4240,0
1265,57,4299,0
1265,58,4355,0
1265,58,4355,0
1272,57,4360,1
1267,56,4410,0
1267,57,4428,0
1265,56,4440,0
1264,58,4526,0
1268,57,4547,0
1266,57,4559,0
1264,57,4578,0
1266,55,4585,0
1270,59,4723,1
1265,57,4730,0
1263,58,4780,0
1266,56,4791,0
1269,59,4798,1
1264,56,4875,0
1265,56,4910,0
1270,57,4993,1
1263,57,5051,0
1263,56,5065,0
1264,57,5130,0
1264,55,5202,0
1268,57,5247,1
1262,57,5410,0
1267,57,5532,1
1262,58,5572,0
1263,55,5575,0
1270,58,5606,1
1269,58,5617,1
1264,56,5621,0
1262,56,5646,0
1267,58,5751,1
1263,56,5757,0
1269,57,5770,1
1267,57,5823,1
1262,55,5830,0
1266,54,5841,0
1267,56,5857,1
1266,57,5879,1
1266,56,5894,1
1261,56,5977,0
1266,58,5995,1
1264,54,6019,0
1261,57,6056,0
1262,57,6118,0
1263,54,6125,0
1265,56,6143,1
1265,57,6155,1
1266,57,6187,1
1264,57,6229,1
1261,55,6286,0
1264,56,6308,1
1266,56,6349,1
1264,54,6382,1
1260,56,6403,0
1268,57,6417,1
1260,55,6516,0
1259,56,6602,0
1260,54,6613,0
1260,57,6614,0
1264,57,6688,1
1265,56,6711,1
1266,54,6738,1
1259,55,6740,0
1263,60,6759,1
1264,56,6764,1
1262,58,6766,1
1259,57,6769,0
1263,56,6795,1
1261,54,6799,0
1258,56,6802,0
1263,54,6847,1
1263,57,6871,1
1262,57,6922,1
1258,55,7139,0
1258,55,7139,0
1265,57,7240,1
1257,55,7313,0
1257,56,7346,0
1258,57,7369,0
1258,56,7394,0
1257,57,7410,0
1262,55,7626,1
1262,56,7687,1
1263,56,7707,1
1260,57,7715,1
1256,56,7734,0
1258,54,7749,0
1256,55,7754,0
1261,57,7845,1
1255,56,7852,0
1257,54,7873,0
1263,55,7897,1
1255,54,7925,0
1257,55,7930,0
1256,54,8020,0
1255,55,8030,0
1256,57,8048,0
1256,58,8129,0
1254,55,8160,0
1260,56,8191,1
1261,55,8228,1
1254,56,8238,0
1255,57,8241,0
1255,58,8243,0
1254,54,8317,0
1261,56,8354,1
1259,56,8448,1
1260,55,8472,1
1258,56,8522,1
1258,57,8531,1
1254,57,8614,0
1253,55,8669,0
1259,55,8709,1
1264,58,8716,1
1265,58,8716,1
1256,57,8812,1
1257,56,8910,1
1258,54,8923,1
1254,55,8977,0
1253,54,9026,0
1257,55,9038,1
1258,55,9089,1
1259,57,9124,1
1252,54,9205,0
1251,54,9270,0
1252,55,9290,0
1252,53,9319,0
1256,56,9389,1
1256,56,9389,1
1250,54,9414,0
1251,53,9479,0
1251,55,9485,0
1250,53,9726,0
1249,54,9765,0
1250,55,9793,0
1255,55,9793,1
1256,54,9799,1
1254,55,9808,1
1251,54,9916,0
1251,52,9959,0
1249,53,10002,0
1250,54,10003,0
1257,54,10027,1
1249,55,10051,0
1255,58,10096,1
1248,53,10241,0
1257,57,10304,1
1250,53,10369,0
1255,56,10375,1
1248,54,10394,0
1254,56,10424,1
1249,54,10444,0
1250,52,10482,0
1249,52,10527,0
1249,53,10584,0
1254,55,10614,1
1247,53,10624,0
1248,52,10636,0
1248,55,10686,0
1252,55,10709,1
1247,54,10711,0
1248,53,10767,0
1253,54,10771,1
1252,53,10851,1
1253,55,10864,1
1251,54,10869,1
1247,52,10889,0
1270,56,10910,1
1251,55,10964,1
1267,57,11039,1
1250,55,11101,1
1250,53,11105,1
1250,54,11131,1
1246,54,11135,0
1250,52,11237,1
