x,y,t,p
0,603,0,0
1,601,274,0
0,602,484,0
2,602,717,0
2,601,750,0
1,602,770,0
1,603,815,0
0,603,1166,0
2,603,1386,0
0,604,1680,0
1,602,1821,0
1,604,1838,0
1,603,1882,0
3,601,2019,0
3,603,2145,0
2,602,2298,0
3,602,2322,0
2,604,2354,0
0,596,2415,0
0,597,2440,0
1,597,2571,0
2,603,2587,0
1,598,2779,0
3,604,2804,0
2,600,2882,0
0,603,2899,0
0,602,3105,0
1,604,3141,0
0,604,3164,0
0,603,3249,0
4,603,3277,0
1,603,3291,0
2,604,3367,0
1,605,3370,0
3,603,3420,0
0,597,3435,1
2,605,3448,0
3,600,3457,0
0,598,3632,1
2,603,3670,0
0,605,3681,0
0,604,3950,0
1,604,3970,0
3,604,4034,0
4,604,4091,0
3,605,4155,0
4,602,4211,0
2,604,4308,0
1,605,4475,0
2,605,4481,0
0,604,4575,0
0,605,4604,0
0,606,4625,0
1,604,4844,0
4,605,4901,0
1,606,4958,0
0,600,4962,1
0,599,5018,1
5,604,5136,0
2,606,5254,0
1,597,5256,1
5,605,5277,0
1,605,5292,0
2,605,5304,0
3,604,5306,0
2,604,5384,0
3,605,5437,0
3,606,5466,0
0,602,5624,1
5,606,5732,0
4,606,5795,0
4,604,5824,0
0,605,5834,0
1,607,5869,0
0,607,6004,0
2,605,6035,0
4,605,6038,0
0,606,6075,0
1,605,6102,0
1,606,6151,0
6,605,6249,0
2,606,6311,0
1,600,6379,1
3,607,6406,0
0,600,6474,1
0,601,6493,1
5,605,6584,0
3,605,6634,0
0,603,6665,1
0,602,6693,1
2,607,6697,0
3,606,6722,0
6,606,6748,0
0,604,6866,1
1,607,6872,0
5,606,6899,0
4,606,6918,0
5,607,6996,0
1,606,7020,0
2,606,7020,0
0,607,7032,0
4,607,7054,0
0,608,7084,0
1,604,7190,1
1,607,7270,0
1,605,7329,1
1,608,7354,0
2,608,7417,0
0,605,7456,1
3,607,7511,0
0,601,7668,1
2,604,7689,1
5,603,7728,0
6,607,7792,0
0,602,7870,1
1,601,7886,1
2,605,7996,1
1,602,8046,1
4,599,8271,0
4,600,8318,0
2,607,8393,0
1,603,8422,1
3,608,8452,0
7,606,8463,0
4,601,8465,0
5,608,8478,0
5,606,8545,0
6,606,8671,0
4,605,8679,0
5,607,8689,0
4,608,8712,0
3,606,8712,0
4,607,8715,0
4,606,8719,0
0,603,8760,1
7,607,8767,0
0,604,8974,1
6,608,9073,0
4,600,9199,1
3,607,9374,0
2,602,9380,1
2,603,9416,1
7,608,9490,0
2,608,9502,0
6,607,9528,0
2,601,9546,1
0,605,9590,1
3,609,9592,0
0,602,9598,1
1,603,9612,1
1,602,9671,1
5,608,9679,0
3,608,9722,0
5,607,9722,0
1,604,9780,1
4,609,9830,0
4,607,9881,0
2,609,9909,0
1,609,10035,0
8,607,10062,0
2,600,10063,1
5,609,10074,0
4,608,10094,0
6,609,10203,0
6,608,10382,0
3,603,10386,1
0,608,10393,0
0,609,10477,0
3,604,10654,1
5,608,10720,0
1,604,10801,1
8,608,10812,0
7,608,10831,0
2,603,10833,1
1,608,10868,0
2,604,10965,1
3,609,10966,0
7,609,10987,0
4,609,11028,0
4,610,11075,0
1,605,11099,1
0,604,11132,1
3,605,11137,1
0,603,11166,1
8,609,11258,0
4,608,11267,0
