x,y,t,p
0,43,0,0
0,44,791,0
1,45,1697,0
1,44,2818,0
1,45,3675,0
2,45,5459,0
0,42,5823,1
1,44,5913,0
2,46,6354,0
2,44,7316,0
1,45,8146,0
2,46,8597,0
0,44,8756,1
2,45,8922,0
2,47,9000,0
1,42,9083,1
3,46,9288,0
2,43,9397,1
0,43,10430,1
0,44,10498,1
1,43,10857,1
2,43,10929,1
3,46,11126,0
1,45,11660,1
3,45,11812,0
3,47,11812,0
2,45,12332,0
0,42,12510,0
1,44,12861,1
0,45,12959,1
1,42,13476,0
1,45,13830,1
1,44,14722,1
3,46,14741,0
4,47,14875,0
2,44,15289,1
0,44,15591,1
1,43,15662,0
2,45,15959,1
4,46,16505,0
4,48,16804,0
4,47,16893,0
2,46,16924,1
3,44,17335,1
2,45,17512,1
2,43,17648,0
5,47,18199,0
4,46,18329,0
4,47,18609,0
2,46,18695,1
5,48,18833,0
2,45,19217,1
1,45,19408,1
2,47,19945,1
1,41,20811,0
5,46,20898,0
3,46,20958,1
5,48,21146,0
5,47,21629,0
3,45,21762,1
3,47,21969,1
5,49,22038,0
6,48,22081,0
3,46,23249,1
6,49,23402,0
6,47,23826,0
4,47,23994,1
6,48,24202,0
4,46,25085,1
5,45,25113,1
5,47,25187,0
7,48,25446,0
4,47,25478,1
6,47,25795,0
2,41,26136,0
7,49,26406,0
4,46,26632,1
4,48,27113,1
5,47,27354,1
4,47,27823,1
5,48,27836,1
7,47,27967,0
7,48,28214,0
3,44,28260,0
5,47,28325,1
7,49,28335,0
5,47,29238,1
8,49,29377,0
7,50,29409,0
6,45,29679,1
5,48,29904,1
5,46,30233,1
7,48,30264,0
5,47,30506,1
6,46,30675,1
8,49,31063,0
8,48,31281,0
8,50,31296,0
7,46,31523,1
6,46,32224,1
6,47,32339,1
6,48,32347,1
9,49,32718,0
7,46,33576,1
8,48,33596,0
9,50,33797,0
6,47,33848,1
6,48,33931,1
6,49,33963,1
8,49,34568,0
6,46,34817,0
6,45,34846,0
7,49,34846,1
5,45,35460,0
7,48,35471,1
9,49,35709,0
9,50,35857,0
9,48,35906,0
8,46,36018,1
7,50,36368,1
7,48,36579,1
10,50,36757,0
7,49,36777,1
7,47,37893,1
9,49,37965,0
7,48,37990,1
8,47,38128,1
7,46,38261,0
8,49,38272,1
8,50,38468,1
10,49,38637,0
10,51,38851,0
10,50,38977,0
9,47,39248,1
8,49,39493,1
7,49,39558,1
8,48,39564,1
7,48,39636,1
8,47,39949,1
9,47,40304,1
11,50,40372,0
8,48,40474,1
8,48,41150,1
11,51,41196,0
9,47,41686,1
10,49,41713,0
9,48,41909,1
8,47,42167,0
9,50,42420,1
7,48,42503,0
8,48,42531,0
8,46,42674,0
8,47,42954,0
9,49,43041,1
11,49,43324,0
11,51,43484,0
11,50,43916,0
9,47,44216,0
12,51,44320,0
9,49,44872,1
9,50,45096,1
10,48,45308,1
10,47,45584,1
10,48,45953,1
12,52,45957,0
12,50,45958,0
12,51,46484,0
8,49,46863,1
10,49,47441,1
11,48,47458,1
10,50,47948,1
11,50,48284,0
13,51,48338,0
9,47,48663,0
13,52,48984,0
11,48,48991,1
10,47,49243,0
10,51,49566,1
11,50,49751,1
10,48,49775,0
11,49,49790,1
10,50,49872,1
9,49,49993,1
12,50,50067,0
11,51,50395,1
11,50,50685,1
13,52,51266,0
11,50,51672,1
12,49,51906,1
14,52,51945,0
12,48,52087,1
13,51,52300,0
13,53,52444,0
11,51,52872,1
11,50,53085,1
11,48,53275,0
14,53,53347,0
12,49,53354,1
14,52,53539,0
14,51,53680,0
12,50,54501,1
13,49,54768,1
12,51,55628,1
14,53,55729,0
13,49,55930,1
12,50,55936,1
15,52,56069,0
15,53,56734,0
14,52,57091,0
13,49,57432,1
13,50,57457,1
12,51,57898,1
14,49,58300,1
13,51,58472,1
13,52,58556,1
14,51,58637,0
12,49,58739,0
14,50,58957,1
16,53,59422,0
15,53,59591,0
15,52,59611,0
13,51,59652,1
14,49,59742,1
12,52,59780,1
14,50,60073,1
13,49,60250,0
16,54,60865,0
16,52,61499,0
16,53,61537,0
13,51,61561,1
14,52,61577,1
14,53,61846,1
13,52,62006,1
15,50,62027,1
13,49,62108,0
14,51,62177,1
17,53,62780,0
14,52,63149,1
14,50,63458,0
14,49,63636,0
17,54,63975,0
12,48,64206,0
13,50,64429,0
16,52,64441,0
15,53,64567,1
12,49,64703,0
14,51,65173,1
17,53,65317,0
14,52,65745,1
15,52,66439,1
18,54,66461,0
15,53,66518,1
14,50,66584,0
17,52,67195,0
18,53,67262,0
15,52,67786,1
18,54,68395,0
17,53,68646,0
16,51,68819,1
15,53,68957,1
18,55,69035,0
15,50,69216,0
19,54,69558,0
16,53,69582,1
16,52,69716,1
17,51,69808,1
18,53,70515,0
19,55,71247,0
19,54,71280,0
16,52,71309,1
16,54,71384,1
16,53,71479,1
17,51,71598,1
17,53,71933,1
16,52,72486,1
17,54,72688,1
19,53,72838,0
16,51,73006,0
17,53,73240,1
19,55,73356,0
17,52,73531,1
20,55,73744,0
17,52,73767,1
20,54,73812,0
16,52,73815,1
17,52,74017,1
17,53,74044,1
16,52,74506,0
19,54,74517,0
17,51,75253,0
20,55,75421,0
18,51,75673,1
17,52,76571,0
21,55,77410,0
17,51,77429,0
20,54,77600,0
18,54,77632,1
19,55,77894,1
20,56,78314,0
19,52,78424,1
18,53,78534,1
21,56,78943,0
21,54,79128,0
21,55,79398,0
19,52,79845,1
19,54,80652,1
22,55,80729,0
19,55,80918,1
18,51,81194,0
22,56,81703,0
20,52,81783,1
18,55,81911,1
19,54,82073,1
19,53,82242,1
22,55,83656,0
19,52,84003,0
20,53,84025,1
18,50,84326,1
23,56,84477,0
21,54,84607,0
21,53,84952,1
20,55,85012,1
20,54,85053,1
20,53,85190,1
