x,y,t,p
82,383,0,0
21,352,43,0
65,377,114,0
95,393,118,0
16,370,151,0
75,378,223,0
18,369,406,0
61,357,429,1
95,354,601,0
42,365,645,1
13,376,666,0
73,382,779,1
23,380,848,0
14,336,993,0
51,345,1091,0
38,380,1105,0
11,392,1507,1
13,367,1759,0
14,344,1985,1
14,376,2082,0
3,330,2204,0
31,379,2312,1
99,344,2408,0
66,357,2586,1
46,394,2732,1
53,355,2790,0
8,386,3115,0
6,339,3164,1
50,370,3215,0
9,366,3295,0
91,335,3875,0
56,364,3956,0
0,338,3971,0
33,365,4264,0
26,395,4296,0
2,381,4388,0
11,360,4428,0
60,346,4440,1
86,394,4496,0
70,351,4516,0
20,339,4787,1
85,377,5117,0
53,352,5366,1
28,363,5406,0
94,376,5654,1
99,335,5662,1
53,351,5901,1
0,347,5936,0
0,348,5968,0
0,346,6001,0
1,347,6046,0
0,345,6052,0
24,357,6100,1
0,347,6112,0
1,346,6121,0
1,348,6195,0
1,347,6265,0
89,385,6272,1
0,348,6288,0
2,348,6308,0
93,397,6321,1
2,347,6333,0
2,346,6345,0
1,349,6357,0
0,352,6385,0
9,395,6396,1
0,346,6434,0
2,349,6481,0
2,348,6486,0
0,347,6544,0
1,348,6549,0
3,347,6575,0
3,348,6611,0
2,348,6658,0
2,347,6708,0
1,346,6713,0
3,347,6731,0
3,349,6772,0
102,341,6772,0
4,347,6781,0
15,369,6787,1
1,352,6796,0
1,344,6801,1
2,349,6819,0
4,348,6824,0
3,348,6830,0
1,351,6847,0
0,349,6856,0
12,384,6879,1
3,346,6880,0
2,346,6883,0
4,349,6885,0
5,350,6898,0
3,349,6899,0
4,347,6934,0
53,371,6939,1
4,350,6940,0
0,346,6941,1
2,348,6953,0
5,349,6975,0
1,353,6987,0
3,350,7005,0
0,347,7009,1
5,348,7025,0
3,347,7045,0
5,347,7060,0
4,348,7070,0
4,349,7070,0
1,358,7078,0
3,349,7091,0
0,348,7098,1
6,350,7110,0
3,348,7143,0
5,349,7147,0
6,349,7148,0
1,356,7157,0
4,346,7166,0
5,350,7202,0
1,357,7207,0
4,347,7215,0
5,348,7227,0
1,346,7234,1
2,354,7238,0
1,348,7241,1
1,351,7250,1
6,348,7254,0
0,346,7256,1
0,359,7256,0
1,359,7269,0
5,351,7270,0
0,347,7272,1
4,351,7295,0
2,357,7308,0
6,347,7317,0
6,349,7318,0
3,354,7321,0
4,350,7339,0
4,348,7341,0
12,340,7346,0
2,348,7348,1
2,349,7374,1
5,349,7375,0
6,350,7377,0
1,347,7385,1
1,353,7411,1
7,349,7415,0
3,357,7420,0
5,347,7426,0
7,350,7429,0
1,358,7434,1
5,346,7434,0
3,356,7446,0
7,348,7455,0
0,344,7470,1
5,350,7477,0
42,366,7483,0
3,355,7487,0
41,354,7509,0
6,348,7516,0
2,348,7518,1
0,346,7531,1
4,357,7538,0
8,350,7539,0
1,356,7540,1
5,348,7541,0
0,345,7546,1
6,347,7554,0
0,347,7556,1
7,349,7557,0
2,346,7561,1
3,359,7563,0
4,355,7566,0
8,349,7573,0
2,347,7573,1
1,348,7579,1
6,349,7584,0
7,351,7605,0
9,350,7609,0
3,349,7613,1
6,351,7619,0
5,353,7621,0
4,356,7622,0
1,357,7634,1
3,348,7636,1
7,350,7643,0
1,347,7650,1
8,348,7659,0
3,350,7660,1
3,347,7669,1
6,350,7669,0
1,345,7692,1
7,348,7693,0
8,351,7695,0
5,359,7701,0
5,355,7707,0
2,348,7709,1
5,358,7724,0
4,350,7727,1
8,349,7734,0
8,350,7735,0
1,346,7758,1
9,349,7759,0
7,347,7779,0
4,348,7781,1
2,349,7786,1
5,354,7792,0
41,364,7792,0
4,349,7801,1
9,351,7813,0
9,350,7832,0
7,349,7835,0
2,347,7838,1
6,356,7843,0
10,351,7846,0
8,351,7857,0
10,350,7862,0
7,352,7867,0
6,354,7871,0
3,355,7877,1
10,338,7891,1
3,349,7894,1
3,348,7899,1
7,351,7902,0
10,349,7917,0
9,352,7918,0
3,354,7921,1
2,348,7921,1
4,355,7942,1
0,344,7942,0
11,351,7952,0
2,346,7957,1
8,348,7965,0
9,349,7968,0
6,357,7983,0
4,349,7985,1
7,355,7990,0
6,358,8003,0
8,350,8005,0
5,348,8006,1
7,350,8012,0
5,350,8022,1
5,349,8026,1
8,349,8028,0
9,351,8029,0
5,360,8030,0
8,347,8040,0
10,351,8045,0
3,347,8046,1
4,350,8048,1
4,347,8053,1
4,348,8072,1
8,352,8073,0
9,350,8081,0
7,356,8085,0
10,350,8089,0
11,350,8100,0
7,357,8115,0
6,350,8117,1
9,348,8119,0
6,359,8131,0
10,352,8131,0
3,348,8135,1
3,345,8137,1
7,358,8152,0
10,349,8160,0
3,346,8161,1
6,360,8164,0
4,349,8175,1
7,359,8180,0
7,360,8191,0
8,357,8195,0
11,351,8217,0
10,351,8227,0
9,357,8228,0
11,353,8234,0
38,391,8249,0
11,352,8250,0
6,349,8252,1
9,358,8254,0
54,372,8257,0
7,350,8260,1
11,354,8265,0
5,347,8271,1
16,343,8274,1
3,347,8277,1
11,350,8288,0
155,372,8345,0
118,386,8398,0
157,376,8456,1
93,345,8520,1
166,422,8557,1
84,356,8576,1
157,339,8577,1
126,385,8712,0
43,399,8713,0
127,354,8927,1
43,407,8964,1
155,389,9002,1
136,339,9034,1
40,366,9173,1
168,350,9249,1
130,355,9299,1
40,365,9452,0
130,375,9505,0
133,402,9544,1
89,409,9705,0
168,420,9779,0
39,366,9867,1
138,351,9905,1
148,369,9942,0
117,363,10122,0
79,410,10123,0
40,412,10274,0
150,417,10313,1
80,359,10645,1
34,403,10957,0
87,410,11072,0
41,397,11243,0
83,413,11326,1
35,367,11485,1
70,356,11497,1
50,369,11512,0
54,358,11600,1
48,414,11644,1
160,352,11919,0
111,341,12048,1
33,358,12127,0
33,357,12213,0
33,359,12217,0
63,371,12235,0
161,340,12261,1
33,358,12273,0
33,360,12287,0
33,359,12340,0
33,359,12340,0
34,359,12342,0
52,350,12348,0
33,357,12366,0
34,358,12369,0
34,358,12369,0
34,357,12377,0
33,358,12382,0
33,360,12424,0
33,360,12424,0
34,360,12435,0
150,383,12450,0
33,361,12457,0
33,359,12461,0
34,359,12468,0
35,359,12493,0
34,358,12512,0
34,358,12513,0
33,360,12557,0
35,360,12561,0
35,360,12561,0
34,360,12563,0
35,358,12573,0
47,369,12595,0
34,359,12600,0
44,401,12615,0
33,358,12616,0
33,357,12621,0
33,359,12640,0
126,404,12658,1
35,361,12669,0
34,361,12673,0
35,360,12684,0
35,360,12685,0
34,360,12691,0
36,361,12729,0
33,356,12735,0
35,359,12736,0
36,360,12757,0
36,359,12773,0
33,360,12786,0
34,362,12792,0
33,361,12812,0
35,361,12821,0
43,356,12822,0
59,353,12830,0
36,361,12847,0
35,360,12866,0
35,362,12882,0
33,364,12887,0
37,360,12897,0
158,378,12906,0
33,356,12909,1
34,363,12918,0
36,360,12918,0
51,357,12919,0
34,361,12923,0
34,359,12926,0
34,360,12928,0
147,346,12934,0
36,359,12936,0
37,359,12956,0
37,361,12961,0
34,364,12989,0
35,357,12991,0
36,361,12995,0
91,352,12999,0
35,361,13006,0
33,367,13007,0
35,364,13012,0
37,360,13042,0
33,360,13047,1
61,350,13087,0
152,364,13091,1
36,358,13093,0
33,368,13094,0
141,352,13094,1
35,359,13097,0
36,362,13098,0
37,361,13104,0
37,361,13104,0
37,359,13110,0
38,361,13116,0
35,360,13117,0
34,365,13124,0
38,359,13125,0
35,358,13134,0
33,369,13137,0
38,360,13142,0
36,361,13152,0
33,370,13163,0
38,362,13170,0
36,359,13173,0
34,367,13175,0
36,357,13195,0
33,360,13202,1
37,360,13218,0
37,358,13224,0
34,360,13226,1
37,362,13227,0
34,366,13228,0
35,365,13250,0
33,358,13254,1
37,361,13260,0
34,361,13260,1
38,361,13266,0
39,360,13272,0
39,360,13272,0
33,361,13273,1
34,371,13277,0
39,361,13281,0
35,367,13282,0
38,360,13289,0
99,346,13289,1
39,362,13289,0
39,359,13293,0
33,359,13295,1
34,369,13314,0
34,368,13317,0
35,366,13328,0
37,359,13342,0
38,359,13367,0
40,361,13374,0
38,362,13374,0
34,359,13380,1
34,360,13383,1
40,360,13387,0
33,360,13388,1
35,369,13414,0
36,364,13419,0
49,372,13421,0
35,361,13423,1
41,361,13427,0
40,362,13432,0
37,358,13435,0
35,368,13436,0
38,358,13441,0
74,415,13449,1
39,360,13450,0
39,361,13452,0
35,367,13453,0
34,361,13467,1
36,371,13468,0
127,339,13473,0
39,362,13473,0
33,358,13475,1
37,360,13477,0
120,364,13480,1
37,362,13483,0
33,359,13489,1
35,359,13492,1
