x,y,t,p
1209,110,0,0
1214,112,26,1
1210,112,178,0
1208,111,480,0
1213,113,567,1
1217,113,630,1
1209,112,633,0
1208,110,680,0
1213,111,734,1
1207,110,954,0
1212,111,958,1
1207,111,1019,0
1207,112,1030,0
1208,112,1149,0
1206,111,1193,0
1206,110,1309,0
1206,112,1387,0
1211,111,1508,1
1211,112,1641,1
1212,113,1654,1
1205,110,1668,0
1211,113,1715,1
1213,112,2039,1
1205,111,2048,0
1205,112,2124,0
1204,110,2154,0
1204,112,2324,0
1209,112,2422,1
1210,112,2495,1
1208,112,2640,1
1204,111,2724,0
1214,111,3013,1
1214,110,3161,1
1210,111,3300,1
1204,113,3333,0
1203,111,3342,0
1203,110,3355,0
1208,111,3605,1
1202,111,3608,0
1203,112,3644,0
1202,110,3841,0
1202,109,4108,0
1201,110,4265,0
1207,110,4325,1
1207,111,4360,1
1201,111,4464,0
1209,110,4478,1
1201,112,4649,0
1200,110,4872,0
1200,110,4873,0
1202,113,4885,0
1208,110,4896,1
1200,111,5035,0
1205,111,5179,1
1209,111,5318,1
1200,109,5332,0
1206,110,5359,1
1199,111,5375,0
1207,112,5427,1
1204,111,5429,1
1199,110,5617,0
1203,112,5678,1
1205,112,5732,1
1198,110,5750,0
1198,109,5979,0
1197,109,6125,0
1198,111,6194,0
1197,110,6210,0
1197,110,6210,0
1203,110,6265,1
1205,110,6326,1
1201,110,6713,1
1202,110,6738,1
1196,109,6847,0
1197,112,6927,0
1196,108,6933,0
1196,110,6938,0
1197,111,7020,0
1196,112,7032,0
1202,111,7112,1
1211,110,7125,1
1201,111,7186,1
1196,111,7204,0
1195,109,7309,0
1202,109,7329,1
1195,110,7422,0
1195,111,7482,0
1194,109,7524,0
1203,111,7557,1
1199,110,7560,1
1200,109,7614,1
1193,109,7817,0
1200,111,7941,1
1194,110,7994,0
1200,110,8001,1
1194,111,8137,0
1198,109,8143,1
1193,111,8528,0
1197,111,8579,1
1192,109,8630,0
