x,y,t,p
730,53,0,1
730,54,15,1
730,53,167,1
730,52,195,1
730,51,226,1
729,52,300,1
730,51,371,1
730,52,400,1
731,53,432,1
731,52,438,1
729,51,454,1
730,53,455,1
729,52,492,1
729,53,508,1
729,52,649,0
730,52,650,0
730,52,651,0
730,51,683,0
730,53,685,0
729,53,794,0
730,52,831,0
729,51,839,0
729,52,845,0
730,53,962,0
730,51,1044,0
731,52,1225,0
731,53,1398,0
730,52,1578,0
726,46,1770,1
727,46,1865,1
727,45,1922,1
727,51,2165,0
728,46,2229,1
728,47,2383,1
728,50,2461,0
727,46,2703,0
728,46,2762,0
726,46,2853,0
728,47,3751,0
727,45,3974,0
729,52,5975,1
729,54,5998,1
729,53,6043,1
729,51,6187,1
728,53,6196,1
729,52,6208,1
728,52,6212,1
729,53,6213,1
728,53,6397,1
728,52,6446,1
728,52,6641,0
729,53,6663,0
729,52,6679,0
728,53,6707,0
728,52,7005,0
729,53,7085,0
729,52,7128,0
729,54,7455,0
726,49,8072,1
726,46,8223,1
726,47,8259,1
726,48,8297,1
725,48,8358,1
726,47,8377,1
727,46,8439,1
726,47,8707,0
726,48,8859,0
726,46,9026,0
727,46,9039,0
726,47,9258,0
728,50,10775,1
725,48,11897,0
728,52,11923,1
728,53,12158,1
728,54,12161,1
727,53,12287,1
727,52,12297,1
727,53,12457,1
727,51,12472,1
727,53,12773,0
728,53,12957,0
728,54,12975,0
727,51,13690,0
727,52,13744,0
725,49,13931,1
728,52,14043,0
725,48,14251,1
724,48,14291,1
724,47,14314,1
724,49,14324,1
725,46,14369,1
725,47,14373,1
725,48,14397,1
724,48,14438,1
724,47,14517,1
724,46,14526,1
724,47,14646,0
724,48,14719,0
725,48,14800,0
725,47,14820,0
725,46,14840,0
724,47,14865,0
724,49,15003,0
724,48,15100,0
726,49,16714,0
727,54,17996,1
727,54,18565,0
725,49,18694,0
723,49,20093,1
723,48,20123,1
723,47,20136,1
723,50,20230,1
724,48,20233,1
724,47,20235,1
723,48,20252,1
723,47,20258,1
723,49,20263,1
723,46,20295,1
722,48,20338,1
723,49,20478,0
723,48,20504,0
723,47,20539,0
724,47,20611,0
723,46,20656,0
723,48,20708,0
724,48,20823,0
723,49,21140,0
723,48,21306,0
723,47,21944,0
722,48,23745,0
725,54,23907,1
722,50,24309,1
722,51,24414,1
722,50,25688,1
722,48,25710,1
721,50,25758,1
722,49,25819,1
722,47,25821,1
722,48,25832,1
721,49,25861,1
722,48,25926,1
722,47,25942,1
721,48,25943,1
723,47,25946,1
722,49,26014,1
721,49,26048,1
722,47,26188,0
722,48,26189,0
722,49,26208,0
721,49,26256,0
721,48,26343,0
722,48,26526,0
722,49,26589,0
722,47,26642,0
721,49,27042,0
721,51,27342,1
725,54,28522,0
725,54,29508,1
721,52,30367,1
721,51,30562,1
721,50,31292,1
720,51,31395,1
720,51,31395,1
720,50,31412,1
720,48,31465,1
721,49,31479,1
720,49,31490,1
721,48,31574,1
720,47,31580,1
721,50,31602,1
720,49,31618,1
721,49,31619,1
721,47,31631,1
720,50,31636,1
720,48,31638,1
720,48,31821,0
720,50,31885,0
721,49,31904,0
720,49,31952,0
721,47,32069,0
721,48,32079,0
720,47,32112,0
720,48,32193,0
721,49,32316,0
720,49,32418,0
723,50,32867,0
721,50,33028,0
703,64,33059,0
722,50,33278,0
720,51,34489,1
720,52,34727,1
720,50,35789,0
720,51,36814,1
720,50,37161,1
719,50,37192,1
719,51,37222,1
719,49,37303,1
719,48,37328,1
720,49,37363,1
719,50,37411,1
720,48,37414,1
719,49,37417,1
720,50,37465,1
720,49,37477,1
719,49,37509,1
719,48,37518,1
719,49,37645,0
719,48,37684,0
719,50,37718,0
720,49,37800,0
719,49,37885,0
720,48,37917,0
720,50,37935,0
719,50,38063,0
719,48,38261,0
720,49,38538,0
719,52,39074,1
722,51,39985,0
735,70,40169,1
738,51,40658,0
721,51,42660,0
718,52,42872,1
718,51,42944,1
718,49,43038,1
718,50,43053,1
718,48,43070,1
719,52,43109,1
718,49,43185,1
718,50,43203,1
719,50,43227,1
719,51,43257,1
718,51,43340,1
718,50,43368,1
718,50,43598,0
718,49,43675,0
719,50,43855,0
718,50,44016,0
718,51,44209,0
719,53,44383,1
718,52,44437,1
721,50,44718,0
719,51,45447,0
720,50,45657,0
720,51,46457,0
722,50,47126,0
718,53,47508,1
718,52,48627,1
717,52,48826,1
