x,y,t,p
728,121,0,0
728,122,684,0
727,121,743,0
729,121,885,0
728,123,1384,0
727,122,1933,0
727,123,3531,0
738,120,3776,0
728,121,4268,1
729,121,4298,1
727,121,4328,1
728,121,4377,1
728,120,4389,1
727,120,4447,1
728,122,4481,1
728,121,4487,1
727,121,4639,1
728,121,4896,0
727,121,4999,0
728,120,5063,0
727,120,5146,0
728,122,5196,0
728,121,5567,0
727,121,5860,0
729,121,6418,0
727,122,7681,0
726,121,8672,0
726,123,8701,0
728,121,9653,1
727,121,9701,1
727,120,9706,1
728,120,9708,1
726,121,9754,1
728,121,9765,1
727,121,9820,1
727,120,9843,1
726,120,9875,1
726,121,9892,1
728,120,9919,1
727,122,9968,1
727,121,9985,1
726,121,10045,0
727,121,10168,0
727,120,10189,0
728,120,10200,0
727,122,10310,0
726,121,10322,0
727,121,10375,0
728,121,10437,0
728,120,10483,0
726,120,10690,0
726,121,10844,0
727,120,10890,0
727,121,11481,0
725,122,14009,0
727,120,15098,1
727,121,15152,1
726,120,15165,1
727,120,15205,1
726,121,15239,1
728,120,15249,1
725,120,15286,1
726,120,15289,1
727,120,15307,1
727,121,15327,1
726,121,15381,1
726,120,15395,1
727,119,15397,1
725,121,15409,1
726,119,15444,1
726,121,15548,0
727,120,15598,0
726,120,15635,0
727,121,15661,0
726,121,15686,0
727,120,15800,0
728,120,15845,0
725,120,15884,0
727,119,16036,0
726,120,16187,0
725,121,16190,0
726,119,16245,0
726,121,16963,0
723,120,17078,1
721,119,18832,0
722,119,18832,0
725,120,19664,0
726,120,20635,1
726,119,20657,1
727,119,20668,1
727,119,20668,1
727,120,20686,1
725,120,20738,1
726,120,20746,1
726,121,20756,1
726,119,20846,1
726,120,20860,1
725,120,20866,1
724,120,20870,1
725,119,20876,1
725,121,20943,1
725,120,21003,1
725,120,21094,0
726,119,21146,0
726,120,21158,0
725,119,21232,0
725,120,21245,0
727,120,21314,0
722,118,21474,0
724,120,21641,0
725,121,21663,0
725,120,21895,0
