x,y,t,p
692,155,0,0
701,156,1182,0
697,155,1511,0
698,156,2346,0
691,155,2581,0
691,156,2785,0
695,156,5436,1
701,156,7410,1
700,156,7578,1
691,156,7886,1
694,156,8315,1
700,154,9809,0
693,156,12685,1
700,156,17440,0
701,156,18966,0
697,155,21266,1
691,155,27697,1
690,155,29171,1
700,156,29175,1
709,170,29897,0
690,156,31229,1
690,155,33099,0
700,155,33199,0
700,156,33366,0
699,155,33743,0
690,156,34782,0
699,155,40063,1
699,155,40064,1
699,156,41562,1
700,156,42573,1
698,157,42932,1
698,157,42933,1
699,157,43875,1
692,156,49427,1
699,156,53868,0
709,168,56562,1
708,138,58297,1
699,157,58488,0
700,156,61732,0
698,157,70493,0
708,168,70980,1
691,156,78087,1
690,156,81079,1
689,156,83091,1
691,157,99807,1
690,157,100926,1
688,156,101441,1
689,157,101554,1
688,157,102603,1
687,156,103235,1
687,157,105167,1
698,155,107487,0
686,157,125488,1
686,157,125488,1
709,168,132928,1
688,157,137465,1
685,157,144043,1
686,157,148585,1
687,157,149724,1
688,158,152151,1
684,157,152581,1
687,158,156353,1
686,158,157892,1
696,156,159384,0
695,156,159604,0
685,158,163396,1
686,158,166560,1
689,158,168568,1
685,158,169943,1
687,157,170072,0
687,158,175725,1
687,156,177105,0
686,157,178812,0
688,158,179097,1
684,158,179671,1
688,156,182134,0
683,158,182339,1
694,156,182893,0
690,156,183886,0
688,157,183936,0
687,159,191046,1
686,159,191861,1
685,159,194168,1
684,159,195070,1
683,159,196173,1
687,157,196597,0
685,157,197123,0
692,156,202905,0
687,158,206387,0
691,156,207460,0
693,156,209476,0
684,158,210690,0
686,158,211063,0
684,160,213326,1
689,157,214825,0
686,160,215271,1
685,160,216475,1
683,158,220285,0
688,158,221697,0
690,157,222009,0
683,160,222083,1
682,160,222670,1
684,160,223127,1
685,158,223497,0
680,160,228282,1
680,160,228282,1
691,157,229907,0
687,158,231611,0
684,157,232504,0
687,160,232816,1
686,160,233572,1
684,159,234946,0
685,159,235287,0
683,161,236872,1
685,161,240170,1
685,161,240171,1
684,160,241589,0
684,161,242308,1
682,161,242365,1
679,161,245920,1
683,160,246516,0
688,161,247052,1
689,161,247167,1
686,160,247513,0
687,160,248709,0
687,159,250346,0
688,161,251792,0
685,160,252459,0
689,161,252496,0
686,159,253872,0
682,162,256663,1
683,162,260297,1
678,161,260649,1
678,161,260649,1
681,162,260813,1
680,161,260839,1
686,161,260916,1
679,162,261010,1
679,161,261095,1
684,162,261440,1
685,162,261682,1
686,162,261959,1
678,162,262098,1
677,162,262904,1
676,162,262935,1
687,162,263137,1
688,162,263176,1
687,161,263268,1
686,162,263377,1
686,163,263596,1
686,163,263597,1
679,161,264148,0
687,163,264557,1
