x,y,t,p
936,421,0,0
937,420,4637,0
938,419,6264,0
935,422,6323,0
937,421,8899,0
936,422,21152,0
936,423,22612,0
935,420,23152,0
937,423,30443,0
935,423,32392,0
938,420,38647,0
933,424,39584,0
939,421,40168,0
933,423,41150,0
938,422,42384,0
940,421,42541,0
932,424,42796,0
932,425,44687,0
934,423,45636,0
938,423,45744,0
933,426,47434,0
931,424,50763,0
938,421,53591,0
934,425,54338,0
939,422,57881,0
937,422,58123,0
936,424,58870,0
935,424,64830,0
936,422,70391,0
940,422,74099,0
937,424,77048,0
936,422,85339,1
936,425,88455,0
934,423,89395,1
933,423,90770,1
931,424,91315,1
939,423,91591,0
933,424,96019,1
940,421,100674,0
936,422,102019,1
934,423,103829,1
935,422,104520,1
938,424,104536,0
935,423,104805,1
938,423,123452,0
935,425,125022,0
934,426,130779,0
935,426,134976,0
933,427,140101,0
933,425,144864,0
932,426,146146,0
933,426,146200,0
932,427,146706,0
934,427,148100,0
931,426,149913,0
931,427,150858,0
932,428,151261,0
931,428,153311,0
934,425,154724,0
930,427,155220,0
940,421,158202,1
933,427,158433,0
929,427,158972,0
930,428,159743,0
930,426,161750,0
930,429,161762,0
930,427,161791,0
929,428,163010,0
929,429,163137,0
928,427,164373,0
929,426,164940,0
928,428,166392,0
933,424,166763,0
931,426,167401,0
927,427,167558,0
927,427,167558,0
938,423,168051,1
935,423,168265,0
935,422,169063,0
928,429,170367,0
927,429,170475,0
939,423,171248,1
927,428,172589,0
929,430,172652,0
934,424,173242,0
929,427,174553,0
931,429,174972,0
934,423,175294,0
926,428,176525,0
927,426,177341,0
926,427,177577,0
936,422,178905,0
928,426,179909,0
925,428,181520,0
925,427,182004,0
928,427,182093,0
926,429,183805,0
927,427,185638,0
927,427,185638,0
919,427,185813,0
938,424,187228,1
930,430,187249,0
926,425,190588,0
933,423,191023,0
929,425,192486,0
932,425,193522,0
931,425,194975,0
926,426,195045,0
931,424,199419,0
930,425,204948,0
932,426,207935,0
940,421,214271,0
928,427,215867,1
926,428,216371,1
928,429,216628,1
929,427,221146,1
937,424,222027,1
925,425,222077,0
932,426,222224,1
925,428,230328,1
929,424,232725,0
