x,y,t,p
108,1,0,1
111,5,11973,1
108,3,12110,1
108,3,12655,0
111,6,15828,1
110,5,15987,1
109,4,15990,1
108,4,16074,1
109,5,16108,1
110,5,16665,0
109,4,16708,0
110,6,20030,1
110,5,20078,1
111,7,20138,1
110,5,20743,0
108,4,20775,0
110,6,21156,0
110,6,24025,1
109,6,24045,1
110,7,24195,1
109,6,24850,0
111,7,25072,0
110,6,25203,0
111,5,25446,0
109,5,25500,0
110,6,28209,1
111,8,28244,1
109,6,28299,1
111,7,28367,1
109,6,28599,0
110,6,28718,0
111,8,29203,0
111,7,30238,0
111,8,32432,1
110,8,32543,1
109,7,32569,1
109,7,33140,0
111,8,33206,0
110,8,33665,0
110,7,33823,0
110,8,36706,1
111,8,36773,1
110,7,36861,1
110,7,37461,0
111,8,37474,0
110,8,37618,0
110,9,41078,1
110,8,41127,1
111,9,41127,1
113,11,41172,1
110,8,41449,0
111,6,44395,0
111,10,45502,1
112,10,45529,1
112,11,45627,1
112,10,45901,0
109,12,45990,0
112,11,46427,0
113,11,46578,0
111,9,46747,0
110,9,47249,0
110,12,49063,0
111,13,49661,0
112,11,49947,1
112,11,50625,0
111,12,50736,0
110,13,50862,0
111,12,53499,1
111,11,54630,1
110,14,54738,0
111,11,55285,0
111,10,55286,0
113,12,55332,0
112,14,55888,0
111,14,56575,0
110,13,56778,1
114,13,56884,0
111,12,59162,1
110,12,59471,1
112,15,60940,0
112,16,63017,0
111,13,63907,1
111,14,68162,1
112,14,68362,1
112,17,70640,0
112,15,73035,1
113,17,73600,0
113,18,77527,0
114,19,80606,0
113,17,81299,1
116,19,86785,1
116,19,87211,0
114,20,88030,0
119,21,91166,1
118,21,91329,1
117,20,91342,1
116,19,91399,1
116,19,92127,0
117,20,92448,0
119,21,92472,0
118,21,92920,0
118,22,95251,1
118,22,95251,1
119,22,95368,1
114,20,95447,1
119,21,95545,1
118,21,95578,1
117,20,95681,1
120,22,95715,1
118,21,96392,0
119,21,96959,0
119,22,99098,0
116,22,99181,0
119,22,99889,1
120,23,99960,1
121,23,100107,1
119,23,100214,1
119,22,101368,0
120,22,102305,0
116,23,102862,0
117,23,103424,0
119,23,103619,0
121,24,104443,1
120,24,104572,1
122,24,104785,1
121,24,106871,0
121,25,108856,1
122,25,109003,1
121,24,109084,1
120,25,109199,1
121,24,110117,0
120,24,110398,0
121,26,113425,1
122,26,113546,1
120,23,114175,0
119,26,114496,0
121,25,114874,0
122,24,115659,0
119,27,119012,0
121,26,119528,0
120,25,119642,0
120,28,123375,0
122,26,123427,0
121,24,129011,0
125,30,131307,1
126,30,131311,1
127,31,135618,1
126,31,135779,1
124,32,138038,0
123,32,139357,0
