Unnamed: 0,nframe_81511514901,absframe_81511514901,x0_81511514901,y0_81511514901,area_81511514901,yadj_81511514901,flower_81511514901,visit_num_81511514901,sx_81511514901,sy_81511514901,speeds_81511514901
0,0,48236,451.0,218.0,836.0,862.0,,,451.0,862.0,2.549509756796392
1,1,48237,450.0,223.0,1405.0,857.0,,,450.5,859.5,7.531415685130045
2,2,48238,441.0,241.0,6.0,839.0,,,447.3333333333333,852.6666666666666,24.078575077810864
3,3,48239,478.0,285.0,428.0,795.0,,,456.3333333333333,830.3333333333334,30.814859330452254
4,4,48240,475.0,312.0,1129.0,768.0,,,464.6666666666667,800.6666666666666,28.72087897138397
5,5,48241,473.0,321.0,1474.0,759.0,,,475.3333333333333,774.0,20.02775851439973
6,6,48242,459.0,342.0,912.0,738.0,,,469.0,755.0,24.01157128460271
7,7,48243,458.0,382.0,858.0,698.0,,,463.3333333333333,731.6666666666666,36.09863032181568
8,8,48244,465.0,429.0,192.0,651.0,,,460.6666666666667,695.6666666666666,40.44474969359771
9,9,48245,468.0,463.0,257.0,617.0,,,463.6666666666667,655.3333333333334,35.41029354423501
10,10,48246,465.0,488.0,743.0,592.0,,,466.0,620.0,20.011108026404845
11,11,48247,467.0,489.0,344.0,591.0,,,466.6666666666667,600.0,11.080513425729738
12,12,48248,459.0,495.0,1066.0,585.0,,,463.6666666666667,589.3333333333334,3.333333333333394
13,13,48249,459.0,496.0,330.0,584.0,,,461.6666666666667,586.6666666666666,4.955356249106131
14,14,48250,456.0,499.0,1033.0,581.0,,,458.0,583.3333333333334,1.6666666666666514
15,15,48251,455.0,492.0,494.0,588.0,,,456.6666666666667,584.3333333333334,1.666666666666697
16,16,48252,455.0,499.0,876.0,581.0,,,455.3333333333333,583.3333333333334,2.3570226039551048
17,17,48253,451.0,494.0,544.0,586.0,,,453.6666666666667,585.0,3.282952600598717
18,18,48254,451.0,501.0,1025.0,579.0,,,452.3333333333333,582.0,2.8480012484391413
19,19,48255,447.0,496.0,586.0,584.0,,,449.6666666666667,583.0,2.8674417556809177
20,20,48256,446.0,501.0,851.0,579.0,,,448.0,580.6666666666666,5.934831271588346
21,21,48257,437.0,490.0,708.0,590.0,,,443.3333333333333,584.3333333333334,7.007932013876212
22,22,48258,446.0,475.0,194.0,605.0,,,443.0,591.3333333333334,12.44543646839624
23,23,48259,451.0,464.0,93.0,616.0,,,444.6666666666667,603.6666666666666,11.08051342572981
24,24,48260,449.0,459.0,63.0,621.0,,,448.6666666666667,614.0,5.426273532033273
25,25,48261,449.0,459.0,56.0,621.0,,,449.6666666666667,619.3333333333334,2.8674417556808844
26,26,48262,444.0,459.0,22.0,621.0,,,447.3333333333333,621.0,0.9428090415820096
27,27,48263,447.0,461.0,60.0,619.0,,,446.6666666666667,620.3333333333334,1.4907119849999275
28,28,48264,445.0,461.0,49.0,619.0,,,445.3333333333333,619.6666666666666,0.7453559924999129
29,29,48265,445.0,461.0,53.0,619.0,,,445.6666666666667,619.0,0.4714045207910853
30,30,48266,446.0,462.0,63.0,618.0,,,445.3333333333333,618.6666666666666,0.6666666666666288
31,31,48267,445.0,463.0,56.0,617.0,,,445.3333333333333,618.0,1.0540925533894718
32,32,48268,446.0,464.0,75.0,616.0,,,445.6666666666667,617.0,0.94280904158205
33,33,48269,444.0,464.0,55.0,616.0,,,445.0,616.3333333333334,1.3743685418725855
34,34,48270,446.0,467.0,59.0,613.0,,,445.3333333333333,615.0,1.0540925533894718
35,35,48271,447.0,467.0,78.0,613.0,,,445.6666666666667,614.0,1.4142135623730951
36,36,48272,447.0,467.0,85.0,613.0,,,446.6666666666667,613.0,0.3333333333333712
37,37,48273,445.0,467.0,63.0,613.0,,,446.3333333333333,613.0,2.027587510099413
38,38,48274,441.0,466.0,45.0,614.0,,,444.3333333333333,613.3333333333334,2.0
39,39,48275,441.0,467.0,38.0,613.0,,,442.3333333333333,613.3333333333334,0.7453559924999892
40,40,48276,444.0,469.0,71.0,611.0,,,442.0,612.6666666666666,1.2018504251546736
41,41,48277,443.0,469.0,76.0,611.0,,,442.6666666666667,611.6666666666666,1.0540925533894538
42,42,48278,442.0,470.0,106.0,610.0,,,443.0,610.6666666666666,0.7453559924999129
43,43,48279,442.0,470.0,120.0,610.0,,,442.3333333333333,610.3333333333334,0.7453559924999892
44,44,48280,442.0,471.0,118.0,609.0,,,442.0,609.6666666666666,0.3333333333332575
45,45,48281,442.0,471.0,131.0,609.0,,,442.0,609.3333333333334,0.3333333333333144
46,46,48282,441.0,470.0,126.0,610.0,,,441.6666666666667,609.3333333333334,2.23606797749979
47,47,48283,436.0,468.0,60.0,612.0,,,439.6666666666667,610.3333333333334,4.013864859597426
48,48,48284,430.0,470.0,161.0,610.0,,,435.6666666666667,610.6666666666666,2.4267032964268966
49,49,48285,434.0,468.0,106.0,612.0,,,433.3333333333333,611.3333333333334,1.7950549357115575
50,50,48286,434.0,473.0,156.0,607.0,,,432.6666666666667,609.6666666666666,4.055175020198806
51,51,48287,432.0,482.0,212.0,598.0,,,433.3333333333333,605.6666666666666,9.219544457292889
52,52,48288,428.0,495.0,846.0,585.0,,,431.3333333333333,596.6666666666666,13.308309851784683
53,53,48289,419.0,510.0,338.0,570.0,,,426.3333333333333,584.3333333333334,13.437096247164275
54,54,48290,416.0,519.0,983.0,561.0,,,421.0,572.0,8.359957469322925
55,55,48291,418.0,518.0,603.0,562.0,,,417.6666666666667,564.3333333333334,7.1802197428460826
56,56,48292,411.0,530.0,500.0,550.0,,,415.0,557.6666666666666,1.2018504251546736
57,57,48293,414.0,522.0,870.0,558.0,,,414.3333333333333,556.6666666666666,1.4142135623730951
58,58,48294,415.0,521.0,289.0,559.0,,,413.3333333333333,555.6666666666666,2.9814239699998044
59,59,48295,415.0,522.0,813.0,558.0,,,414.6666666666667,558.3333333333334,1.666666666666606
60,60,48296,417.0,518.0,554.0,562.0,,,415.6666666666667,559.6666666666666,1.4907119849998005
61,61,48297,413.0,525.0,683.0,555.0,,,415.0,558.3333333333334,1.943650631615068
62,62,48298,418.0,517.0,598.0,563.0,,,416.0,560.0,1.3743685418725855
63,63,48299,416.0,522.0,284.0,558.0,,,415.6666666666667,558.6666666666666,1.490711984999877
64,64,48300,417.0,523.0,786.0,557.0,,,417.0,559.3333333333334,0.6666666666666856
65,65,48301,420.0,517.0,609.0,563.0,,,417.6666666666667,559.3333333333334,1.3333333333333712
66,66,48302,416.0,526.0,675.0,554.0,,,417.6666666666667,558.0,1.943650631615068
67,67,48303,420.0,518.0,668.0,562.0,,,418.6666666666667,559.6666666666666,1.943650631615068
68,68,48304,417.0,522.0,275.0,558.0,,,417.6666666666667,558.0,1.3743685418725855
69,69,48305,417.0,522.0,862.0,558.0,,,418.0,559.3333333333334,2.23606797749979
70,70,48306,417.0,524.0,319.0,556.0,,,417.0,557.3333333333334,1.3333333333333712
71,71,48307,417.0,526.0,799.0,554.0,,,417.0,556.0,1.9436506316151163
72,72,48308,422.0,519.0,579.0,561.0,,,418.6666666666667,557.0,1.7950549357114731
73,73,48309,415.0,529.0,570.0,551.0,,,418.0,555.3333333333334,0.7453559924998875
74,74,48310,418.0,524.0,860.0,556.0,,,418.3333333333333,556.0,2.3570226039551048
75,75,48311,417.0,524.0,337.0,556.0,,,416.6666666666667,554.3333333333334,1.666666666666606
76,76,48312,418.0,525.0,808.0,555.0,,,417.6666666666667,555.6666666666666,2.134374745810997
77,77,48313,422.0,519.0,554.0,561.0,,,419.0,557.3333333333334,0.6666666666667425
78,78,48314,417.0,526.0,714.0,554.0,,,419.0,556.6666666666666,1.4907119849999022
79,79,48315,420.0,521.0,718.0,559.0,,,419.6666666666667,558.0,2.134374745810944
80,80,48316,418.0,524.0,278.0,556.0,,,418.3333333333333,556.3333333333334,1.3743685418724891
81,81,48317,418.0,522.0,838.0,558.0,,,418.6666666666667,557.6666666666666,4.346134936801806
82,82,48318,419.0,508.0,826.0,572.0,,,418.3333333333333,562.0,9.15302014516399
83,83,48319,423.0,497.0,383.0,583.0,,,420.0,571.0,12.692955176439884
84,84,48320,427.0,485.0,557.0,595.0,,,423.0,583.3333333333334,16.81599767417251
85,85,48321,431.0,459.0,59.0,621.0,,,427.0,599.6666666666666,16.017351702312023
86,86,48322,433.0,450.0,62.0,630.0,,,430.3333333333333,615.3333333333334,12.115187896924168
87,87,48323,432.0,449.0,51.0,631.0,,,432.0,627.3333333333334,2.6666666666666288
88,88,48324,431.0,451.0,38.0,629.0,,,432.0,630.0,1.4142135623730951
89,89,48325,430.0,453.0,55.0,627.0,,,431.0,629.0,2.603416558635564
90,90,48326,427.0,455.0,54.0,625.0,,,429.3333333333333,627.0,2.8284271247461903
91,91,48327,425.0,457.0,45.0,623.0,,,427.3333333333333,625.0,2.403700850309347
92,92,48328,424.0,457.0,46.0,623.0,,,425.3333333333333,623.6666666666666,1.201850425154642
93,93,48329,424.0,457.0,42.0,623.0,,,424.3333333333333,623.0,0.4714045207910451
94,94,48330,424.0,458.0,53.0,622.0,,,424.0,622.6666666666666,0.7453559924999638
95,95,48331,422.0,456.0,44.0,624.0,,,423.3333333333333,623.0,0.9428090415820096
96,96,48332,422.0,459.0,73.0,621.0,,,422.6666666666667,622.3333333333334,0.3333333333333712
