Unnamed: 0,nframe_81514534503,absframe_81514534503,x0_81514534503,y0_81514534503,area_81514534503,yadj_81514534503,flower_81514534503,visit_num_81514534503,sx_81514534503,sy_81514534503,speeds_81514534503
0,0,375786,470.0,326.0,999.0,754.0,,,470.0,754.0,7.0178344238091
1,1,375787,456.0,327.0,1245.0,753.0,,,463.0,753.5,6.18465843842649
2,2,375788,445.0,331.0,1715.0,749.0,,,457.0,752.0,8.06225774829855
3,3,375789,449.0,338.0,1073.0,742.0,,,450.0,748.0,6.960204339273719
4,4,375790,436.0,333.0,118.0,747.0,,,443.3333333333333,746.0,3.2829526005986938
5,5,375791,441.0,340.0,348.0,740.0,,,442.0,743.0,4.013864859597435
6,6,375792,437.0,339.0,442.0,741.0,,,438.0,742.6666666666666,1.3743685418725855
7,7,375793,437.0,329.0,442.0,751.0,,,438.3333333333333,744.0,5.0990195135927845
8,8,375794,444.0,325.0,1825.0,755.0,,,439.3333333333333,749.0,6.4031242374328485
9,9,375795,449.0,324.0,1595.0,756.0,,,443.3333333333333,754.0,9.00617072407084
10,10,375796,458.0,312.0,2151.0,768.0,,,450.3333333333333,759.6666666666666,11.08051342572981
11,11,375797,475.0,313.0,1699.0,767.0,,,460.6666666666667,763.6666666666666,5.897268670984738
12,12,375798,461.0,311.0,1531.0,769.0,,,464.6666666666667,768.0,4.642796092394676
13,13,375799,471.0,307.0,2112.0,773.0,,,469.0,769.6666666666666,1.666666666666697
14,14,375800,472.0,309.0,1957.0,771.0,,,468.0,771.0,3.4318767136623425
15,15,375801,466.0,302.0,1486.0,778.0,,,469.6666666666667,774.0,3.0731814857643243
16,16,375802,477.0,300.0,1783.0,780.0,,,471.6666666666667,776.3333333333334,5.0
17,17,375803,487.0,309.0,1578.0,771.0,,,476.6666666666667,776.3333333333334,3.901566636906519
18,18,375804,477.0,306.0,1489.0,774.0,,,480.3333333333333,775.0,2.8284271247461903
19,19,375805,471.0,306.0,1222.0,774.0,,,478.3333333333333,773.0,4.47213595499958
20,20,375806,481.0,297.0,944.0,783.0,,,476.3333333333333,777.0,5.077182070575904
21,21,375807,483.0,292.0,831.0,788.0,,,478.3333333333333,781.6666666666666,4.533823502911886
22,22,375808,479.0,295.0,937.0,785.0,,,481.0,785.3333333333334,4.176654695380522
23,23,375809,487.0,286.0,1195.0,794.0,,,483.0,789.0,2.5385910352880043
24,24,375810,486.0,285.0,623.0,795.0,,,484.0,791.3333333333334,4.7140452079102495
25,25,375811,469.0,285.0,1308.0,795.0,,,480.6666666666667,794.6666666666666,3.4801021696368863
26,26,375812,477.0,283.0,1094.0,797.0,,,477.3333333333333,795.6666666666666,6.641619615057074
27,27,375813,467.0,291.0,1154.0,789.0,,,471.0,793.6666666666666,2.8674417556808383
28,28,375814,462.0,290.0,1041.0,790.0,,,468.6666666666667,792.0,6.368324391514307
29,29,375815,463.0,296.0,1632.0,784.0,,,464.0,787.6666666666666,3.2829526005986707
30,30,375816,458.0,295.0,1218.0,785.0,,,461.0,786.3333333333334,2.687419249432873
31,31,375817,466.0,297.0,2078.0,783.0,,,462.3333333333333,784.0,5.676462121975509
32,32,375818,474.0,309.0,1637.0,771.0,,,466.0,779.6666666666666,5.185449728701335
33,33,375819,469.0,306.0,1302.0,774.0,,,469.6666666666667,776.0,2.7487370837450613
34,34,375820,474.0,299.0,1251.0,781.0,,,472.3333333333333,775.3333333333334,3.431876713662315
35,35,375821,483.0,304.0,1286.0,776.0,,,475.3333333333333,777.0,3.590109871423052
36,36,375822,479.0,302.0,1098.0,778.0,,,478.6666666666667,778.3333333333334,1.7950549357115049
37,37,375823,469.0,297.0,1120.0,783.0,,,477.0,779.0,4.533823502911795
38,38,375824,475.0,293.0,1767.0,787.0,,,474.3333333333333,782.6666666666666,1.4142135623730951
39,39,375825,476.0,305.0,1832.0,775.0,,,473.3333333333333,781.6666666666666,3.299831645537155
40,40,375826,462.0,304.0,1532.0,776.0,,,471.0,779.3333333333334,3.0731814857643243
41,41,375827,469.0,300.0,1022.0,780.0,,,469.0,777.0,1.3333333333333712
42,42,375828,476.0,301.0,2017.0,779.0,,,469.0,778.3333333333334,6.119186583561923
43,43,375829,478.0,313.0,1322.0,767.0,,,474.3333333333333,775.3333333333334,3.5901098714230306
44,44,375830,465.0,310.0,1511.0,770.0,,,473.0,772.0,4.3461349368018025
45,45,375831,475.0,314.0,1375.0,766.0,,,472.6666666666667,767.6666666666666,1.943650631615068
46,46,375832,475.0,318.0,1762.0,762.0,,,471.6666666666667,766.0,4.176654695380522
47,47,375833,471.0,321.0,1839.0,759.0,,,473.6666666666667,762.3333333333334,2.403700850309347
48,48,375834,481.0,318.0,1998.0,762.0,,,475.6666666666667,761.0,5.821416398857688
49,49,375835,482.0,334.0,1577.0,746.0,,,478.0,755.6666666666666,6.4031242374328485
50,50,375836,486.0,333.0,1286.0,747.0,,,483.0,751.6666666666666,6.565905201197411
51,51,375837,489.0,336.0,1030.0,744.0,,,485.6666666666667,745.6666666666666,3.431876713662315
52,52,375838,491.0,339.0,804.0,741.0,,,488.6666666666667,744.0,4.3461349368018025
53,53,375839,487.0,346.0,1264.0,734.0,,,489.0,739.6666666666666,4.123105625617661
54,54,375840,492.0,348.0,1931.0,732.0,,,490.0,735.6666666666666,2.357022603955145
55,55,375841,496.0,344.0,971.0,736.0,,,491.6666666666667,734.0,3.3499585403736147
56,56,375842,497.0,345.0,810.0,735.0,,,495.0,734.3333333333334,1.943650631615068
57,57,375843,495.0,343.0,1193.0,737.0,,,496.0,736.0,3.073181485764281
58,58,375844,489.0,350.0,1586.0,730.0,,,493.6666666666667,734.0,0.7453559924999638
59,59,375845,495.0,344.0,1032.0,736.0,,,493.0,734.3333333333334,0.0
60,60,375846,495.0,343.0,1072.0,737.0,,,493.0,734.3333333333334,3.3333333333333486
61,61,375847,497.0,344.0,844.0,736.0,,,495.6666666666667,736.3333333333334,0.7453559924999129
62,62,375848,497.0,345.0,851.0,735.0,,,496.3333333333333,736.0,1.201850425154642
63,63,375849,498.0,345.0,821.0,735.0,,,497.3333333333333,735.3333333333334,0.4714045207910853
64,64,375850,498.0,345.0,743.0,735.0,,,497.6666666666667,735.0,2.8674417556809177
65,65,375851,492.0,352.0,1592.0,728.0,,,496.0,732.6666666666666,1.9436506316151163
66,66,375852,493.0,348.0,1364.0,732.0,,,494.3333333333333,731.6666666666666,1.374368541872517
67,67,375853,494.0,346.0,1233.0,734.0,,,493.0,731.3333333333334,2.748737083745074
68,68,375854,494.0,344.0,1089.0,736.0,,,493.6666666666667,734.0,1.3743685418725855
69,69,375855,494.0,344.0,1081.0,736.0,,,494.0,735.3333333333334,1.0540925533894538
70,70,375856,495.0,343.0,1016.0,737.0,,,494.3333333333333,736.3333333333334,0.3333333333333712
71,71,375857,495.0,344.0,1007.0,736.0,,,494.6666666666667,736.3333333333334,0.0
72,72,375858,494.0,344.0,1009.0,736.0,,,494.6666666666667,736.3333333333334,0.3333333333333712
73,73,375859,495.0,344.0,1005.0,736.0,,,494.6666666666667,736.0,0.0
74,74,375860,495.0,344.0,997.0,736.0,,,494.6666666666667,736.0,0.3333333333333144
75,75,375861,495.0,344.0,977.0,736.0,,,495.0,736.0,0.0
76,76,375862,495.0,344.0,983.0,736.0,,,495.0,736.0,0.0
77,77,375863,495.0,344.0,984.0,736.0,,,495.0,736.0,0.3333333333333712
78,78,375864,495.0,345.0,992.0,735.0,,,495.0,735.6666666666666,0.94280904158205
79,79,375865,497.0,346.0,969.0,734.0,,,495.6666666666667,735.0,0.9428090415820096
80,80,375866,497.0,346.0,960.0,734.0,,,496.3333333333333,734.3333333333334,0.7453559924999638
81,81,375867,497.0,346.0,931.0,734.0,,,497.0,734.0,0.4714045207910451
82,82,375868,498.0,347.0,983.0,733.0,,,497.3333333333333,733.6666666666666,1.0
83,83,375869,500.0,346.0,960.0,734.0,,,498.3333333333333,733.6666666666666,1.054092553389436
84,84,375870,500.0,347.0,919.0,733.0,,,499.3333333333333,733.3333333333334,1.0
85,85,375871,501.0,347.0,902.0,733.0,,,500.3333333333333,733.3333333333334,0.6666666666667425
86,86,375872,500.0,348.0,883.0,732.0,,,500.3333333333333,732.6666666666666,0.4714045207910048
87,87,375873,501.0,348.0,881.0,732.0,,,500.6666666666667,732.3333333333334,0.3333333333333712
88,88,375874,501.0,348.0,871.0,732.0,,,500.6666666666667,732.0,0.4714045207910451
89,89,375875,501.0,347.0,936.0,733.0,,,501.0,732.3333333333334,0.7453559924998875
90,90,375876,502.0,346.0,873.0,734.0,,,501.3333333333333,733.0,1.2018504251546736
91,91,375877,503.0,345.0,852.0,735.0,,,502.0,734.0,0.4714045207910451
92,92,375878,502.0,346.0,754.0,734.0,,,502.3333333333333,734.3333333333334,0.4714045207910853
93,93,375879,503.0,347.0,717.0,733.0,,,502.6666666666667,734.0,1.0540925533894718
94,94,375880,502.0,348.0,738.0,732.0,,,502.3333333333333,733.0,0.7453559924999129
95,95,375881,503.0,348.0,712.0,732.0,,,502.6666666666667,732.3333333333334,0.4714045207910853
96,96,375882,502.0,348.0,742.0,732.0,,,502.3333333333333,732.0,0.3333333333333712
97,97,375883,503.0,348.0,698.0,732.0,,,502.6666666666667,732.0,0.4714045207910451
98,98,375884,504.0,349.0,660.0,731.0,,,503.0,731.6666666666666,0.7453559924999129
99,99,375885,504.0,349.0,599.0,731.0,,,503.6666666666667,731.3333333333334,0.7453559924999129
100,100,375886,505.0,349.0,557.0,731.0,,,504.3333333333333,731.0,0.3333333333333712
101,101,375887,504.0,350.0,513.0,730.0,,,504.3333333333333,730.6666666666666,0.7453559924999638
102,102,375888,506.0,348.0,503.0,732.0,,,505.0,731.0,0.7453559924998875
103,103,375889,504.0,351.0,491.0,729.0,,,504.6666666666667,730.3333333333334,0.3333333333333712
104,104,375890,504.0,351.0,503.0,729.0,,,504.6666666666667,730.0,0.3333333333333144
105,105,375891,507.0,348.0,504.0,732.0,,,505.0,730.0,1.2018504251546736
106,106,375892,506.0,348.0,489.0,732.0,,,505.6666666666667,731.0,1.201850425154642
107,107,375893,506.0,348.0,502.0,732.0,,,506.3333333333333,732.0,0.3333333333333144
108,108,375894,506.0,348.0,491.0,732.0,,,506.0,732.0,0.0
109,109,375895,506.0,348.0,470.0,732.0,,,506.0,732.0,0.3333333333333144
110,110,375896,507.0,348.0,399.0,732.0,,,506.3333333333333,732.0,0.3333333333333712
111,111,375897,506.0,349.0,361.0,731.0,,,506.3333333333333,731.6666666666666,1.4142135623730951
112,112,375898,509.0,351.0,253.0,729.0,,,507.3333333333333,730.6666666666666,1.666666666666697
113,113,375899,511.0,351.0,195.0,729.0,,,508.6666666666667,729.6666666666666,1.943650631615068
114,114,375900,511.0,352.0,167.0,728.0,,,510.3333333333333,728.6666666666666,0.7453559924999129
115,115,375901,511.0,352.0,167.0,728.0,,,511.0,728.3333333333334,0.3333333333333712
116,116,375902,511.0,352.0,159.0,728.0,,,511.0,728.0,0.0
117,117,375903,511.0,352.0,136.0,728.0,,,511.0,728.0,0.4714045207910451
118,118,375904,512.0,351.0,96.0,729.0,,,511.3333333333333,728.3333333333334,0.4714045207910048
119,119,375905,512.0,351.0,41.0,729.0,,,511.6666666666667,728.6666666666666,0.4714045207910451
120,120,375906,512.0,351.0,30.0,729.0,,,512.0,729.0,0.4714045207910853
121,121,375907,513.0,350.0,16.0,730.0,,,512.3333333333334,729.3333333333334,0.0
122,122,375908,512.0,351.0,23.0,729.0,,,512.3333333333334,729.3333333333334,0.6666666666667425
123,123,375909,512.0,353.0,29.0,727.0,,,512.3333333333334,728.6666666666666,1.3333333333332575
124,124,375910,513.0,354.0,23.0,726.0,,,512.3333333333334,727.3333333333334,0.8498365855988271
