Unnamed: 0,nframe_71713021800,absframe_71713021800,x0_71713021800,y0_71713021800,area_71713021800,yadj_71713021800,flower_71713021800,visit_num_71713021800,sx_71713021800,sy_71713021800,speeds_71713021800
0,0,200185,618.0,1068.0,851.0,12.0,,,618.0,12.0,20.0
1,1,200186,650.0,1044.0,1580.0,36.0,,,634.0,24.0,17.074997966487626
2,2,200187,674.0,1024.0,1394.0,56.0,,,647.3333333333334,34.666666666666664,35.33962208186283
3,3,200188,704.0,1006.0,1857.0,74.0,,,676.0,55.333333333333336,28.8694378962328
4,4,200189,724.0,999.0,860.0,81.0,,,700.6666666666666,70.33333333333333,22.063040991163952
5,5,200190,733.0,994.0,1883.0,86.0,,,720.3333333333334,80.33333333333333,11.642832797715288
6,6,200191,736.0,992.0,1287.0,88.0,,,731.0,85.0,9.803627446568472
7,7,200192,741.0,975.0,1338.0,105.0,,,736.6666666666666,93.0,12.046207333061773
8,8,200193,742.0,959.0,1248.0,121.0,,,739.6666666666666,104.66666666666669,18.633899812498257
9,9,200194,761.0,942.0,720.0,138.0,,,748.0,121.33333333333331,18.979521127315657
10,10,200195,770.0,926.0,1339.0,154.0,,,757.6666666666666,137.66666666666666,16.090024514862925
11,11,200196,773.0,922.0,1350.0,158.0,,,768.0,150.0,8.359957469322975
12,12,200197,771.0,919.0,1001.0,161.0,,,771.3333333333334,157.66666666666666,4.333333333333362
13,13,200198,765.0,914.0,1567.0,166.0,,,769.6666666666666,161.66666666666666,6.4031242374328485
14,14,200199,758.0,910.0,902.0,170.0,,,764.6666666666666,165.66666666666666,6.119186583561948
15,15,200200,762.0,903.0,768.0,177.0,,,761.6666666666666,171.0,2.403700850309332
16,16,200201,759.0,910.0,898.0,170.0,,,759.6666666666666,172.33333333333334,3.480102169636832
17,17,200202,761.0,900.0,952.0,180.0,,,760.6666666666666,175.66666666666666,3.901566636906509
18,18,200203,751.0,899.0,755.0,181.0,,,757.0,177.0,3.8873012632302086
19,19,200204,753.0,900.0,910.0,180.0,,,755.0,180.33333333333331,1.6666666666666288
20,20,200205,756.0,900.0,1156.0,180.0,3.0,1.0,753.3333333333334,180.33333333333331,0.7453559924998875
21,21,200206,753.0,898.0,995.0,182.0,3.0,1.0,754.0,180.66666666666663,1.2018504251546736
