Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
0,0,73298,830.0,1050.0,1258.0,1050.0,,,830.0,1050.0,17.528548142958105
1,1,73299,865.0,1052.0,2269.0,1052.0,,,847.5,1051.0,16.863010143835897
2,2,73300,898.0,1048.0,1085.0,1048.0,,,864.3333333333334,1050.0,31.961782734314937
3,3,73301,925.0,1037.0,1314.0,1037.0,,,896.0,1045.6666666666667,26.0
4,4,73302,937.0,1022.0,1186.0,1022.0,,,920.0,1035.6666666666667,26.68541007950063
5,5,73303,958.0,995.0,2254.0,995.0,,,940.0,1018.0,21.2184406171194
6,6,73304,969.0,991.0,1295.0,991.0,,,954.6666666666666,1002.6666666666666,17.96910929592476
7,7,73305,972.0,981.0,968.0,981.0,,,966.3333333333334,989.0,8.969082698049112
8,8,73306,978.0,977.0,637.0,977.0,,,973.0,983.0,8.517954892787143
9,9,73307,982.0,969.0,777.0,969.0,,,977.3333333333334,975.6666666666666,11.20515754264764
10,10,73308,985.0,950.0,1680.0,950.0,,,981.6666666666666,965.3333333333334,10.44030650891055
11,11,73309,987.0,947.0,705.0,947.0,,,984.6666666666666,955.3333333333334,15.723301886761083
12,12,73310,986.0,922.0,1656.0,922.0,,,986.0,939.6666666666666,14.655298624653753
13,13,73311,998.0,908.0,1580.0,908.0,,,990.3333333333334,925.6666666666666,15.092308563562357
14,14,73312,992.0,902.0,2159.0,902.0,,,992.0,910.6666666666666,6.411794687223707
15,15,73313,989.0,903.0,2117.0,903.0,,,993.0,904.3333333333334,4.013864859597435
16,16,73314,986.0,907.0,2477.0,907.0,,,989.0,904.0,3.299831645537276
17,17,73315,985.0,909.0,830.0,909.0,3.0,1.0,986.6666666666666,906.3333333333334,2.8284271247461903
18,18,73316,983.0,909.0,610.0,909.0,3.0,1.0,984.6666666666666,908.3333333333334,2.027587510099413
19,19,73317,980.0,906.0,1074.0,906.0,3.0,1.0,982.6666666666666,908.0,2.027587510099413
20,20,73318,986.0,915.0,1938.0,915.0,3.0,1.0,983.0,910.0,2.357022603955201
21,21,73319,990.0,908.0,1083.0,908.0,3.0,1.0,985.3333333333334,909.6666666666666,2.5385910352880043
22,22,73320,983.0,913.0,2110.0,913.0,3.0,1.0,986.3333333333334,912.0,0.4714045207910048
23,23,73321,987.0,914.0,1822.0,914.0,3.0,1.0,986.6666666666666,911.6666666666666,1.374368541872572
24,24,73322,994.0,907.0,943.0,907.0,3.0,1.0,988.0,911.3333333333334,1.201850425154642
25,25,73323,986.0,915.0,2156.0,915.0,3.0,1.0,989.0,912.0,3.605551275463989
26,26,73324,993.0,905.0,1948.0,905.0,3.0,1.0,991.0,909.0,0.7453559924999129
27,27,73325,996.0,908.0,2025.0,908.0,3.0,1.0,991.6666666666666,909.3333333333334,3.0731814857643243
28,28,73326,993.0,909.0,1721.0,909.0,3.0,1.0,994.0,907.3333333333334,1.3333333333332575
29,29,73327,993.0,909.0,1569.0,909.0,3.0,1.0,994.0,908.6666666666666,2.4267032964268656
30,30,73328,994.0,915.0,1442.0,915.0,3.0,1.0,993.3333333333334,911.0,1.490711984999877
31,31,73329,995.0,913.0,1155.0,913.0,3.0,1.0,994.0,912.3333333333334,0.4714045207910048
32,32,73330,994.0,910.0,1428.0,910.0,3.0,1.0,994.3333333333334,912.6666666666666,1.4142135623730951
33,33,73331,997.0,912.0,1449.0,912.0,3.0,1.0,995.3333333333334,911.6666666666666,0.4714045207909245
34,34,73332,996.0,912.0,1461.0,912.0,3.0,1.0,995.6666666666666,911.3333333333334,1.201850425154642
35,35,73333,997.0,912.0,1619.0,912.0,3.0,1.0,996.6666666666666,912.0,0.6666666666666288
36,36,73334,997.0,914.0,1599.0,914.0,3.0,1.0,996.6666666666666,912.6666666666666,0.9428090415821706
37,37,73335,998.0,914.0,1529.0,914.0,3.0,1.0,997.3333333333334,913.3333333333334,0.3333333333332575
38,38,73336,998.0,912.0,1507.0,912.0,3.0,1.0,997.6666666666666,913.3333333333334,0.7453559924999638
39,39,73337,996.0,912.0,1496.0,912.0,3.0,1.0,997.3333333333334,912.6666666666666,0.4714045207910048
40,40,73338,997.0,913.0,1474.0,913.0,3.0,1.0,997.0,912.3333333333334,0.7453559924998622
41,41,73339,996.0,913.0,1460.0,913.0,3.0,1.0,996.3333333333334,912.6666666666666,0.7453559924999129
42,42,73340,998.0,913.0,1378.0,913.0,3.0,1.0,997.0,913.0,0.0
43,43,73341,997.0,913.0,1370.0,913.0,3.0,1.0,997.0,913.0,0.6666666666666288
44,44,73342,998.0,913.0,1252.0,913.0,3.0,1.0,997.6666666666666,913.0,0.3333333333333712
45,45,73343,998.0,914.0,1259.0,914.0,3.0,1.0,997.6666666666666,913.3333333333334,0.4714045207910048
