Unnamed: 0,nframe_11512442600,absframe_11512442600,x0_11512442600,y0_11512442600,area_11512442600,yadj_11512442600,flower_11512442600,visit_num_11512442600,sx_11512442600,sy_11512442600,speeds_11512442600
0,0,101162,562.0,36.0,1100.0,1044.0,,,562.0,1044.0,23.69071548096427
1,1,101163,556.0,83.0,1561.0,997.0,,,559.0,1020.5,23.947280058959183
2,2,101164,552.0,131.0,2008.0,949.0,,,556.6666666666666,996.6666666666666,45.09988913511872
3,3,101165,553.0,171.0,720.0,909.0,,,553.6666666666666,951.6666666666666,42.69920634183051
4,4,101166,551.0,211.0,604.0,869.0,,,552.0,909.0,39.35592571505455
5,5,101167,556.0,249.0,1288.0,831.0,,,553.3333333333334,869.6666666666666,34.3349514181815
6,6,101168,552.0,274.0,2498.0,806.0,,,553.0,835.3333333333334,28.76147114148069
7,7,101169,558.0,297.0,1968.0,783.0,,,555.3333333333334,806.6666666666666,25.062144982245783
8,8,101170,574.0,322.0,1934.0,758.0,,,561.3333333333334,782.3333333333334,25.059928172283332
9,9,101171,588.0,340.0,905.0,740.0,,,573.3333333333334,760.3333333333334,25.0
10,10,101172,603.0,357.0,944.0,723.0,,,588.3333333333334,740.3333333333334,18.272626764887644
11,11,101173,608.0,365.0,1863.0,715.0,,,599.6666666666666,726.0,13.437096247164254
12,12,101174,608.0,375.0,1593.0,705.0,,,606.3333333333334,714.3333333333334,7.923242882669844
13,13,101175,612.0,379.0,1213.0,701.0,,,609.3333333333334,707.0,6.741249472052191
14,14,101176,611.0,385.0,682.0,695.0,,,610.3333333333334,700.3333333333334,4.772607021092192
15,15,101177,605.0,389.0,482.0,691.0,,,609.3333333333334,695.6666666666666,7.951240294584397
16,16,101178,592.0,392.0,1033.0,688.0,,,602.6666666666666,691.3333333333334,7.340905181848432
17,17,101179,594.0,399.0,1122.0,681.0,,,597.0,686.6666666666666,5.011098792790972
18,18,101180,590.0,388.0,1164.0,692.0,0.0,1.0,592.0,687.0,1.3333333333333712
19,19,101181,592.0,388.0,988.0,692.0,0.0,1.0,592.0,688.3333333333334,2.0
20,20,101182,594.0,393.0,850.0,687.0,0.0,1.0,592.0,690.3333333333334,3.282952600598717
21,21,101183,594.0,397.0,762.0,683.0,0.0,1.0,593.3333333333334,687.3333333333334,2.5385910352880043
22,22,101184,595.0,395.0,768.0,685.0,0.0,1.0,594.3333333333334,685.0,0.4714045207910048
23,23,101185,595.0,394.0,774.0,686.0,0.0,1.0,594.6666666666666,684.6666666666666,0.7453559925000147
24,24,101186,595.0,395.0,785.0,685.0,0.0,1.0,595.0,685.3333333333334,0.3333333333333712
