Unnamed: 0,nframe_31214571400,absframe_31214571400,x0_31214571400,y0_31214571400,area_31214571400,yadj_31214571400,flower_31214571400,visit_num_31214571400,sx_31214571400,sy_31214571400,speeds_31214571400
0,0,441122,1900.0,376.0,1230.0,376.0,,,1900.0,376.0,9.17877987534291
1,1,441123,1884.0,385.0,1458.0,385.0,,,1892.0,380.5,12.07499712445324
2,2,441124,1858.0,393.0,1996.0,393.0,,,1880.6666666666667,384.6666666666667,28.252826800556186
3,3,441125,1820.0,404.0,1723.0,404.0,,,1854.0,394.0,38.18085616873687
4,4,441126,1772.0,409.0,1220.0,409.0,,,1816.6666666666667,402.0,48.99092886556782
5,5,441127,1713.0,417.0,1198.0,417.0,,,1768.3333333333333,410.0,59.033888572581766
6,6,441128,1646.0,437.0,1764.0,437.0,,,1710.3333333333333,421.0,64.74908836767082
7,7,441129,1586.0,465.0,1482.0,465.0,,,1648.3333333333333,439.6666666666667,68.80729935438858
8,8,441130,1524.0,500.0,172.0,500.0,,,1585.3333333333333,467.3333333333333,54.91812087098393
9,9,441131,1508.0,527.0,969.0,527.0,,,1539.3333333333333,497.3333333333333,38.47798793538389
10,10,441132,1500.0,542.0,877.0,542.0,,,1510.6666666666667,523.0,15.83947249402228
11,11,441133,1517.0,547.0,720.0,547.0,,,1508.3333333333333,538.6666666666666,9.843215373489036
12,12,441134,1534.0,541.0,74.0,541.0,,,1517.0,543.3333333333334,29.42599002393776
13,13,441135,1588.0,535.0,627.0,535.0,4.0,1.0,1546.3333333333333,541.0,39.57131396464996
14,14,441136,1635.0,534.0,378.0,534.0,4.0,1.0,1585.6666666666667,536.6666666666666,48.0289264691371
15,15,441137,1678.0,536.0,1107.0,536.0,4.0,1.0,1633.6666666666667,535.0,35.8298447914274
16,16,441138,1693.0,558.0,752.0,558.0,4.0,1.0,1668.6666666666667,542.6666666666666,33.800065746155674
17,17,441139,1716.0,595.0,1270.0,595.0,4.0,1.0,1695.6666666666667,563.0,32.64795382392117
18,18,441140,1721.0,624.0,1482.0,624.0,5.0,1.0,1710.0,592.3333333333334,25.79620988526107
19,19,441141,1726.0,628.0,974.0,628.0,5.0,1.0,1721.0,615.6666666666666,7.031674369909669
20,20,441142,1718.0,616.0,668.0,616.0,5.0,1.0,1721.6666666666667,622.6666666666666,4.630814663149897
21,21,441143,1728.0,612.0,1289.0,612.0,5.0,1.0,1724.0,618.6666666666666,2.4267032964267874
22,22,441144,1728.0,621.0,949.0,621.0,5.0,1.0,1724.6666666666667,616.3333333333334,5.077182070575904
23,23,441145,1724.0,630.0,1260.0,630.0,5.0,1.0,1726.6666666666667,621.0,7.211102550927978
