Unnamed: 0,nframe_91712562400,absframe_91712562400,x0_91712562400,y0_91712562400,area_91712562400,yadj_91712562400,flower_91712562400,visit_num_91712562400,sx_91712562400,sy_91712562400,speeds_91712562400
0,0,155287,1244.0,983.0,1024.0,97.0,5.0,1.0,1244.0,97.0,9.013878188659971
1,1,155288,1234.0,968.0,599.0,112.0,5.0,1.0,1239.0,104.5,2.733536577809504
2,2,155289,1234.0,969.0,577.0,111.0,5.0,1.0,1237.3333333333333,106.66666666666669,4.630814663149897
3,3,155290,1237.0,971.0,549.0,109.0,5.0,1.0,1235.0,110.66666666666669,2.6034165586356
4,4,155291,1239.0,974.0,563.0,106.0,5.0,1.0,1236.6666666666667,108.66666666666669,8.666666666666666
5,5,155292,1258.0,959.0,154.0,121.0,5.0,1.0,1244.6666666666667,112.0,4.055175020198789
6,6,155293,1239.0,959.0,341.0,121.0,5.0,1.0,1245.3333333333333,116.0,10.2252411001187
7,7,155294,1249.0,945.0,464.0,135.0,5.0,1.0,1248.6666666666667,125.66666666666669,6.741249472052233
8,8,155295,1261.0,939.0,675.0,141.0,,,1249.6666666666667,132.33333333333334,14.681810363696757
9,9,155296,1273.0,931.0,1584.0,149.0,,,1261.0,141.66666666666666,13.45362404707371
10,10,155297,1279.0,918.0,1237.0,162.0,,,1271.0,150.66666666666666,15.322459912748284
11,11,155298,1294.0,907.0,1083.0,173.0,,,1282.0,161.33333333333334,23.29759167334201
12,12,155299,1331.0,892.0,1113.0,188.0,,,1301.3333333333333,174.33333333333334,28.946310453819365
13,13,155300,1350.0,868.0,1327.0,212.0,,,1325.0,191.0,28.598756771735584
14,14,155301,1359.0,851.0,2054.0,229.0,,,1346.6666666666667,209.66666666666663,22.133433734712007
15,15,155302,1371.0,839.0,1374.0,241.0,,,1360.0,227.33333333333331,18.135294011647293
16,16,155303,1382.0,824.0,1233.0,256.0,,,1370.6666666666667,242.0,18.867962264113206
17,17,155304,1407.0,821.0,900.0,259.0,,,1386.6666666666667,252.0,25.82204054248568
18,18,155305,1447.0,824.0,1071.0,256.0,,,1412.0,257.0,32.084956668888374
19,19,155306,1478.0,831.0,1798.0,249.0,,,1444.0,254.66666666666663,39.64985638197325
20,20,155307,1525.0,836.0,2441.0,244.0,,,1483.3333333333333,249.66666666666663,37.00600551862427
21,21,155308,1557.0,839.0,1814.0,241.0,,,1520.0,244.66666666666663,40.11788185391211
22,22,155309,1597.0,849.0,1961.0,231.0,,,1559.6666666666667,238.66666666666663,38.40283554345658
23,23,155310,1637.0,863.0,2437.0,217.0,,,1597.0,229.66666666666663,39.7771570404702
24,24,155311,1673.0,867.0,2112.0,213.0,,,1635.6666666666667,220.33333333333331,33.865748019036566
25,25,155312,1698.0,860.0,1444.0,220.0,,,1669.3333333333333,216.66666666666663,27.668674625929587
26,26,155313,1720.0,864.0,1308.0,216.0,,,1697.0,216.33333333333331,22.123391341393493
27,27,155314,1739.0,874.0,2122.0,206.0,,,1719.0,214.0,20.66128962308239
28,28,155315,1757.0,879.0,2202.0,201.0,,,1738.6666666666667,207.66666666666663,20.248456731316587
29,29,155316,1777.0,885.0,2448.0,195.0,,,1757.6666666666667,200.66666666666663,20.06932429798716
30,30,155317,1799.0,879.0,1585.0,201.0,,,1777.6666666666667,199.0,24.186773244895647
31,31,155318,1829.0,888.0,1617.0,192.0,,,1801.6666666666667,196.0,26.4091734903696
32,32,155319,1856.0,891.0,1360.0,189.0,,,1828.0,194.0,27.459060435491963
33,33,155320,1880.0,894.0,1170.0,186.0,,,1855.0,189.0,25.2212432507026
34,34,155321,1904.0,898.0,1149.0,182.0,,,1880.0,185.66666666666663,20.05547860865516
35,35,155322,1912.0,913.0,322.0,167.0,,,1898.6666666666667,178.33333333333334,10.089873911776808
