nframe,x0,y0
0,1259.0,1012.0
1,1259.5763250505452,1006.2785330776393
2,1263.7178606478856,1013.5022600439894
3,1263.7187773805447,1013.5031767766486
4,1263.7183955195248,1013.5027949156288
5,1263.7171070188458,1013.5015064149496
6,1263.7185400480419,1013.5029394441457
7,1263.7195334754426,1013.5039328715465
8,1263.7203926116254,1013.5047920077293
9,1267.3077097430482,1009.9544259086136
10,1274.7801962158555,1005.9138983771047
11,1274.3153183773625,1003.1985920129368
12,1274.2669602204705,1001.9685590174228
13,1271.8452463559283,1001.3715695462264
14,1271.8440809196827,1001.3704041099809
15,1271.8456734421682,1001.3719966324664
16,1271.8464004149714,1001.3727236052697
17,1271.84818463469,1001.3745078249881
18,1272.048918641102,1002.0003685570108
19,1272.0479999441393,1001.9994498600478
20,1272.7528787278222,1002.114831915975
21,1273.3167624726725,1003.4339983778398
22,1273.3185084729837,1003.4357443781508
23,1272.6147872542049,1003.1644838323078
24,1272.6376914766724,1002.5128257165238
25,1271.4622555732415,1001.9634886452528
26,1272.9084062132822,1003.6185294215398
27,1272.9106452627566,1003.6207684710143
28,1272.9109919454463,1003.6211151537041
29,1272.9122375404243,1003.6223607486819
30,1272.913513492207,1003.6236367004645
31,1272.0715043140267,1004.0536607597542
32,1272.2130699646436,1004.5491397319197
33,1271.191885257406,1003.953402921927
34,1271.810375042104,1003.993831336305
35,1271.808364855904,1003.9918211501052
36,1271.9012297067532,1003.7654289889359
37,1272.2926519846496,1003.6890414553637
38,1272.2275780737775,1003.9452530024042
39,1272.2734022491068,1005.1973437581395
40,1273.5995877557175,1005.9900333986734
41,1273.7100629739289,1005.5929627816464
42,1273.7100453161418,1005.7983505005708
43,1273.7095090160851,1005.7978142005142
44,1273.7077054312429,1005.7960106156718
