Unnamed: 0,nframe_31013400203,absframe_31013400203,x0_31013400203,y0_31013400203,area_31013400203,yadj_31013400203,flower_31013400203,visit_num_31013400203,sx_31013400203,sy_31013400203,speeds_31013400203
0,0,266276,1044.0,1068.0,552.0,1068.0,,,1044.0,1068.0,13.152946437965904
1,1,266277,1048.0,1042.0,986.0,1042.0,,,1046.0,1055.0,10.918892902772855
2,2,266278,1053.0,1023.0,493.0,1023.0,,,1048.3333333333333,1044.3333333333333,24.34246404034628
3,3,266279,1042.0,995.0,852.0,995.0,,,1047.6666666666667,1020.0,18.526257642120388
4,4,266280,1040.0,987.0,721.0,987.0,,,1045.0,1001.6666666666666,11.352924243950856
5,5,266281,1031.0,997.0,20.0,997.0,,,1037.6666666666667,993.0,3.431876713662315
6,6,266282,1033.0,1000.0,64.0,1000.0,,,1034.6666666666667,994.6666666666666,5.374838498865803
7,7,266283,1032.0,1001.0,88.0,1001.0,,,1032.0,999.3333333333334,1.0
8,8,266284,1031.0,1000.0,126.0,1000.0,,,1032.0,1000.3333333333334,6.4031242374328485
9,9,266285,1018.0,1012.0,964.0,1012.0,,,1027.0,1004.3333333333334,3.726779962499616
10,10,266286,1037.0,1011.0,868.0,1011.0,,,1028.6666666666667,1007.6666666666666,6.009252125773317
11,11,266287,1049.0,1001.0,633.0,1001.0,,,1034.6666666666667,1008.0,11.005049346146077
12,12,266288,1037.0,985.0,574.0,985.0,,,1041.0,999.0,16.387664737709173
13,13,266289,1033.0,962.0,712.0,962.0,,,1039.6666666666667,982.6666666666666,19.711812589296706
14,14,266290,1030.0,945.0,605.0,945.0,,,1033.3333333333333,964.0,18.669642619920555
15,15,266291,1036.0,929.0,386.0,929.0,,,1033.0,945.3333333333334,11.338234234463336
16,16,266292,1034.0,928.0,619.0,928.0,,,1033.3333333333333,934.0,9.614803401237326
17,17,266293,1006.0,929.0,972.0,929.0,,,1025.3333333333333,928.6666666666666,18.11077027627472
18,18,266294,982.0,923.0,1913.0,923.0,,,1007.3333333333334,926.6666666666666,24.515301344262525
19,19,266295,962.0,943.0,880.0,943.0,,,983.3333333333334,931.6666666666666,22.593017603774072
20,20,266296,943.0,954.0,592.0,954.0,,,962.3333333333334,940.0,17.741977842895004
21,21,266297,934.0,946.0,635.0,946.0,,,946.3333333333334,947.6666666666666,13.767917618708992
22,22,266298,921.0,938.0,586.0,938.0,,,932.6666666666666,946.0,15.506271132817329
23,23,266299,901.0,934.0,713.0,934.0,,,918.6666666666666,939.3333333333334,16.973836075298713
24,24,266300,886.0,929.0,417.0,929.0,,,902.6666666666666,933.6666666666666,17.829438827088378
